id,stepup_id,target_gacha_id,stepup_step
1,50073,50073,1
2,50073,50074,2
3,50073,50075,3
4,50073,50076,4
5,50073,50077,5
6,50078,50078,1
7,50078,50079,2
8,50078,50080,3
9,50078,50081,4
10,50078,50082,5
11,50099,50099,1
12,50099,50100,2
13,50099,50101,3
14,50099,50102,4
15,50099,50103,5
16,50145,50145,1
17,50145,50146,2
18,50145,50147,3
19,50145,50148,4
20,50145,50149,5
21,50150,50150,1
22,50150,50151,2
23,50150,50152,3
24,50150,50153,4
25,50150,50154,5
26,50174,50174,1
27,50174,50175,2
28,50174,50176,3
29,50174,50177,4
30,50174,50178,5
31,50213,50213,1
32,50213,50214,2
33,50213,50215,3
34,50213,50216,4
35,50213,50217,5
36,50218,50218,1
37,50218,50219,2
38,50218,50220,3
39,50218,50221,4
40,50218,50222,5
