heroes_id,info_detail_1,info_detail_2,info_detail_3,ticket_add,ticket_max,race_item_limit,hero_gauge_max,final_stage_user_num,start_date,end_date
1,510001,510002,0,5,10,3,100,96,1683687600,1684637999
2,510003,510004,0,5,10,3,100,96,1688958000,1689994799
3,510005,510006,0,5,10,3,100,96,1694401200,1695351599
4,510007,510008,0,5,10,3,100,96,1699498800,1700535599
5,510009,510010,0,5,10,3,100,96,1704769200,1705805999
6,510011,510012,0,5,10,3,100,96,1715310000,1716433199
7,510013,510014,0,5,10,3,100,96,1721358000,1722394799
8,510015,510016,0,5,10,3,100,96,1726801200,1727837999
9,510017,510018,0,5,10,3,100,96,1731898800,1732935599
10,510019,510020,0,5,10,3,100,96,1739415600,1740452399
11,510021,510022,0,5,10,3,100,96,1747796400,1748833199
12,510023,510024,0,5,10,3,100,96,1754967600,1756004399
13,510025,510026,0,5,10,3,100,96,1763434800,1764471599
14,510027,510028,510029,5,10,3,100,96,1770865200,1771901999
15,510030,510031,510032,5,10,3,100,96,1779159600,1780196399
