id,league_rank_type,league_rank,league_min_value,league_max_value,ticket_num,reward_group_id,top_bgm_cue_name,top_bgm_cuesheet_name,racing_base_bgm_cue_name,racing_base_bgm_cuesheet_name
1,1,11,0,999,0,0,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
2,1,12,1000,1999,0,12,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
3,1,13,2000,2999,0,13,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
4,1,14,3000,3999,0,14,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
5,2,21,4000,5499,1,21,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
6,2,22,5500,6999,1,22,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
7,2,23,7000,8499,1,23,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
8,2,24,8500,9999,1,24,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
9,3,31,10000,12499,1,31,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
10,3,32,12500,14999,1,32,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
11,3,33,15000,17499,1,33,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
12,3,34,17500,19999,1,34,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
13,4,41,20000,22999,1,41,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
14,4,42,23000,25999,1,42,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
15,4,43,26000,29999,1,43,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
16,4,44,30000,999999999,1,44,snd_bgm_GM287_sys_01,snd_bgm_GM287,snd_bgm_GM288_sys_01,snd_bgm_GM288
