id,reward_group_id,item_category,item_id,item_num
1,12,90,43,50
2,12,97,115,1
3,12,91,59,10000
4,12,150,116,1
5,12,93,44,5
6,13,90,43,50
7,13,97,115,1
8,13,91,59,10000
9,13,150,117,1
10,13,93,44,5
11,14,90,43,50
12,14,97,115,1
13,14,91,59,10000
14,14,150,118,1
15,14,93,44,5
16,21,90,43,100
17,21,97,115,2
18,21,91,59,12000
19,21,150,116,1
20,21,93,44,5
21,22,90,43,100
22,22,97,115,2
23,22,91,59,12000
24,22,150,119,1
25,22,93,44,5
26,23,90,43,100
27,23,97,115,3
28,23,91,59,16000
29,23,150,120,1
30,23,93,44,10
31,24,90,43,100
32,24,97,115,3
33,24,91,59,16000
34,24,150,116,1
35,24,93,44,10
36,24,188,268,1
37,31,90,43,300
38,31,97,115,4
39,31,91,59,20000
40,31,40,111,1
41,31,93,44,10
42,31,188,268,1
43,32,90,43,300
44,32,97,115,4
45,32,91,59,20000
46,32,40,41,1
47,32,164,150,1
48,32,93,44,10
49,32,188,268,1
50,33,90,43,300
51,33,97,115,5
52,33,91,59,20000
53,33,40,111,1
54,33,164,150,1
55,33,93,44,10
56,33,188,268,1
57,34,90,43,300
58,34,97,115,5
59,34,91,59,20000
60,34,40,41,1
61,34,164,149,1
62,34,93,44,10
63,34,188,268,1
64,41,90,43,500
65,41,97,115,10
66,41,91,59,60000
67,41,164,149,1
68,41,93,44,15
69,41,188,268,1
70,42,90,43,500
71,42,97,115,10
72,42,91,59,60000
73,42,93,44,15
74,42,188,268,1
75,43,90,43,500
76,43,97,115,10
77,43,91,59,60000
78,43,93,44,15
79,43,188,268,1
80,44,90,43,500
81,44,97,115,10
82,44,91,59,100000
83,44,93,44,20
84,44,188,268,1
85,44,55,710001,1
