id,heroes_id,stage,race_instance_id,season,weather,ground
1,1,0,670001,1,0,0
2,1,1,670001,1,0,0
3,1,2,670002,1,0,0
4,2,0,670003,2,0,0
5,2,1,670003,2,0,0
6,2,2,670004,2,0,0
7,3,0,670005,3,0,0
8,3,1,670005,3,0,0
9,3,2,670006,3,0,0
10,4,0,670007,3,0,0
11,4,1,670007,3,0,0
12,4,2,670008,3,0,0
13,5,0,670009,4,0,0
14,5,1,670009,4,0,0
15,5,2,670010,4,0,0
16,6,0,670011,1,0,0
17,6,1,670011,1,0,0
18,6,2,670012,1,0,0
19,7,0,670013,2,0,0
20,7,1,670013,2,0,0
21,7,2,670014,2,0,0
22,8,0,670015,3,0,0
23,8,1,670015,3,0,0
24,8,2,670016,3,0,0
25,9,0,670017,3,0,0
26,9,1,670017,3,0,0
27,9,2,670018,3,0,0
28,10,0,670019,4,0,0
29,10,1,670019,4,0,0
30,10,2,670020,4,0,0
31,11,0,670021,1,0,0
32,11,1,670021,1,0,0
33,11,2,670022,1,0,0
34,12,0,670023,2,0,0
35,12,1,670023,2,0,0
36,12,2,670024,2,0,0
37,13,0,670025,3,0,0
38,13,1,670025,3,0,0
39,13,2,670026,3,0,0
40,14,0,670027,4,0,0
41,14,1,670027,4,0,0
42,14,2,670028,4,0,0
43,15,0,670029,1,0,0
44,15,1,670029,1,0,0
45,15,2,670030,1,0,0
