id,default_npc_group_id,default_npc_team_id,card_rarity_data_id,chara_id,race_dress_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_id,skill_level,skill_set_id
1,2000,1,10100103,1010,101001,681,411,573,621,551,7,7,3,1,5,7,3,1,7,6,100101,3,510011
2,2000,1,10410103,1041,104101,688,395,551,522,583,7,6,1,1,7,7,2,1,7,1,100411,3,510012
3,2000,1,10610103,1061,106101,699,384,617,548,578,7,6,6,5,1,6,7,4,7,1,100611,3,510021
4,2000,2,10280103,1028,102801,674,389,534,707,675,7,6,2,1,6,7,5,1,7,2,100281,3,510011
5,2000,2,10380103,1038,103801,690,351,539,636,625,7,4,1,1,6,7,3,1,7,2,100381,3,510012
6,2000,2,10420103,1042,104201,682,326,589,594,581,7,7,3,1,5,7,7,6,7,2,100421,3,510011
7,2000,3,10510103,1051,105101,722,383,544,660,536,7,7,3,1,2,7,7,1,7,2,100511,3,510012
8,2000,3,10530103,1053,105301,703,372,591,574,544,7,7,5,1,1,3,7,5,7,4,100531,3,510022
9,2000,3,10870103,1087,108701,689,356,555,543,667,7,6,1,1,7,7,1,1,7,1,100871,3,510001
10,2000,4,10780103,1078,107801,742,410,680,686,565,6,7,7,1,3,7,5,1,7,4,100781,3,510011
11,2000,4,10100103,1010,101001,664,388,604,605,613,7,7,3,1,5,7,3,1,7,6,100101,3,510012
12,2000,4,10280103,1028,102801,642,344,521,610,692,7,6,2,1,6,7,5,1,7,2,100281,3,510011
13,2000,5,10530103,1053,105301,624,367,686,588,689,7,7,5,1,1,3,7,5,7,4,100531,3,510021
14,2000,5,10380103,1038,103801,684,404,512,595,661,7,4,1,1,6,7,3,1,7,2,100381,3,510011
15,2000,5,10610103,1061,106101,701,333,697,531,651,7,6,6,5,1,6,7,4,7,1,100611,3,510022
16,2001,6,10020103,1002,100201,718,523,673,605,540,4,7,7,3,7,5,3,1,7,1,100021,3,510101
17,2001,6,10040103,1004,100401,650,560,640,543,650,6,7,6,5,7,3,1,1,7,4,100041,3,510102
18,2001,6,10060103,1006,100601,618,525,678,610,618,3,7,7,6,2,7,7,4,7,6,100061,3,510112
19,2001,7,10080103,1008,100801,638,525,698,548,598,2,7,7,2,5,6,7,2,7,1,100081,3,510121
20,2001,7,10090103,1009,100901,648,575,658,615,525,2,7,7,6,7,7,3,1,7,1,100091,3,510102
21,2001,7,10100103,1010,101001,701,467,721,558,605,7,7,3,1,5,7,3,1,7,6,100101,3,510111
22,2001,8,10110103,1011,101101,605,558,585,623,640,1,7,6,7,2,7,7,2,7,1,100111,3,510122
23,2001,8,10140103,1014,101401,630,593,593,640,610,2,7,7,6,3,7,7,5,7,6,100141,3,510112
24,2001,8,10050103,1005,100501,705,477,628,650,550,6,7,6,3,5,7,5,1,7,2,100051,3,510111
25,2001,9,10120103,1012,101201,663,598,718,440,585,4,7,7,6,1,6,5,7,7,3,100121,3,510131
26,2001,9,10190103,1019,101901,689,506,599,570,653,2,7,7,1,1,7,7,6,7,7,100191,3,510121
27,2001,9,10220103,1022,102201,701,548,691,630,439,2,7,7,5,4,7,3,5,7,1,100221,3,510111
28,2001,10,10290103,1029,102901,636,541,596,636,615,4,7,7,3,5,7,2,1,7,6,100291,3,510111
