id,npc_group_id,mob_id,speed,stamina,pow,guts,wiz,proper_distance_short,proper_distance_mile,proper_distance_middle,proper_distance_long,proper_running_style_nige,proper_running_style_senko,proper_running_style_sashi,proper_running_style_oikomi,proper_ground_turf,proper_ground_dirt,skill_set_id_1,skill_set_id_2
1,2000,-1,399,251,367,362,344,7,3,2,1,7,3,2,1,6,1,500001,500002
2,2000,-1,397,252,371,334,357,6,2,1,1,6,7,3,1,7,1,500011,500012
3,2000,-1,392,246,366,324,358,6,1,3,1,3,6,7,1,6,1,500021,500022
4,2000,-1,389,252,375,359,337,6,3,2,1,3,6,3,7,7,1,500031,500032
5,2000,-1,391,257,364,345,367,6,2,1,1,7,5,4,1,7,1,500001,500002
6,2000,-1,398,253,365,339,358,6,1,3,1,3,7,6,1,7,1,500011,500012
7,2000,-1,393,252,367,329,359,6,3,2,1,3,4,7,6,7,1,500021,500022
8,2000,-1,392,256,352,359,333,6,2,1,1,1,3,4,7,7,1,500031,500032
9,2000,-1,382,259,366,345,362,5,1,3,1,2,7,4,3,7,1,500011,500012
10,2000,-1,384,254,362,339,360,6,3,2,1,1,7,4,3,6,1,500011,500012
11,2001,-1,392,263,365,337,349,3,7,2,1,7,3,2,1,6,1,500101,500102
12,2001,-1,394,259,367,339,351,2,6,1,1,6,7,3,1,7,1,500111,500112
13,2001,-1,397,254,378,341,354,1,6,3,1,3,6,7,1,6,1,500121,500122
14,2001,-1,391,250,378,336,348,3,6,2,1,3,6,3,7,7,1,500131,500132
15,2001,-1,396,266,369,340,353,2,6,1,1,7,5,4,1,7,1,500101,500102
16,2001,-1,390,256,363,335,347,1,6,3,1,3,7,6,1,7,1,500111,500112
17,2001,-1,395,253,376,339,352,3,6,2,1,3,4,7,6,7,1,500121,500122
18,2001,-1,399,256,385,343,355,2,6,1,1,1,3,4,7,7,1,500131,500132
19,2001,-1,393,258,366,338,350,1,6,3,1,2,7,4,3,7,1,500111,500112
20,2001,-1,398,261,371,342,354,3,6,2,1,1,7,4,3,6,1,500111,500112
21,2002,-1,401,291,347,332,334,1,2,7,2,7,3,2,1,7,1,500201,500202
22,2002,-1,407,282,361,314,337,1,2,6,2,6,7,3,1,7,1,500211,500212
23,2002,-1,402,256,361,284,338,1,2,7,2,3,6,7,1,6,1,500221,500222
24,2002,-1,409,251,355,289,337,1,2,6,2,3,6,3,7,7,1,500231,500232
25,2002,-1,405,287,364,325,337,1,2,7,2,3,7,6,1,6,1,500211,500212
26,2002,-1,408,293,351,339,358,1,2,6,2,7,4,6,1,7,1,500201,500202
27,2002,-1,403,252,347,309,349,1,2,7,2,3,7,3,6,7,1,500211,500212
28,2002,-1,402,255,371,277,333,1,2,6,2,1,3,7,6,7,1,500221,500222
29,2002,-1,403,262,366,285,342,1,2,7,2,6,3,4,7,6,1,500231,500232
30,2002,-1,404,264,372,299,340,1,2,7,2,1,6,7,3,7,1,500221,500222
31,2003,-1,371,401,347,299,334,1,1,3,7,7,3,2,1,7,1,500301,500302
32,2003,-1,382,407,361,304,337,1,1,3,7,6,7,3,1,7,1,500311,500312
33,2003,-1,366,402,361,284,338,1,1,3,7,3,6,7,1,7,1,500321,500322
34,2003,-1,381,409,355,289,337,1,1,3,7,3,6,3,7,7,1,500331,500332
35,2003,-1,377,405,364,305,337,1,1,3,7,7,5,4,1,7,1,500301,500302
36,2003,-1,373,408,351,309,358,1,1,3,7,3,7,6,1,7,1,500311,500312
37,2003,-1,369,403,347,297,349,1,1,3,7,3,4,7,6,7,1,500321,500322
38,2003,-1,375,402,371,277,333,1,1,3,7,1,3,4,7,7,1,500331,500332
39,2003,-1,380,403,366,285,342,1,1,3,7,2,7,4,3,7,1,500311,500312
40,2003,-1,379,404,372,299,340,1,1,3,7,1,7,4,3,7,1,500311,500312
51,2011,-1,392,263,365,337,349,3,7,2,1,7,3,2,1,1,6,501101,501102
52,2011,-1,394,259,367,339,351,2,6,1,1,6,7,3,1,1,7,501111,501112
53,2011,-1,397,254,378,341,354,1,6,3,1,3,6,7,1,1,6,501121,501122
54,2011,-1,391,250,378,336,348,3,6,2,1,3,6,3,7,1,7,501131,501132
55,2011,-1,396,266,369,340,353,2,6,1,1,7,5,4,1,1,6,501101,501102
56,2011,-1,390,256,363,335,347,1,6,3,1,3,7,6,1,1,7,501111,501112
57,2011,-1,395,253,376,339,352,3,6,2,1,3,4,7,6,1,6,501121,501122
58,2011,-1,399,256,385,343,355,2,6,1,1,1,3,4,7,1,7,501131,501132
59,2011,-1,393,258,366,338,350,1,6,3,1,2,7,4,3,1,6,501111,501112
60,2011,-1,398,261,371,342,354,3,6,2,1,1,7,4,3,1,7,501111,501112
61,2012,-1,392,366,372,293,372,1,2,7,2,7,3,2,1,1,6,501201,501202
62,2012,-1,394,354,381,294,367,1,2,6,2,6,7,3,1,1,7,501211,501212
63,2012,-1,396,356,383,296,376,1,2,7,2,3,6,7,1,1,6,501221,501222
64,2012,-1,391,351,384,305,371,1,2,6,2,3,6,3,7,1,7,501231,501232
65,2012,-1,396,356,383,296,369,1,2,7,2,3,7,6,1,1,6,501211,501212
66,2012,-1,390,364,370,291,370,1,2,6,2,7,4,6,1,1,7,501201,501202
67,2012,-1,395,355,382,295,368,1,2,7,2,3,7,3,6,1,6,501211,501212
68,2012,-1,395,355,382,295,375,1,2,6,2,1,3,7,6,1,7,501221,501222
69,2012,-1,391,351,384,305,371,1,2,7,2,6,3,4,7,1,6,501231,501232
70,2012,-1,397,357,384,296,377,1,2,7,2,1,6,7,3,1,7,501221,501222
81,2020,-1,399,251,367,362,344,7,3,2,1,7,3,2,1,6,1,502001,502002
82,2020,-1,397,252,371,334,357,6,2,1,1,6,7,3,1,7,1,502011,502012
83,2020,-1,392,246,366,324,358,6,1,3,1,3,6,7,1,6,1,502021,502022
84,2020,-1,389,252,375,359,337,6,3,2,1,3,6,3,7,7,1,502031,502032
85,2020,-1,391,257,364,345,367,6,2,1,1,7,5,4,1,7,1,502001,502002
86,2020,-1,398,253,365,339,358,6,1,3,1,3,7,6,1,7,1,502011,502012
87,2020,-1,393,252,367,329,359,6,3,2,1,3,4,7,6,7,1,502021,502022
88,2020,-1,392,256,352,359,333,6,2,1,1,1,3,4,7,7,1,502031,502032
89,2020,-1,382,259,366,345,362,5,1,3,1,2,7,4,3,7,1,502011,502012
90,2020,-1,384,254,362,339,360,6,3,2,1,1,7,4,3,6,1,502011,502012
91,2030,-1,399,251,367,362,344,7,3,2,1,7,3,2,1,7,1,500003,500004
92,2030,-1,397,252,371,334,357,7,2,1,1,6,7,3,1,7,1,500013,500014
93,2030,-1,392,246,366,324,358,7,1,3,1,3,6,7,1,7,1,500023,500024
94,2030,-1,389,252,375,359,337,7,3,2,1,3,6,3,7,7,1,500033,500034
95,2030,-1,391,257,364,345,367,7,2,1,1,7,5,4,1,7,1,500003,500004
