id,heroes_id,heroes_ranking_border_id,item_category,item_id,item_num
1,14,1,193,315,1
2,14,1,90,43,5000
3,14,1,55,750014,1
4,14,2,193,316,1
5,14,2,90,43,4000
6,14,2,55,750014,1
7,14,3,193,316,1
8,14,3,90,43,3000
9,14,3,55,750014,1
10,14,4,193,317,1
11,14,4,90,43,1500
12,14,4,55,750014,1
13,14,5,90,43,1200
14,14,5,55,750014,1
15,14,6,90,43,900
16,14,6,55,750014,1
17,14,7,90,43,750
18,14,7,55,750014,1
19,14,8,90,43,500
20,14,8,55,750014,1
21,15,1,193,315,1
22,15,1,90,43,5000
23,15,1,55,750015,1
24,15,2,193,316,1
25,15,2,90,43,4000
26,15,2,55,750015,1
27,15,3,193,316,1
28,15,3,90,43,3000
29,15,3,55,750015,1
30,15,4,193,317,1
31,15,4,90,43,1500
32,15,4,55,750015,1
33,15,5,90,43,1200
34,15,5,55,750015,1
35,15,6,90,43,900
36,15,6,55,750015,1
37,15,7,90,43,750
38,15,7,55,750015,1
39,15,8,90,43,500
40,15,8,55,750015,1
