chara_id,event_type,body_shape,prop_id_right,prop_eat_animation_right,override_motion_right,prop_id_left,prop_eat_animation_left,override_motion_left,walk_motion,walk_chara_face_type,eat_motion,eat_facial_motion,odds
1001,0,0,0,,,0,,,,,,,80
1001,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1001,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1001,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1006,0,0,0,,,0,,,,,,,80
1006,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1006,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1006,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1007,0,0,0,,,0,,,,,,,80
1007,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1007,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1007,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1008,0,0,0,,,0,,,,,,,80
1008,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1008,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1008,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1010,0,0,0,,,0,,,,,,,80
1010,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1010,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1010,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1014,0,0,0,,,0,,,,,,,80
1014,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1014,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
1014,0,1,120700,eat17_02_home,,117800,,,bag06_01,WaraiA,eat17_02_home,eat17_02_home_loop_face,7
1035,0,0,0,,,0,,,,,,,80
1035,0,1,118301,eat16_02,,116600,,,eat16_01,WaraiA,eat16_02,eat16_02_loop_face,7
1035,0,1,113503,eat17_01_home,,117800,,,bag06_01,WaraiA,eat17_01_home,eat17_01_home_loop_face,7
