id,event_id,event_story_type,event_walk_type,event_walk_propid,event_footer_type,event_footer_propid,start_date,end_date
1,20001,0,0,0,0,0,1629082800,1632884399
2,20002,0,0,0,0,0,1644807600,1648522799
3,20003,0,0,0,0,0,1651114800,1652817599
4,20004,0,0,0,0,0,1660618800,1664420399
5,0,2,2,100306,2,100306,1666234800,1667530799
6,20005,0,0,0,0,0,1669604400,1671980399
7,20006,0,0,0,0,0,1676343600,1680058799
8,20007,0,0,0,0,0,1691982000,1695956399
9,20008,0,0,0,0,0,1702263600,1703516399
10,20009,0,0,0,0,0,1707879600,1711681199
11,0,0,2,100312,2,100312,1715828400,1717124399
12,20010,0,0,0,0,0,1723604400,1724468399
13,20010,0,3,0,0,0,1724468400,1726196399
14,20010,0,0,0,0,0,1726196400,1727665199
15,20008,0,0,0,0,0,1733799600,1735138799
16,20011,0,0,0,0,0,1739502000,1743389999
17,20012,0,0,0,0,0,1755140400,1759114799
18,20008,0,0,0,0,0,1765422000,1766674799
19,20013,0,0,0,0,0,1771038000,1774839599
