id,pos_index,priority,height,width,posi_vertical,posi_horizontal,detail_value,url_value,url,start_date,end_date
1001,3,1,256,172,-11,85,1,0,0,1519884000,2524575600
1004,3,0,256,162,-11,85,1,1,https://anime-umamusume.jp/archive/1st/bd/,1519884000,1640962800
1005,1,1,123,256,-9,-80,1,1,https://www.youtube.com/channel/UCAWxPGGuIfWME2KTLUmSCHw,1519884000,2524575600
1006,2,0,256,181,3,3,1,1,https://anime-umamusume.jp/,1519884000,2524575600
1007,3,0,256,164,-11,85,1,1,https://anime-umamusume.jp/bd/,1519884000,2524575600
1009,2,0,256,192,3,3,1,1,https://www.youtube.com/playlist?list=PLzFNGS7Rcf-NQVVNdLtg51ol1Z6iNw8h8,1619924400,1621022399
1010,3,0,256,164,-11,85,1,1,https://anime-umamusume.jp/bd/,1624244400,2524575600
1011,3,0,256,164,-11,85,1,1,https://anime-umamusume.jp/bd/,1626750000,2524575600
1012,3,0,256,164,-11,85,1,1,https://anime-umamusume.jp/bd/,1628650800,1644375599
1013,2,0,177,179,-3,8,1,1,https://umamusume.jp/products/detail.php?id=products-036,1632106800,2524575600
1015,2,0,256,180,-11,1,1,1,https://topgunmovie.jp/,1650596400,1656557999
1017,2,0,256,210,-11,1,1,1,https://umamusume.jp/products/detail.php?id=products-038,1646017200,1656557999
1018,2,0,256,171,-11,3,1,0,,1643943600,1644461999
1019,2,0,256,171,-11,3,1,1,https://www.family.co.jp/campaign/spot/2202_umamusume_cp.html,1644462000,1646017199
1020,3,0,253,256,-11,80,1,1,https://umamusume.jp/products/detail.php?id=products-039,1644375600,1654829999
1021,1,0,256,256,-11,-77,1,1,https://umamusume.jp/anime/1st-anniversary/,1645671600,1648609199
1022,1,0,256,192,-11,-75,1,1,https://www.youtube.com/playlist?list=PLzFNGS7Rcf-MqoT8eyLenBxZtT25Axy3W,1651114800,1652817599
1023,1,0,135,256,-9,-77,1,1,https://umamusume.jp/mejiro/,1648785600,1649390399
1024,3,0,256,200,-11,80,1,1,https://umamusume.jp/products/detail.php?id=products-044,1654830000,1661309999
1025,2,1,256,192,-11,3,1,0,https://umamusume.jp/,1519884000,2524575600
1026,2,2,256,256,-11,3,1,1,https://umamusume.jp/products/detail.php?id=products-046,1656558000,1664506799
1027,3,4,256,172,-11,80,1,1,https://umamusume.cystore.com/,1661310000,1664593199
1028,2,0,256,256,-11,3,1,1,https://umamusume.jp/products/detail.php?id=products-047,1664420400,2524575600
1029,1,4,134,256,-9,-80,1,1,https://www.youtube.com/playlist?list=PLzFNGS7Rcf-NQHlzyeN_TL_xsvKThT7hz,1665975600,1680058799
1030,2,4,256,170,-11,3,1,1,https://number.bunshun.jp/list/magazine/number,1666234800,1667530799
1031,3,4,256,181,-11,80,1,1,https://www.tokyomegaillumi.jp/,1665802800,1673233199
1032,2,3,256,179,-11,3,1,1,https://umamusume.jp/event/sd4th/,1664506800,1668308399
1034,2,4,180,256,-11,5,1,1,https://www.umamusume-stage.com/,1670814000,1675004399
1036,2,4,186,256,-11,5,1,1,https://www.sej.co.jp/cmp/um2302.html?utm_source=cygames&utm_medium=referral&utm_campaign=um2302,1676343600,1678244399
1037,2,4,144,256,-11,7,1,1,https://umamusume.jp/boc_z/,1680318000,1681095599
1038,2,4,144,256,-11,7,1,1,https://tonarinoyj.jp/episode/4856001361011376396,1681095600,1682279999
1039,2,4,256,192,-11,5,1,1,https://www.youtube.com/playlist?list=PLzFNGS7Rcf-N-2r7pUv6o7go-RleBY7PN,1682650800,1684353599
1040,1,4,256,180,-9,-80,1,1,https://www.youtube.com/playlist?list=PLzFNGS7Rcf-PZC8MfcTJX7srArpLdvyfb,1681700400,1692845999
1041,3,4,144,256,-11,85,1,1,https://umamusume.jp/event/gb5th/,1682650800,1688007599
1042,3,4,256,256,-11,85,1,1,https://umamusume.jp/event/gb5th/,1688007600,1689562799
1043,3,4,256,256,-11,85,1,1,https://umamusume.jp/event/gb5th/,1689562800,1690167599
1044,3,4,144,256,-11,85,1,1,https://umamusume.jp/event/gb5th/,1690167600,1695005999
1045,2,4,256,171,-11,5,1,0,,1692072000,1692251999
1046,2,4,256,171,-11,5,1,1,https://www.family.co.jp/campaign/spot/2308_umamusume_cp,1692252000,1694444399
1047,1,4,256,181,-11,-80,1,1,https://anime-umamusume.jp/,1692846000,1696474799
1048,3,4,144,256,-11,85,1,1,https://umamusume.jp/event/gb5th/,1695006000,1695524399
1049,2,4,256,180,-11,5,1,1,https://realdgame.jp/umamusume/,1694487600,1695956399
1050,3,4,200,256,-11,85,1,1,https://youngjump.jp/info/uma_link/,1695524400,1696733999
1051,2,4,256,192,-11,5,1,0,,1695956400,1696906799
1052,1,4,256,181,-11,-80,1,1,https://anime-umamusume.jp/,1696474800,1704916799
1053,3,4,256,180,-11,85,1,1,https://www.sanspo-eshop.com/,1697425200,1697943599
1054,2,4,181,256,-11,5,1,1,https://www.tokyomegaillumi.jp/,1698807600,1704725999
1055,3,4,256,187,-11,85,1,1,https://www.corocoro.jp/episode/14079602755425447045,1701313200,1703991599
1056,3,4,256,256,-11,85,1,1,https://umamusume.jp/event/gb5th/,1704682800,1707101999
1057,3,4,256,256,-11,85,1,1,https://umamusume.jp/event/gb5th/,1707102000,1708311599
1058,3,4,144,256,-11,85,1,1,https://umamusume.jp/event/gb5th/newgate/,1708311600,1711249199
1059,3,4,144,256,-11,85,1,1,https://umamusume.jp/event/gb5th/newgate/,1711249200,1712458799
1060,1,4,256,164,-11,-80,1,1,https://anime-umamusume.jp/bd?t=1,1704916800,1707620399
1061,2,4,186,256,-11,5,1,1,https://www.sej.co.jp/cmp/um2402/?utm_source=official&utm_medium=referral&utm_campaign=um2402,1708052400,1710428399
1062,1,4,180,256,-11,-80,1,1,https://corocoro.jp/news/379928/,1709089200,1711249199
1063,2,4,235,256,-11,5,1,1,https://youngjump.jp/info/uma_link/,1710730800,1711940399
1064,2,4,144,256,-11,5,1,1,https://umamusume.jp/special/uma_stars/,1711940400,1712717999
1065,1,4,256,164,-11,-80,1,1,https://anime-umamusume.jp/bd?t=2,1707620400,1709089199
1066,2,4,256,181,-7,1,1,1,https://movie-umamusume.jp/,1706670000,1708052399
1067,1,4,256,180,-11,-80,1,1,https://movie-umamusume.jp/,1711681200,1712847599
1068,2,4,144,256,-11,5,1,1,https://umamusume.jp/special/gochiweek/,1714446000,1716148799
1069,3,4,256,170,-11,85,1,1,https://number.bunshun.jp/list/magazine/number,1715828400,1717124399
1070,1,4,256,180,-11,-80,1,1,https://movie-umamusume.jp/,1712847600,1716474599
