id,item_category,group_id,effect_type_1,effect_target_1,effect_value_1,effect_type_2,effect_target_2,effect_value_2,add_value_1,add_value_2,add_value_3,limit_num,possession_limit_num,disp_limit_num,sort,rare,enable_request,request_reward,item_place_id,sell_item_id,sell_price,start_date,end_date
1,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2000201,0,1,5,1,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
4,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2000301,0,1,5,4,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
7,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2000401,0,1,5,7,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
10,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2000501,0,1,5,10,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
13,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2000601,0,1,5,13,59,10,2017/1/1 0:00:00,2050/1/1 0:00:00
25,11,0,0,0,0,0,0,0,0,0,0,9999,0,9999,2000701,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
26,11,0,0,0,0,0,0,0,0,0,0,9999,0,9999,2000801,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
27,11,0,0,0,0,0,0,0,0,0,0,9999,0,9999,2000901,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
28,11,0,0,0,0,0,0,0,0,0,0,9999,0,9999,2001001,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
32,20,0,2,0,30,0,0,0,0,0,0,9999,0,9999,1000101,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
34,21,0,2,0,1,0,0,0,0,0,0,9999,0,9999,1000301,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
35,21,0,2,0,5,0,0,0,0,0,0,9999,0,9999,1000401,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
41,40,0,1,0,0,0,0,0,0,1,1,9999,0,9999,3000101,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
43,90,0,0,0,0,0,0,0,0,0,0,9999999,9999999,9999999,5000401,1,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
44,93,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2000101,1,0,0,44,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
45,94,0,0,0,0,0,0,0,0,0,0,999999,999999,999999,5000501,0,0,0,0,0,0,2026/5/29 12:00:00,2026/6/18 11:59:59
48,160,0,1,0,1,0,0,0,0,0,0,999999,0,999999,4000301,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
49,160,0,1,0,2,0,0,0,0,0,0,999999,0,999999,4000401,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
50,160,0,1,0,3,0,0,0,0,0,0,999999,0,999999,4000501,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
57,99,0,0,0,0,0,0,0,0,0,0,999999,0,999999,4000601,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
58,100,0,0,0,0,0,0,0,0,0,0,999999999,999999999,999999999,5001001,0,0,0,0,0,0,2026/5/29 12:00:00,2026/6/18 11:59:59
59,91,0,0,0,0,0,0,0,0,0,0,999999999,999999999,999999999,5000101,0,0,0,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
60,110,0,0,0,0,0,0,0,0,0,0,9999,9999,9999,5001301,0,0,5,0,0,0,2017/1/1 0:00:00,2050/1/1 0:00:00
69,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2100101,1,1,5,69,59,20,2017/1/1 0:00:00,2050/1/1 0:00:00
70,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2100201,1,1,5,70,59,20,2017/1/1 0:00:00,2050/1/1 0:00:00
71,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2100301,1,1,5,71,59,20,2017/1/1 0:00:00,2050/1/1 0:00:00
72,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2100401,1,1,5,72,59,20,2017/1/1 0:00:00,2050/1/1 0:00:00
73,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2100501,1,1,5,73,59,20,2017/1/1 0:00:00,2050/1/1 0:00:00
74,11,0,0,0,0,0,0,0,0,0,0,99999,0,9999,2100601,1,1,5,74,59,20,2017/1/1 0:00:00,2050/1/1 0:00:00
