id,item_exchange_disp_order,item_exchange_type,item_top_category,is_anniv_shop_top,shop_enter_trigger,start_date,end_date
1001,98,0,1,0,0,1756436400,1759762799
1002,98,0,1,0,0,1759762800,1769828399
1003,97,0,0,0,0,1759762800,2542978799
2000,10,0,0,0,0,1496242800,2542978799
3000,70,0,0,0,0,1496242800,2542978799
4000,60,0,0,0,0,1496242800,2542978799
5000,80,1,0,0,0,1496242800,2542978799
5001,81,1,0,0,0,1496242800,2542978799
5002,82,1,0,0,0,1496242800,2542978799
5003,83,1,0,0,0,1496242800,2542978799
5004,84,1,0,0,0,1496242800,2542978799
5005,85,1,0,0,0,1696474800,2542978799
5006,86,1,0,0,0,1704078000,2542978799
5007,86,1,0,0,0,1496242800,2542978799
5008,86,1,0,0,0,1496242800,2542978799
5009,86,1,0,0,0,1496242800,2542978799
5010,86,1,0,0,0,1496242800,2542978799
5011,86,1,0,0,0,1496242800,2542978799
5012,86,1,0,0,0,1496242800,2542978799
5013,86,1,0,0,0,1496242800,2542978799
5014,86,1,0,0,0,1496242800,2542978799
5015,86,1,0,0,0,1496242800,2542978799
5016,86,1,0,0,0,1496242800,2542978799
5017,86,1,0,0,0,1496242800,2542978799
5500,90,0,0,0,0,1496242800,2542978799
5501,91,0,0,0,0,1496242800,2542978799
5502,92,1,0,0,0,1496242800,2542978799
5503,93,1,0,0,0,1496242800,2542978799
5504,94,1,0,0,0,1496242800,2542978799
5505,95,1,0,0,0,1496242800,2542978799
5506,96,1,0,0,0,1696474800,2542978799
5507,96,1,0,0,0,1496242800,2542978799
5508,96,1,0,0,0,1496242800,2542978799
5509,96,1,0,0,0,1496242800,2542978799
5510,96,1,0,0,0,1496242800,2542978799
5511,96,1,0,0,0,1496242800,2542978799
5512,96,1,0,0,0,1496242800,2542978799
5513,96,1,0,0,0,1496242800,2542978799
5514,96,1,0,0,0,1496242800,2542978799
5515,96,1,0,0,0,1496242800,2542978799
5516,96,1,0,0,0,1496242800,2542978799
5518,96,1,0,0,0,1496242800,2542978799
5519,96,1,0,0,0,1496242800,2542978799
5520,96,0,0,0,0,1496242800,2542978799
6000,79,0,0,0,0,1693796400,2542978799
7000,30,0,0,0,0,1496242800,2542978799
7001,40,0,0,0,0,1496242800,2542978799
7002,50,0,0,0,0,1496242800,2542978799
8000,20,0,0,0,0,1496242800,2542978799
8001,20,0,0,0,0,1496242800,2542978799
9000,100,0,0,0,0,1496242800,2542978799
10000,75,0,0,0,0,1496242800,2542978799
10001,77,0,0,0,0,1496242800,2542978799
11000,78,0,1,0,0,1639450800,1640401199
11001,78,0,1,0,0,1648090800,1648781999
11002,78,0,1,0,0,1663642800,1664679599
11003,78,0,1,0,0,1681873200,1682909999
11004,78,0,1,0,0,1693450800,1694660399
11005,78,0,1,0,0,1708743600,1709780399
11006,78,0,1,0,0,1719370800,1720753199
11007,78,0,1,0,0,1730170800,1731293999
11008,78,0,1,0,0,1740366000,1741402799
11009,78,0,1,0,0,1750993200,1752116399
11010,78,0,1,0,0,1761706800,1762743599
11011,78,0,1,0,0,1771902000,1773025199
11012,78,0,1,0,0,1782702000,1783911599
12000,96,0,2,1,12006,1644807600,1648522799
12001,97,0,2,0,12006,1644807600,1648522799
12002,98,0,2,0,12006,1644807600,1648522799
12003,99,0,2,1,12007,1660618800,1664420399
12004,100,0,2,0,12007,1660618800,1664420399
12005,96,0,2,1,12008,1676343600,1680058799
12006,97,0,2,0,12008,1676343600,1680058799
12007,96,0,2,1,12007,1691982000,1695956399
12008,97,0,2,0,12007,1691982000,1695956399
12009,96,0,2,1,12009,1707879600,1711681199
12010,97,0,2,0,12009,1707879600,1711681199
12011,102,0,2,1,12007,1723604400,1727665199
12012,103,0,2,0,12007,1723604400,1727665199
12013,102,0,2,1,12010,1739502000,1743389999
12014,103,0,2,0,12010,1739502000,1743389999
12015,102,0,2,1,12007,1755140400,1759114799
12016,103,0,2,0,12007,1755140400,1759114799
12017,102,0,2,1,12011,1771038000,1774839599
12018,103,0,2,0,12011,1771038000,1774839599
13000,101,0,0,0,0,1708743600,2542978799
16000,71,0,0,0,0,1759762800,2542978799
16001,72,0,0,0,0,1759762800,2542978799
20001,95,0,1,0,0,1641870000,1642733999
20002,95,0,1,0,0,1649991600,1650855599
20003,95,0,1,0,0,1674442800,1675306799
20004,95,0,1,0,0,1684724400,1685588399
20005,95,0,1,0,0,1695351600,1696215599
20006,95,0,1,0,0,1703127600,1703991599
20007,95,0,1,0,0,1728615600,1729652399
