id,mini_bg_id_1,mini_bg_id_2,mini_bg_id_3,mini_bg_id_4,mini_bg_id_5
1,30005,30007,0,0,0
2,30004,30006,0,0,0
3,30001,30004,0,0,0
4,30002,30004,0,0,0
1001,30010,30012,30013,30014,30015
1002,30012,30010,30013,30014,30015
1003,30014,30012,30013,30010,30015
1004,30013,30012,30010,30014,30015
1005,30015,30012,30013,30014,30010
1006,30014,30012,30013,30011,30015
1007,30013,30012,30011,30014,30015
1008,30015,30012,30013,30014,30011
1011,30016,30018,30019,30020,30021
1012,30018,30016,30019,30020,30021
1013,30020,30018,30019,30016,30021
1014,30019,30018,30016,30020,30021
1015,30021,30018,30019,30020,30016
1016,30020,30018,30019,30017,30021
1017,30019,30018,30017,30020,30021
1018,30021,30018,30019,30020,30017
1021,30022,30024,30025,30026,30027
1022,30024,30022,30025,30026,30027
1023,30026,30024,30025,30022,30027
1024,30025,30024,30022,30026,30027
1025,30027,30024,30025,30026,30022
1026,30026,30024,30025,30023,30027
1027,30025,30024,30023,30026,30027
1028,30027,30024,30025,30026,30023
1029,30016,30018,30019,30020,30021
1030,30018,30016,30019,30020,30021
1031,30020,30018,30019,30016,30021
1032,30019,30018,30016,30020,30021
1033,30021,30018,30019,30020,30016
1034,30020,30018,30019,30017,30021
1035,30019,30018,30017,30020,30021
1036,30021,30018,30019,30020,30017
