id,place_id,genre_id,main_reward_slots_id,main_reward_1_item_disp_type,main_reward_1_item_category,main_reward_1_item_id,main_reward_1_item_num,main_reward_2_item_disp_type,main_reward_2_item_category,main_reward_2_item_id,main_reward_2_item_num,main_reward_3_item_disp_type,main_reward_3_item_category,main_reward_3_item_id,main_reward_3_item_num,main_reward_4_item_disp_type,main_reward_4_item_category,main_reward_4_item_id,main_reward_4_item_num,main_reward_5_item_disp_type,main_reward_5_item_category,main_reward_5_item_id,main_reward_5_item_num,main_reward_6_item_disp_type,main_reward_6_item_category,main_reward_6_item_id,main_reward_6_item_num,main_reward_7_item_disp_type,main_reward_7_item_category,main_reward_7_item_id,main_reward_7_item_num,main_reward_8_item_disp_type,main_reward_8_item_category,main_reward_8_item_id,main_reward_8_item_num,main_reward_9_item_disp_type,main_reward_9_item_category,main_reward_9_item_id,main_reward_9_item_num,random_drop_reward_group_id,money_reward_item_odds_group_id,money_min,support_point_reward_item_odds_group_id,support_point_min,trainer_medal,fan_num_odds_group_id,fan_num_min,love_point,minutes_to_job_complete,story_event_event_pt,story_event_roulette_coin,factor_research_gauge_up,campaign_walking_gauge_up,training_challenge_reward_coin,training_report_pt,limited_schedule_id,limited_max_count
1,6,1,1,0,11,81,1,0,11,92,1,0,0,0,0,0,11,1,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,11200,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
2,6,2,2,0,11,73,1,0,11,91,1,0,0,0,0,0,11,10,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,11200,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
3,7,3,3,0,11,69,1,0,11,75,1,0,11,79,1,0,11,4,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
4,7,1,4,0,11,76,1,0,11,77,1,0,0,0,0,0,11,4,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,11200,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
5,7,2,5,0,11,78,1,0,11,84,1,0,11,87,1,0,11,7,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
6,11,3,6,0,11,70,1,0,11,88,1,0,0,0,0,0,11,1,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,11200,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
7,12,1,7,0,11,82,1,0,11,85,1,0,11,86,1,0,11,7,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
8,12,2,8,0,11,74,1,0,11,83,1,0,0,0,0,0,11,10,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,11200,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
9,13,3,9,0,11,72,1,0,11,89,1,0,11,90,1,0,11,4,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
10,13,1,10,0,11,71,1,0,11,80,1,0,0,0,0,0,11,7,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,11200,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
11,9,2,11,0,11,101,1,0,11,105,1,0,11,106,1,0,11,13,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
12,10,4,12,0,11,175,1,0,11,176,1,0,0,0,0,0,11,13,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,11200,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
13,8,1,13,0,11,103,1,0,11,104,1,0,11,177,1,0,11,13,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
14,3,2,14,0,11,102,1,0,11,103,1,0,11,179,1,0,11,13,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
15,1,3,15,0,93,44,1,0,0,0,0,0,0,0,0,0,11,10,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
16,2,1,16,0,93,44,1,0,0,0,0,0,0,0,0,0,11,4,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
17,5,2,17,0,93,44,1,0,0,0,0,0,0,0,0,0,11,1,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
18,4,3,18,0,93,44,1,0,0,0,0,0,0,0,0,0,11,7,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
19,14,1,19,0,93,44,1,0,0,0,0,0,0,0,0,0,11,13,1,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,10800,2000,480,20,1,19000,2,600,15000,10,100,2,1000,2500,0,0
100000,1,1001,10000,0,40,220,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100001,2,1002,10001,0,40,221,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100002,3,1006,10002,0,97,115,10,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100003,4,1004,10003,0,93,44,20,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100004,5,1005,10004,0,161,134,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100005,6,1001,10005,0,172,190,3,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100006,7,1002,10000,0,40,220,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100007,8,1006,10001,0,40,221,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100008,9,1007,10002,0,97,115,10,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100009,10,1008,10003,0,93,44,20,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100010,11,1001,10004,0,161,134,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100011,12,1002,10005,0,172,190,3,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100012,13,1003,10000,0,40,220,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100013,14,1004,10001,0,40,221,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,1,1
100014,1,1011,10006,0,40,236,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100015,2,1012,10007,0,40,237,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100016,3,1016,10002,0,97,115,10,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100017,4,1014,10003,0,93,44,20,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100018,5,1015,10004,0,161,134,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100019,6,1011,10005,0,172,190,3,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100020,7,1012,10006,0,40,236,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100021,8,1016,10007,0,40,237,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100022,9,1017,10002,0,97,115,10,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100023,10,1018,10003,0,93,44,20,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100024,11,1011,10004,0,161,134,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100025,12,1012,10005,0,172,190,3,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100026,13,1013,10006,0,40,236,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100027,14,1014,10007,0,40,237,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,2,1
100028,1,1021,10006,0,40,236,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,3,1
100029,2,1022,10007,0,40,237,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,3,1
100030,3,1026,10002,0,97,115,10,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,3,1
100031,4,1024,10003,0,93,44,20,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,3,1
100032,5,1025,10004,0,161,134,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,3,1
100033,6,1021,10005,0,172,190,3,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,3,1
100034,7,1022,10006,0,40,236,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,3,1
100035,8,1026,10007,0,40,237,1,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010,21600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,3,1
100036,9,1027,10002,0,97,115,10,0,0,0,0,0,0,0,0,0,0,0,0,1,182,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1011,31600,2010,1000,40,1000,38000,2,600,15000,10,100,2,1000,2500,3,1
