music_id,sort,condition_type,is_hidden,version_type,request_type,lamp_color,lamp_animation,name_texture_length,song_type,bgm_cue_name_short,bgm_cuesheet_name_short,bgm_cue_name_gamesize,bgm_cuesheet_name_gamesize,short_length,alter_jacket,start_date,end_date
1001,9,1,0,1,0,5,1,220,5,snd_bgm_CS1001_Short,snd_bgm_CS1001_Short,snd_bgm_CS1001_GameSize,snd_bgm_CS1001_GameSize,28000,0,1561960800,4102412399
1003,10103,0,0,1,0,5,1,195,1,snd_bgm_CS1003_Short,snd_bgm_CS1003_Short,snd_bgm_CS1003_GameSize,snd_bgm_CS1003_GameSize,32500,0,1667962800,4102412399
1004,4001,1,0,1,0,2,2,340,3,snd_bgm_CS1004_Short,snd_bgm_CS1004_Short,snd_bgm_CS1004_GameSize,snd_bgm_CS1004_GameSize,28500,0,1629774000,4102412399
1005,3,1,0,1,0,5,1,220,1,snd_bgm_CS1005_Short,snd_bgm_CS1005_Short,snd_bgm_CS1005_GameSize,snd_bgm_CS1005_GameSize,23000,0,1561960800,4102412399
1006,1,0,0,1,0,3,1,220,2,snd_bgm_CS1006_Short,snd_bgm_CS1006_Short,snd_bgm_CS1006_GameSize,snd_bgm_CS1006_GameSize,24000,0,1561960800,4102412399
1007,2,1,0,1,0,3,1,335,1,snd_bgm_CS1007_Short,snd_bgm_CS1007_Short,snd_bgm_CS1007_GameSize,snd_bgm_CS1007_GameSize,23000,0,1561960800,4102412399
1008,7,1,0,1,0,1,1,285,4,snd_bgm_CS1008_Short,snd_bgm_CS1008_Short,snd_bgm_CS1008_GameSize,snd_bgm_CS1008_GameSize,38700,0,1561960800,4102412399
1009,6,1,0,1,0,2,1,346,3,snd_bgm_CS1009_Short,snd_bgm_CS1009_Short,snd_bgm_CS1009_GameSize,snd_bgm_CS1009_GameSize,36500,0,1561960800,4102412399
1010,8,1,0,1,0,4,1,275,1,snd_bgm_CS1010_Short,snd_bgm_CS1010_Short,snd_bgm_CS1010_GameSize,snd_bgm_CS1010_GameSize,27000,1,1561960800,4102412399
1012,10002,0,0,1,0,3,1,341,1,snd_bgm_CS1012_Short,snd_bgm_CS1012_Short,snd_bgm_CS1012_GameSize,snd_bgm_CS1012_GameSize,25100,0,1646622000,4102412399
1013,10105,0,0,1,0,4,2,301,6,snd_bgm_CS1013_Short,snd_bgm_CS1013_Short,snd_bgm_CS1013_GameSize,snd_bgm_CS1013_GameSize,46000,0,1667962800,4102412399
1021,5006,0,0,1,0,5,1,340,1,snd_bgm_CS1021_Short,snd_bgm_CS1021_Short,snd_bgm_CS1021_GameSize,snd_bgm_CS1021_GameSize,30800,0,1707274800,4102412399
1023,5002,0,0,1,0,4,1,405,2,snd_bgm_CS1023_Short,snd_bgm_CS1023_Short,snd_bgm_CS1023_GameSize,snd_bgm_CS1023_GameSize,23500,0,1527832801,4102412400
1024,5005,0,0,1,0,4,2,275,6,snd_bgm_CS1024_Short,snd_bgm_CS1024_Short,snd_bgm_CS1024_GameSize,snd_bgm_CS1024_GameSize,31000,0,1670814000,4102412399
1025,2001,1,0,1,0,4,2,265,1,snd_bgm_CS1025_Short,snd_bgm_CS1025_Short,snd_bgm_CS1025_GameSize,snd_bgm_CS1025_GameSize,45000,0,1561960800,4102412399
1026,2002,1,0,1,0,2,2,220,6,snd_bgm_CS1026_Short,snd_bgm_CS1026_Short,snd_bgm_CS1026_GameSize,snd_bgm_CS1026_GameSize,38000,0,1561960800,4102412399
1027,5,1,0,1,0,2,1,190,4,snd_bgm_CS1027_Short,snd_bgm_CS1027_Short,snd_bgm_CS1027_GameSize,snd_bgm_CS1027_GameSize,28200,0,1561960800,4102412399
1028,4,1,0,1,0,1,1,290,3,snd_bgm_CS1028_Short,snd_bgm_CS1028_Short,snd_bgm_CS1028_GameSize,snd_bgm_CS1028_GameSize,28500,0,1561960800,4102412399
1030,2003,1,0,1,0,3,1,340,1,snd_bgm_CS1030_Short,snd_bgm_CS1030_Short,snd_bgm_CS1030_GameSize,snd_bgm_CS1030_GameSize,27500,0,1619406000,4102412399
1031,2004,1,0,1,0,1,1,125,3,snd_bgm_CS1031_Short,snd_bgm_CS1031_Short,snd_bgm_CS1031_GameSize,snd_bgm_CS1031_GameSize,24500,0,1626750000,4102412399
1032,3001,1,0,1,0,3,1,213,2,snd_bgm_CS1032_Short,snd_bgm_CS1032_Short,snd_bgm_CS1032_GameSize,snd_bgm_CS1032_GameSize,31500,0,1617073200,4102412399
1033,4004,0,0,1,0,4,2,360,6,snd_bgm_CS1033_Short,snd_bgm_CS1033_Short,snd_bgm_CS1033_GameSize,snd_bgm_CS1033_GameSize,31000,0,1678417200,4102412399
1034,10010,0,0,1,0,3,1,317,5,snd_bgm_CS1034_Short,snd_bgm_CS1034_Short,snd_bgm_CS1034_GameSize,snd_bgm_CS1034_GameSize,18600,0,1646622000,4102412399
1035,1001,1,0,1,0,4,2,540,2,snd_bgm_CS1035_Short,snd_bgm_CS1035_Short,snd_bgm_CS1035_GameSize,snd_bgm_CS1035_GameSize,26500,0,1622170800,4102412399
