id,setlist_id,set_order,music_id,play_length
100101,1,1,1001,74000
100102,1,2,1035,88000
100103,1,3,1006,83000
100104,1,4,1003,93000
100105,1,5,1041,93000
100106,1,6,1005,87000
100107,1,7,1054,120500
100108,1,8,1062,72000
100109,1,9,1071,95000
100110,1,10,1070,89000
100111,1,11,1074,96000
100112,1,12,1047,86000
100113,1,13,1053,98000
100114,1,14,1004,98000
100115,1,15,1072,83000
100116,1,16,1027,82000
100117,1,17,1008,134000
100118,1,18,1079,97000
100119,1,19,1048,114500
100120,1,20,1066,87000
100121,1,21,1069,96000
100122,1,22,1065,104000
100123,1,23,1063,91000
100124,1,24,1009,103000
100125,1,25,1056,116000
100126,1,26,1068,113000
100127,1,27,1013,123000
100128,1,28,1010,90000
100129,1,29,1050,80000
100130,1,30,1036,102000
100131,1,31,1001,74000
100201,2,1,1001,74000
100202,2,2,1046,73000
100203,2,3,1034,82000
100204,2,4,1006,83000
100205,2,5,1061,68000
100206,2,6,1007,75000
100207,2,7,1057,96000
100208,2,8,1073,109000
100209,2,9,1077,84000
100210,2,10,1012,83000
100211,2,11,1028,80000
100212,2,12,1064,77000
100213,2,13,1053,98000
100214,2,14,1054,120500
100215,2,15,1008,134000
100216,2,16,1048,114500
100217,2,18,1078,83000
100218,2,19,1075,120000
100219,2,20,1067,95000
100220,2,21,1032,85000
100221,2,22,1043,99000
100222,2,23,1025,99000
100223,2,24,1026,102000
100224,2,25,1030,79000
100225,2,26,1031,120000
100226,2,27,1051,89000
100227,2,28,1076,81000
100228,2,29,1050,80000
100229,2,30,1036,102000
100230,2,31,1001,74000
100231,2,17,1024,109000
100301,3,1,1060,153000
100302,3,2,1097,95000
100303,3,3,1096,78000
100304,3,4,1102,83000
100305,3,5,1103,114000
100306,3,6,1104,90000
100307,3,7,1100,69000
100308,3,8,1027,82000
100309,3,9,1059,87000
100310,3,10,1036,102000
100311,3,11,1009,103000
100312,3,12,1105,99000
100313,3,13,1106,82000
100314,3,14,1028,80000
100315,3,15,1008,134000
100316,3,16,1054,120500
100317,3,17,1010,90000
100318,3,18,1050,80000
100319,3,19,1032,85000
100320,3,20,1098,110000
100321,3,21,1058,122000
100322,3,22,1053,98000
100323,3,23,1001,74000
100401,4,1,1060,153000
100402,4,2,1061,68000
100403,4,3,1006,83000
100404,4,4,1107,66500
100405,4,5,1108,60000
100406,4,6,1109,92000
100407,4,7,1086,97000
100408,4,8,1101,128000
100409,4,9,1110,125000
100410,4,10,1077,84000
100411,4,11,1033,108000
100412,4,12,1081,93000
100413,4,13,1111,72000
100414,4,14,1112,101000
100415,4,15,1113,84000
100416,4,16,1114,91000
100417,4,17,1099,100000
100418,4,18,1010,90000
100419,4,19,1048,114500
100420,4,20,1054,120500
100421,4,21,1028,80000
100422,4,22,1032,85000
100423,4,23,1058,122000
100424,4,24,1053,98000
100425,4,25,1001,74000
100501,5,1,1060,153000
100502,5,2,1008,134000
100503,5,3,1072,83000
100504,5,4,1028,80000
100505,5,5,1005,87000
100506,5,6,1027,82000
100507,5,7,1082,108200
100508,5,8,1003,93000
100509,5,9,1115,81300
100510,5,10,1068,113000
100511,5,11,1116,85600
100512,5,12,1117,71200
100513,5,13,1118,64900
100514,5,14,1032,85000
100515,5,15,1083,80200
100516,5,16,1096,78000
100517,5,17,1053,98000
100518,5,18,1042,123900
100519,5,19,1119,110500
100520,5,20,1050,80000
100521,5,21,1006,83000
100522,5,22,1051,89000
100523,5,23,1124,107500
100524,5,24,1001,74000
100601,6,1,1060,153000
100602,6,2,1012,83000
100603,6,3,1007,75000
100604,6,4,1120,89000
100605,6,5,1121,84000
100606,6,6,1057,96000
100607,6,7,1053,98000
100608,6,8,1082,108200
100609,6,9,1122,85300
100610,6,10,1123,79200
100611,6,11,1009,103000
100612,6,12,1046,73000
100613,6,13,1027,82000
100614,6,14,1004,98000
100615,6,15,1028,80000
100616,6,16,1083,80200
100617,6,17,1096,78000
100618,6,18,1087,76000
100619,6,19,1042,123900
100620,6,20,1013,123000
100621,6,21,1032,85000
100622,6,22,1078,83000
100623,6,23,1051,89000
100624,6,24,1124,107500
100625,6,26,1001,74000
100626,6,25,1028,80000
100701,7,1,1124,107500
100702,7,2,1006,83000
100703,7,3,1035,88000
100704,7,4,1097,95000
100705,7,5,1096,78000
100706,7,6,1061,68000
100707,7,7,1086,97000
100710,7,8,1008,134000
100711,7,9,1028,80000
100712,7,10,1054,120500
100713,7,11,1048,114500
100714,7,12,1058,122000
100715,7,13,1098,110000
100716,7,14,1013,123000
100717,7,15,1024,109000
100718,7,16,1125,89000
100719,7,17,1128,90000
100720,7,18,1129,88000
100721,7,19,1130,96000
100722,7,20,1131,79000
100723,7,21,1132,110000
100724,7,22,1084,83000
100725,7,23,1060,153000
100726,7,24,1083,80200
100727,7,25,1001,74000
100801,8,1,1124,107500
100802,8,2,1054,120500
100803,8,3,1021,85000
100804,8,4,1028,80000
100805,8,5,1027,82000
100806,8,6,1082,108200
100807,8,7,1077,84000
100808,8,8,1070,89000
100809,8,9,1067,95000
100810,8,10,1133,88000
100811,8,11,1076,81000
100812,8,12,1042,123900
100813,8,13,1010,90000
100814,8,14,1050,80000
100815,8,15,1006,83000
100816,8,16,1032,85000
100817,8,17,1036,102000
100818,8,18,1059,87000
100819,8,19,1081,93000
100820,8,20,1084,83000
100821,8,21,1060,153000
100822,8,22,1099,100000
100823,8,23,1012,83000
100824,8,24,1043,99000
100825,8,25,1125,89000
100826,8,26,1083,80200
100827,8,27,1001,74000
100901,9,1,1124,107500
100902,9,2,1036,102000
100903,9,3,1134,66900
100904,9,4,1135,86000
100905,9,5,1136,88500
100906,9,6,1137,88400
100907,9,7,1116,85600
100908,9,8,1096,78000
100909,9,9,1125,89000
100910,9,10,1109,92000
100911,9,11,1106,82000
100912,9,12,1054,120500
100913,9,13,1008,134000
100914,9,14,1009,103000
100915,9,15,1048,114500
100916,9,16,1028,80000
100917,9,17,1005,87000
100918,9,18,1138,102000
100919,9,19,1053,98000
100920,9,20,1077,84000
100921,9,21,1098,110000
100922,9,22,1058,122000
100923,9,23,1082,108200
100924,9,24,1078,83000
100925,9,25,1084,83000
100926,9,26,1060,153000
100927,9,27,1088,115000
100928,9,28,1089,148000
100929,9,29,1083,80200
100930,9,30,1001,74000
101001,10,1,1124,107500
101002,10,2,1088,115000
101003,10,3,1139,78200
101004,10,4,1140,84000
101005,10,5,1127,84500
101006,10,6,1023,95000
101007,10,7,1060,153000
101008,10,8,1125,89000
101009,10,9,1005,87000
101010,10,10,1028,80000
101011,10,11,1141,86500
101012,10,12,1142,90400
101013,10,13,1110,125000
101014,10,14,1143,101700
101015,10,15,1054,120500
101016,10,16,1144,126400
101017,10,17,1146,83600
101018,10,18,1145,96000
101019,10,19,1147,84600
101020,10,20,1138,102000
101021,10,21,1036,102000
101022,10,22,1042,123900
101023,10,23,1050,80000
101024,10,24,1084,83000
101025,10,25,1089,148000
101026,10,26,1083,80200
101027,10,27,1001,74000
101101,11,1,1150,111500
101102,11,2,1036,102000
101103,11,3,1057,96000
101104,11,4,1160,51800
101105,11,5,1161,80700
101106,11,6,1162,131500
101107,11,7,1088,115000
101108,11,8,1152,74200
101109,11,9,1086,97000
101110,11,10,1158,159300
101111,11,11,1053,98000
101112,11,12,1082,108200
101113,11,13,1163,130500
101114,11,14,1164,107300
101115,11,15,1165,100500
101116,11,16,1054,120500
101117,11,17,1178,102500
101118,11,18,1179,90800
101119,11,19,1048,114500
101120,11,20,1027,82000
101121,11,21,1005,87000
101122,11,22,1171,90500
101123,11,23,1151,134000
101124,11,24,1173,94800
101125,11,25,1001,74000
101201,12,1,1150,111500
101202,12,2,1089,148000
101203,12,3,1057,96000
101204,12,4,1166,94000
101205,12,5,1167,70400
101206,12,6,1084,83000
101207,12,7,1159,91800
101208,12,8,1086,97000
101209,12,9,1053,98000
101210,12,10,1027,82000
101211,12,11,1082,108200
101212,12,12,1054,120500
101213,12,13,1169,75000
101214,12,14,1168,86800
101215,12,15,1058,122000
101216,12,16,1004,98000
101217,12,17,1063,91000
101218,12,18,1008,134000
101219,12,19,1170,88600
101220,12,20,1076,81000
101221,12,21,1028,80000
101222,12,22,1172,90000
101223,12,23,1151,134000
101224,12,24,1173,94800
101225,12,25,1001,74000
101301,13,1,1173,94800
101302,13,2,1093,122320
101303,13,3,1081,93000
101304,13,4,1126,80490
101305,13,5,1172,90000
101306,13,6,1183,66600
101307,13,7,1190,100000
101308,13,8,1138,102000
101309,13,9,1189,63660
101310,13,10,1010,90000
101311,13,11,1037,98000
101312,13,12,1182,91800
101313,13,13,1059,87000
101314,13,14,1084,83000
101315,13,15,1179,90800
101316,13,16,1032,85000
101317,13,17,1004,98000
101318,13,18,1054,120500
101319,13,19,1171,90500
101320,13,20,1048,114500
101321,13,21,1008,134000
101322,13,22,1151,134000
101323,13,23,1156,147800
101324,13,24,1150,111500
101325,13,25,1001,74000
101401,14,1,1173,94800
101402,14,2,1156,147800
101403,14,3,1084,83000
101404,14,4,1184,85740
101405,14,5,1185,90750
101406,14,6,1191,98430
101407,14,7,1187,75400
101408,14,8,1186,70400
101409,14,9,1154,117280
101410,14,10,1157,93000
101411,14,11,1190,100000
101412,14,12,1151,134000
101413,14,13,1192,89000
101414,14,14,1172,90000
101415,14,15,1054,120500
101416,14,16,1058,122000
101417,14,17,1188,81770
101418,14,18,1027,82000
101419,14,19,1005,87000
101420,14,20,1037,98000
101421,14,21,1010,90000
101422,14,22,1155,149120
101423,14,23,1076,81000
101424,14,24,1036,102000
101425,14,25,1001,74000
101501,15,1,1176,142000
101502,15,2,1088,115000
101503,15,3,1048,114500
101504,15,4,1172,90000
101505,15,5,1028,80000
101506,15,6,1008,134000
101507,15,7,1177,120000
101508,15,8,1200,91030
101509,15,9,1201,105000
101510,15,10,1202,80000
101511,15,11,1050,80000
101512,15,12,1094,95000
101513,15,13,1042,123900
101514,15,14,1192,89000
101515,15,15,1175,103000
101516,15,16,1081,93000
101517,15,17,1054,120500
101518,15,18,1150,111500
101519,15,19,1204,80000
101520,15,20,1171,90500
101521,15,21,1010,90000
101522,15,22,1170,88600
101523,15,23,1089,148000
101524,15,24,1205,94000
101525,15,25,1001,74000
101601,16,1,1177,120000
101602,16,2,1083,80200
101603,16,3,1156,147800
101604,16,4,1206,93000
101605,16,5,1207,73000
101606,16,6,1093,122320
101607,16,7,1181,101200
101608,16,8,1194,86000
101609,16,9,1158,159300
101610,16,10,1208,98000
101611,16,11,1151,134000
101612,16,12,1028,80000
101613,16,13,1209,85000
101614,16,14,1210,87000
101615,16,15,1007,75000
101616,16,16,1004,98000
101617,16,17,1058,122000
101618,16,18,1176,142000
