id,setlist_music_id,performer
10010001,100101,1001
10010003,100101,1003
10010004,100101,1004
10010005,100101,1016
10010006,100101,1026
10010007,100101,1030
10010008,100101,1033
10010009,100101,1060
10010010,100101,1061
10010011,100101,1067
10010012,100101,1068
10010013,100101,1069
10010014,100101,1077
10010015,100101,1006
10010016,100101,1009
10010017,100101,1010
10010018,100101,1021
10010019,100101,1024
10010020,100101,1027
10010021,100101,1045
10010022,100101,1059
10010023,100101,1071
10010024,100101,1072
10010025,100101,1074
10010026,100101,1076
10010027,100101,1078
10010028,100101,1085
10010029,100101,1087
10010030,100101,1093
10010031,100102,1026
10010032,100102,1030
10010033,100102,1061
10010034,100102,1006
10010035,100102,1010
10010036,100102,1021
10010037,100102,1027
10010038,100102,1059
10010039,100102,1071
10010040,100102,1074
10010041,100103,1076
10010042,100103,1078
10010043,100103,1085
10010044,100103,1087
10010045,100103,1093
10010046,100103,1098
10010047,100104,1001
10010048,100104,1003
10010049,100104,1060
10010050,100104,1024
10010051,100104,1045
10010052,100104,1072
10010053,100105,1016
10010054,100105,1068
10010055,100105,1021
10010056,100106,1009
10010057,100106,1059
10010058,100106,1085
10010059,100106,1087
10010060,100107,1001
10010061,100107,1004
10010062,100107,1033
10010063,100107,1067
10010064,100107,1069
10010065,100107,1077
10010066,100107,1006
10010067,100107,1027
10010068,100107,1072
10010069,100108,1001
10010072,100109,1024
10010073,100110,1078
10010074,100111,1087
10010075,100112,1003
10010076,100112,1030
10010077,100112,1060
10010078,100112,1059
10010079,100112,1072
10010080,100113,1009
10010081,100113,1024
10010082,100113,1076
10010083,100113,1078
10010084,100113,1085
10010085,100113,1087
10010086,100113,1093
10010087,100113,1098
10010088,100114,1009
10010089,100114,1010
10010090,100114,1024
10010091,100114,1027
10010092,100114,1059
10010093,100114,1074
10010094,100115,1076
10010095,100116,1004
10010096,100116,1060
10010097,100116,1061
10010098,100116,1010
10010099,100116,1085
10010100,100116,1087
10010101,100116,1093
10010102,100116,1098
10010103,100117,1030
10010104,100117,1068
10010105,100117,1006
10010106,100117,1045
10010107,100117,1074
10010108,100117,1078
10010109,100118,1026
10010110,100118,1033
10010111,100118,1067
10010112,100118,1069
10010113,100118,1077
10010114,100118,1072
10010115,100119,1001
10010116,100119,1060
10010117,100119,1004
10010118,100119,1016
10010119,100119,1061
10010120,100119,1009
10010121,100119,1021
10010122,100120,1021
10010123,100121,1071
10010124,100122,1045
10010125,100123,1006
10010126,100124,1069
10010127,100124,1006
10010128,100124,1021
10010129,100124,1045
10010130,100124,1071
10010131,100124,1072
10010132,100125,1027
10010133,100125,1059
10010134,100125,1071
10010135,100125,1074
10010136,100126,1003
10010137,100127,1016
10010138,100127,1033
10010139,100127,1077
10010140,100127,1010
10010141,100127,1076
10010142,100127,1078
10010143,100127,1098
10010144,100128,1001
10010145,100128,1004
10010146,100128,1003
10010147,100128,1026
10010148,100128,1030
10010149,100128,1060
10010150,100128,1067
10010151,100128,1068
10010152,100128,1085
10010153,100128,1093
10010154,100129,1001
10010156,100129,1003
10010157,100129,1004
10010158,100129,1016
10010159,100129,1026
10010160,100129,1030
10010161,100129,1033
10010162,100129,1060
10010163,100129,1061
10010164,100129,1067
10010165,100129,1068
10010166,100129,1069
10010167,100129,1077
10010168,100129,1006
10010169,100129,1009
10010170,100129,1010
10010171,100129,1021
10010172,100129,1024
10010173,100129,1027
10010174,100129,1045
10010175,100129,1059
10010176,100129,1071
10010177,100129,1072
10010178,100129,1074
10010179,100129,1076
10010180,100129,1078
10010181,100129,1085
10010182,100129,1087
10010183,100129,1093
10010184,100129,1098
10010185,100130,1001
10010187,100130,1003
10010188,100130,1004
10010189,100130,1016
10010190,100130,1026
10010191,100130,1030
10010192,100130,1033
10010193,100130,1060
10010194,100130,1061
10010195,100130,1067
10010196,100130,1068
10010197,100130,1069
10010198,100130,1077
10010199,100130,1006
10010200,100130,1009
10010201,100130,1010
10010202,100130,1021
10010203,100130,1024
10010204,100130,1027
10010205,100130,1045
10010206,100130,1059
10010207,100130,1071
10010208,100130,1072
10010209,100130,1074
10010210,100130,1076
10010211,100130,1078
10010212,100130,1085
10010213,100130,1087
10010214,100130,1093
10010215,100130,1098
10010216,100131,1001
10010218,100131,1003
10010219,100131,1004
10010220,100131,1016
10010221,100131,1026
10010222,100131,1030
10010223,100131,1033
10010224,100131,1060
10010225,100131,1061
10010226,100131,1067
10010227,100131,1068
10010228,100131,1069
10010229,100131,1077
10010230,100131,1006
10010231,100131,1009
10010232,100131,1010
10010233,100131,1021
10010234,100131,1024
10010235,100131,1027
10010236,100131,1045
10010237,100131,1059
10010238,100131,1071
10010239,100131,1072
10010240,100131,1074
10010241,100131,1076
10010242,100131,1078
10010243,100131,1085
10010244,100131,1087
10010245,100131,1093
10010246,100131,1098
10010247,100101,1098
10020001,100201,1001
10020003,100201,1003
10020004,100201,1004
10020005,100201,1016
10020006,100201,1026
10020007,100201,1030
10020008,100201,1033
10020009,100201,1060
10020010,100201,1061
10020011,100201,1067
10020012,100201,1068
10020013,100201,1069
10020014,100201,1077
10020015,100201,1007
10020016,100201,1011
10020017,100201,1014
10020018,100201,1015
10020019,100201,1017
10020020,100201,1035
10020021,100201,1046
10020022,100201,1058
10020023,100201,1062
10020024,100201,1063
10020025,100201,1064
10020026,100201,1065
10020027,100201,1066
10020028,100201,1073
10020029,100201,1083
10020030,100201,1084
10020032,100202,1004
10020033,100202,1026
10020034,100202,1068
10020035,100202,1046
10020036,100202,1064
10020037,100202,1065
10020038,100202,1066
10020039,100203,1001
10020040,100203,1061
10020041,100203,1011
10020042,100203,1014
10020043,100203,1073
10020044,100204,1033
10020045,100204,1077
10020046,100204,1015
10020047,100205,1073
10020048,100205,1083
10020049,100205,1084
10020050,100206,1026
10020051,100206,1060
10020052,100206,1069
10020053,100206,1058
10020054,100206,1063
10020055,100207,1046
10020056,100208,1065
10020057,100209,1003
10020058,100209,1067
10020059,100209,1062
10020060,100209,1066
10020061,100209,1084
10020062,100210,1003
10020063,100210,1016
10020064,100210,1069
10020065,100210,1007
10020066,100210,1014
10020067,100210,1017
10020068,100210,1058
10020069,100210,1083
10020070,100211,1003
10020071,100211,1068
10020072,100211,1017
10020073,100211,1073
10020074,100212,1003
10020075,100212,1017
10020076,100213,1046
10020077,100213,1058
10020078,100213,1062
10020079,100213,1063
10020080,100213,1064
10020081,100213,1065
10020082,100213,1084
10020083,100214,1004
10020084,100214,1033
10020085,100214,1067
10020086,100214,1069
10020087,100214,1077
10020088,100214,1014
10020089,100214,1035
10020090,100214,1066
10020091,100214,1084
10020092,100215,1030
10020093,100215,1068
10020094,100215,1007
10020095,100215,1011
10020096,100215,1015
10020097,100215,1083
10020098,100216,1001
10020099,100216,1060
10020100,100216,1004
10020101,100216,1016
10020102,100216,1061
10020103,100216,1011
10020104,100216,1015
10020105,100217,1067
10020106,100217,1068
10020107,100218,1007
10020108,100218,1064
10020109,100218,1065
10020110,100219,1060
10020114,100220,1060
10020115,100220,1062
10020116,100220,1063
10020117,100220,1066
10020118,100221,1003
10020119,100221,1013
10020120,100222,1067
10020121,100222,1013
10020122,100223,1030
10020123,100224,1035
10020124,100225,1016
10020127,100226,1001
10020129,100226,1016
10020130,100226,1030
10020131,100226,1007
10020132,100226,1035
10020133,100226,1013
10020134,100227,1001
10020136,100227,1016
10020137,100227,1030
10020138,100227,1007
10020139,100227,1035
10020140,100227,1013
10020141,100228,1001
10020143,100228,1003
10020144,100228,1004
10020145,100228,1016
10020146,100228,1026
10020147,100228,1030
10020148,100228,1033
10020149,100228,1060
10020150,100228,1061
10020151,100228,1067
10020152,100228,1068
10020153,100228,1069
10020154,100228,1077
10020155,100228,1007
10020156,100228,1011
10020157,100228,1014
10020158,100228,1015
10020159,100228,1017
10020160,100228,1035
10020161,100228,1046
10020162,100228,1058
10020163,100228,1062
10020164,100228,1063
10020165,100228,1064
10020166,100228,1065
10020167,100228,1066
10020168,100228,1073
10020169,100228,1083
10020170,100228,1084
10020171,100229,1001
10020173,100229,1003
10020174,100229,1004
10020175,100229,1016
10020176,100229,1026
10020177,100229,1030
10020178,100229,1033
10020179,100229,1060
10020180,100229,1061
10020181,100229,1067
10020182,100229,1068
10020183,100229,1069
10020184,100229,1077
10020185,100229,1007
10020186,100229,1011
10020187,100229,1014
10020188,100229,1015
10020189,100229,1017
10020190,100229,1035
10020191,100229,1046
10020192,100229,1058
10020193,100229,1062
10020194,100229,1063
10020195,100229,1064
10020196,100229,1065
10020197,100229,1066
10020198,100229,1073
10020199,100229,1083
10020200,100229,1084
10020201,100229,1013
10020202,100230,1001
10020204,100230,1003
10020205,100230,1004
10020206,100230,1016
10020207,100230,1026
10020208,100230,1030
10020209,100230,1033
10020210,100230,1060
10020211,100230,1061
10020212,100230,1067
10020213,100230,1068
10020214,100230,1069
10020215,100230,1077
10020216,100230,1007
10020217,100230,1011
10020218,100230,1014
10020219,100230,1015
10020220,100230,1017
10020221,100230,1035
10020222,100230,1046
10020223,100230,1058
10020224,100230,1062
10020225,100230,1063
10020226,100230,1064
10020227,100230,1065
10020228,100230,1066
10020229,100230,1073
10020230,100230,1083
10020231,100230,1084
10020232,100230,1013
10020233,100231,1004
10020234,100231,1017
10020235,100231,1083
10030001,100301,1003
10030002,100301,1009
10030003,100301,1057
10030004,100301,1068
10030005,100301,1083
10030006,100301,1099
10030007,100301,1100
10030008,100301,1104
10030009,100301,1006
10030010,100301,1008
10030011,100301,1016
10030012,100301,1019
10030013,100301,1045
10030014,100301,1022
10030015,100301,1023
10030016,100301,1036
10030017,100301,1064
10030018,100301,1065
10030019,100301,1078
10030020,100301,1085
10030021,100301,1093
10030022,100301,2001
10030023,100302,1003
10030024,100302,1083
10030025,100302,1008
10030026,100302,1019
10030027,100302,1022
10030028,100303,1009
10030029,100303,1057
10030030,100303,1036
10030031,100303,1078
10030032,100303,2001
10030033,100304,1099
10030034,100305,1100
10030035,100306,1023
10030036,100306,1016
10030037,100307,1068
10030038,100307,1104
10030039,100307,1006
10030040,100307,1019
10030041,100307,1045
10030042,100307,1022
10030043,100307,1064
10030044,100307,2001
10030045,100308,1065
10030046,100308,1078
10030047,100308,1085
10030048,100308,1093
10030049,100309,1065
10030050,100309,1078
10030051,100309,1085
10030052,100309,1093
10030053,100310,1003
10030054,100310,1009
10030055,100310,1068
10030056,100310,1104
10030057,100310,1008
10030058,100310,1045
10030059,100310,1064
10030060,100310,2001
10030061,100311,1099
10030062,100311,1100
10030063,100311,1006
10030064,100312,1036
10030065,100313,1083
10030066,100314,1003
10030067,100314,1057
10030068,100314,1016
10030069,100314,1036
10030070,100315,1009
10030071,100315,1083
10030072,100315,1006
10030073,100315,1016
10030074,100315,1064
10030075,100316,1057
10030076,100316,1068
10030077,100316,1099
10030078,100316,1100
10030079,100316,1104
10030080,100316,1008
10030081,100316,1019
10030082,100316,1045
10030083,100316,2001
10030084,100317,1003
10030085,100317,1068
10030086,100317,1016
10030087,100317,1023
10030088,100317,1085
10030089,100317,1093
10030090,100318,1003
10030091,100318,1083
10030092,100318,1019
10030093,100318,1022
10030094,100318,1036
10030095,100318,1078
10030096,100319,1057
10030097,100319,1099
10030098,100319,1100
10030099,100319,1104
10030100,100319,1064
10030101,100319,1065
10030102,100320,1009
10030103,100320,1006
10030104,100320,1008
10030105,100320,1045
10030106,100320,1022
10030107,100320,1036
10030108,100321,1003
10030109,100321,1009
10030110,100321,1057
10030111,100321,1068
10030112,100321,1083
10030113,100321,1099
10030114,100321,1100
10030115,100321,1104
10030116,100321,1006
10030117,100321,1008
10030118,100321,1016
10030119,100321,1019
10030120,100321,1045
10030121,100321,1022
10030122,100321,1023
10030123,100321,1036
10030124,100321,1064
10030125,100321,1065
10030126,100321,1078
10030127,100321,1085
10030128,100321,1093
10030129,100321,2001
10030130,100322,1003
10030131,100322,1009
10030132,100322,1057
10030133,100322,1068
10030134,100322,1083
10030135,100322,1099
10030136,100322,1100
10030137,100322,1104
10030138,100322,1006
10030139,100322,1008
10030140,100322,1016
10030141,100322,1019
10030142,100322,1045
10030143,100322,1022
10030144,100322,1023
10030145,100322,1036
10030146,100322,1064
10030147,100322,1065
10030148,100322,1078
10030149,100322,1085
10030150,100322,1093
10030151,100322,2001
10030152,100323,1003
10030153,100323,1009
10030154,100323,1057
10030155,100323,1068
10030156,100323,1083
10030157,100323,1099
10030158,100323,1100
10030159,100323,1104
10030160,100323,1006
10030161,100323,1008
10030162,100323,1016
10030163,100323,1019
10030164,100323,1045
10030165,100323,1022
10030166,100323,1023
10030167,100323,1036
10030168,100323,1064
10030169,100323,1065
10030170,100323,1078
10030171,100323,1085
10030172,100323,1093
10030173,100323,2001
10040001,100401,1003
10040002,100401,1009
10040003,100401,1057
10040004,100401,1068
10040005,100401,1083
10040006,100401,1099
10040007,100401,1100
10040008,100401,1104
10040009,100401,1015
10040010,100401,1030
10040011,100401,1032
10040012,100401,1033
10040013,100401,1058
10040014,100401,1062
10040015,100401,1073
10040016,100401,1076
10040017,100401,1077
10040018,100401,1084
10040019,100401,1089
10040020,100401,1098
10040021,100401,1106
10040022,100401,1107
10040023,100402,1003
10040024,100402,1009
10040025,100402,1083
10040026,100402,1015
10040027,100402,1030
10040028,100402,1058
10040029,100402,1062
10040030,100402,1073
10040031,100402,1076
10040032,100402,1077
10040033,100402,1084
10040034,100403,1057
10040035,100403,1099
10040036,100403,1100
10040037,100403,1104
10040038,100403,1089
10040039,100403,1106
10040040,100403,1107
10040041,100404,1073
10040042,100405,1098
10040043,100406,1084
10040044,100407,1057
10040045,100407,1099
10040046,100407,1030
10040047,100407,1062
10040048,100407,1089
10040049,100408,1009
10040050,100408,1068
10040051,100408,1083
10040052,100408,1104
10040053,100408,1058
10040054,100408,1073
10040055,100408,1076
10040056,100408,1106
10040057,100408,1107
10040058,100409,1032
10040059,100410,1003
10040060,100410,1009
10040061,100410,1068
10040062,100410,1030
10040063,100410,1058
10040064,100410,1076
10040065,100410,1106
10040066,100410,1107
10040067,100411,1099
10040068,100411,1100
10040069,100411,1098
10040070,100412,1015
10040071,100412,1033
10040072,100412,1077
10040073,100413,1058
10040074,100414,1015
10040075,100415,1033
10040076,100416,1077
10040077,100417,1015
10040078,100417,1033
10040079,100417,1077
10040080,100418,1003
10040081,100418,1068
10040082,100418,1015
10040083,100418,1030
10040084,100418,1058
10040085,100418,1062
10040086,100419,1083
10040087,100419,1099
10040088,100419,1100
10040089,100419,1084
10040090,100419,1098
10040091,100419,1106
10040092,100419,1107
10040093,100420,1009
10040094,100420,1099
10040095,100420,1100
10040096,100420,1033
10040097,100420,1073
10040098,100420,1076
10040099,100420,1077
10040100,100420,1089
10040101,100420,1098
10040102,100421,1057
10040103,100421,1104
10040104,100422,1003
10040105,100422,1057
10040106,100422,1068
10040107,100422,1083
10040108,100422,1104
10040109,100422,1062
10040110,100422,1084
10040111,100422,1089
10040112,100423,1003
10040113,100423,1009
10040114,100423,1057
10040115,100423,1068
10040116,100423,1083
10040117,100423,1099
10040118,100423,1100
10040119,100423,1104
10040120,100423,1015
10040121,100423,1030
10040122,100423,1032
10040123,100423,1033
10040124,100423,1058
10040125,100423,1062
10040126,100423,1073
10040127,100423,1076
10040128,100423,1077
10040129,100423,1084
10040130,100423,1089
10040131,100423,1098
10040132,100423,1106
10040133,100423,1107
10040134,100424,1003
10040135,100424,1009
10040136,100424,1057
10040137,100424,1068
10040138,100424,1083
10040139,100424,1099
10040140,100424,1100
10040141,100424,1104
10040142,100424,1015
10040143,100424,1030
10040144,100424,1032
10040145,100424,1033
10040146,100424,1058
10040147,100424,1062
10040148,100424,1073
10040149,100424,1076
10040150,100424,1077
10040151,100424,1084
10040152,100424,1089
10040153,100424,1098
10040154,100424,1106
10040155,100424,1107
10040156,100425,1003
10040157,100425,1009
10040158,100425,1057
10040159,100425,1068
10040160,100425,1083
10040161,100425,1099
10040162,100425,1100
10040163,100425,1104
10040164,100425,1015
10040165,100425,1030
10040166,100425,1032
10040167,100425,1033
10040168,100425,1058
10040169,100425,1062
10040170,100425,1073
10040171,100425,1076
10040172,100425,1077
10040173,100425,1084
10040174,100425,1089
10040175,100425,1098
10040176,100425,1106
10040177,100425,1107
10050001,100501,1001
10050002,100501,1003
10050003,100501,1006
10050004,100501,1008
10050005,100501,1009
10050006,100501,1011
10050007,100501,1014
10050008,100501,1016
10050009,100501,1024
10050010,100501,1026
10050011,100501,1030
10050012,100501,1034
10050013,100501,1060
10050014,100501,1061
10050015,100501,1062
10050016,100501,1063
10050017,100501,1066
10050018,100501,1067
10050019,100501,1068
10050020,100501,1072
10050021,100501,1076
10050022,100501,1107
10050023,100502,1001
10050024,100502,1006
10050025,100502,1011
10050026,100502,1014
10050027,100502,1034
10050028,100502,1072
10050029,100503,1076
10050030,100503,1016
10050031,100503,1024
10050032,100504,1001
10050033,100504,1003
10050034,100504,1026
10050035,100504,1030
10050036,100504,1060
10050037,100504,1061
10050038,100505,1008
10050039,100505,1009
10050040,100505,1063
10050041,100506,1006
10050042,100506,1060
10050043,100506,1061
10050044,100506,1062
10050045,100507,1014
10050046,100507,1067
10050047,100507,1068
10050048,100507,1076
10050049,100507,1107
10050050,100508,1009
10050051,100508,1016
10050052,100508,1024
10050053,100508,1026
10050054,100508,1030
10050055,100508,1034
10050056,100508,1061
10050057,100508,1072
10050058,100509,1107
10050059,100510,1003
10050060,100510,1030
10050061,100510,1066
10050062,100511,1062
10050063,100512,1063
10050064,100513,1066
10050065,100514,1003
10050066,100514,1026
10050067,100514,1030
10050068,100514,1060
10050069,100514,1062
10050070,100514,1063
10050071,100514,1066
10050072,100515,1006
10050073,100515,1016
10050074,100515,1024
10050075,100515,1034
10050076,100515,1060
10050077,100515,1067
10050078,100515,1068
10050079,100515,1072
10050080,100515,1076
10050081,100516,1009
10050082,100516,1026
10050083,100516,1030
10050084,100516,1060
10050085,100516,1066
10050086,100517,1016
10050087,100517,1024
10050088,100517,1026
10050089,100517,1034
10050090,100517,1067
10050091,100517,1068
10050092,100517,1072
10050093,100517,1076
10050094,100517,1107
10050095,100518,1001
10050096,100518,1003
10050097,100518,1008
10050098,100518,1009
10050099,100518,1014
10050100,100518,1060
10050101,100518,1067
10050102,100518,1068
10050103,100519,1011
10050104,100520,1006
10050105,100520,1008
10050106,100520,1009
10050107,100520,1016
10050108,100520,1024
10050109,100520,1034
10050110,100520,1072
10050111,100520,1076
10050112,100521,1001
10050113,100521,1011
10050114,100521,1014
10050115,100521,1061
10050116,100522,1001
10050117,100522,1003
10050118,100522,1006
10050119,100522,1008
10050120,100522,1009
10050121,100522,1011
10050122,100522,1014
10050123,100522,1016
10050124,100522,1024
10050125,100522,1026
10050126,100522,1030
10050127,100522,1034
10050128,100522,1060
10050129,100522,1061
10050130,100522,1062
10050131,100522,1063
10050132,100522,1066
10050133,100522,1067
10050134,100522,1068
10050135,100522,1072
10050136,100522,1076
10050137,100522,1107
10050138,100523,1001
10050139,100523,1003
10050140,100523,1006
10050141,100523,1008
10050142,100523,1009
10050143,100523,1011
10050144,100523,1014
10050145,100523,1016
10050146,100523,1024
10050147,100523,1026
10050148,100523,1030
