id,group_id,legend_bg_id,legend_bg_sub_id,has_unique_bg_env,image_id,difficulty,race_instance_id,season,weather,ground,legend_race_boss_npc_id,cost_num,drop_reward_odds_id,victory_reward_odds_id,first_clear_item_category_1,first_clear_item_id_1,first_clear_item_num_1,first_clear_item_category_2,first_clear_item_id_2,first_clear_item_num_2,first_clear_item_category_3,first_clear_item_id_3,first_clear_item_num_3,pick_up_item_category_1,pick_up_item_id_1,pick_up_item_num_1,pick_up_item_category_2,pick_up_item_id_2,pick_up_item_num_2,pick_up_item_category_3,pick_up_item_id_3,pick_up_item_num_3,notice_date,start_date,end_date
2,101406,24,111,0,101401,3,592001,3,1,1,173,1,10001,10002,102,101401,10,90,43,150,91,59,10000,102,101401,1,0,0,0,0,0,0,,1615863600,1616097599
3,100106,24,111,0,100101,3,592002,3,1,1,175,1,10003,10004,102,100101,10,90,43,150,91,59,10000,102,100101,1,0,0,0,0,0,0,,1616097600,1616356799
4,101706,24,111,0,101701,3,592003,3,1,1,177,1,10005,10006,102,101701,10,90,43,150,91,59,10000,102,101701,1,0,0,0,0,0,0,,1616356800,1616615999
6,106106,77,111,0,106101,3,594501,3,1,1,109,1,10007,10008,102,106101,10,90,43,150,91,59,10000,102,106101,1,0,0,0,0,0,0,1618196400,1618455600,1618689599
7,101006,77,111,0,101001,3,594503,3,1,1,111,1,10009,10010,102,101001,10,90,43,150,91,59,10000,102,101001,1,0,0,0,0,0,0,1618689600,1618689600,1618948799
8,104106,77,111,0,104101,3,594502,3,1,1,113,1,10011,10012,102,104101,10,90,43,150,91,59,10000,102,104101,1,0,0,0,0,0,0,1618948800,1618948800,1619207999
9,103801,77,111,0,103801,3,594504,3,1,1,115,1,10013,10014,102,103801,10,90,43,150,91,59,10000,102,103801,1,0,0,0,0,0,0,1619208000,1619208000,1619467199
11,103506,24,111,0,103501,3,593501,1,1,1,117,1,10015,10016,102,103501,10,90,43,150,91,59,10000,102,103501,1,0,0,0,0,0,0,1621134000,1621393200,1621627199
12,100806,24,111,0,100801,3,593502,1,1,1,119,1,10017,10018,102,100801,10,90,43,150,91,59,10000,102,100801,1,0,0,0,0,0,0,1621627200,1621627200,1621886399
13,100306,24,111,0,100301,3,593503,1,1,1,179,1,10019,10020,102,100301,10,90,43,150,91,59,10000,102,100301,1,0,0,0,0,0,0,1621886400,1621886400,1622145599
15,102406,79,111,0,102401,3,593004,1,1,1,129,1,10027,10028,102,102401,10,90,43,150,91,59,10000,102,102401,1,0,0,0,0,0,0,1623639600,1623898800,1624132799
