id,label,body_motion,body_motion_type,body_motion_play_type,body_motion_scene_type,scene_sub_folder,chara_type_target,add_layer_index,is_mirror,facial_motion,chara_face_type,transition_time,ear_motion,is_enable_randome_ear,tail_motion,tail_motion_type,is_enable_randome_tail,use_tail_in_body_motion,prop_id,prop_motion,prop_motion_scene_type,prop_attach_node_name_type,prop_id_2,prop_motion_2,prop_motion_scene_type_2,prop_attach_node_name_type_2,is_prop_require_motion_end
1,Idle01,idle01,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
2,Idle02,idle02,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
3,Mot01,mot01,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
4,Mot02,mot02,2,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
5,Bit01,bit01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
6,Book,book,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
7,Bookshelf01,bookshelf01,3,2,0,,0,0,0,,WaraiA,15,,1,,0,1,0,100301,book,4,2,0,,0,0,0
8,Bow02,bow02,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
9,Bow03,bow03,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
10,Byebye01,byebye01,3,1,0,,0,0,0,,WaraiD,0,,1,,0,1,0,0,,0,0,0,,0,0,0
11,Byebye03,byebye03,3,1,0,,0,0,0,,WaraiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
12,Byebye04,byebye04,3,1,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
13,Chair01_00,chair01,3,2,0,,0,0,0,,WaraiA,15,,1,,0,0,0,0,,0,0,0,,0,0,0
14,Clap01,clap01,3,2,0,,0,0,0,,WaraiB,0,,1,,0,1,0,0,,0,0,0,,0,0,0
15,Come03,come03,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
16,Dance01,dance01,3,2,0,,0,0,0,,WaraiE,0,,1,,0,1,0,0,,0,0,0,,0,0,0
17,Dance11,dance11,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
18,Fight01,fight01,3,2,0,,0,0,0,,WaraiA,0,,1,,0,1,0,0,,0,0,0,,0,0,0
19,Fight04,fight04,3,2,0,,0,0,0,,WaraiC,0,,1,,0,1,0,0,,0,0,0,,0,0,0
