id,mission_type,condition_type,condition_value_1,condition_value_2,condition_value_3,condition_value_4,condition_num,step_group_id,step_order,disp_order,item_category,item_id,item_num,event_id,date_check_flg,transition_type,start_date,end_date
100000,1,100003,0,0,0,0,1,1,1,1,103,98,100,0,1,10001,2021/02/24,2021/09/30 4:59:59
100001,1,200008,0,0,0,0,1,2,1,2,30,110,300,0,1,20003,2021/02/24,2021/09/30 4:59:59
100002,1,200005,0,0,0,0,1,4,1,4,91,59,1000,0,1,20001,2021/02/24,2021/09/30 4:59:59
100005,1,100004,1,0,0,0,1,7,1,7,90,43,10,0,1,10001,2021/02/24,2021/09/30 4:59:59
100006,1,900001,1,0,0,0,5,8,1,8,90,43,20,0,1,0,2021/02/24,2021/09/30 4:59:59
100007,1,200008,0,0,0,0,3,3,1,3,30,110,500,0,1,20003,2021/02/24,2021/09/30 4:59:59
100010,1,100003,0,0,0,0,1,1,1,1,103,98,100,0,1,10001,2021/09/30 5:00:00,2050/01/01 4:59:59
100011,1,200008,0,0,0,0,1,2,1,2,103,98,200,0,1,20003,2021/09/30 5:00:00,2050/01/01 4:59:59
100012,1,200005,0,0,0,0,1,4,1,4,91,59,2400,0,1,20001,2021/09/30 5:00:00,2050/01/01 4:59:59
100015,1,100004,1,0,0,0,1,7,1,7,90,43,20,0,1,10001,2021/09/30 5:00:00,2050/01/01 4:59:59
100016,1,900001,1,0,0,0,5,8,1,8,90,43,30,0,1,0,2021/09/30 5:00:00,2050/01/01 4:59:59
100017,1,200008,0,0,0,0,3,3,1,3,91,59,1400,0,1,20003,2021/09/30 5:00:00,2050/01/01 4:59:59
301000,3,100004,1,0,0,0,1,20,1,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301001,3,100004,1,0,0,0,2,20,2,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301002,3,100004,1,0,0,0,3,20,3,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301003,3,100004,1,0,0,0,4,20,4,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301004,3,100004,1,0,0,0,5,20,5,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301005,3,100004,1,0,0,0,10,20,6,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301006,3,100004,1,0,0,0,15,20,7,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301007,3,100004,1,0,0,0,20,20,8,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301008,3,100004,1,0,0,0,25,20,9,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301009,3,100004,1,0,0,0,30,20,10,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301010,3,100004,1,0,0,0,35,20,11,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301011,3,100004,1,0,0,0,40,20,12,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301012,3,100004,1,0,0,0,45,20,13,29,90,43,30,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301013,3,100004,1,0,0,0,50,20,14,29,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301014,3,100004,1,0,0,0,60,20,15,29,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301015,3,100004,1,0,0,0,70,20,16,29,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301016,3,100004,1,0,0,0,80,20,17,29,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301017,3,100004,1,0,0,0,90,20,18,29,90,43,50,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301018,3,100004,1,0,0,0,100,20,19,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301019,3,100004,1,0,0,0,150,20,20,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301020,3,100004,1,0,0,0,200,20,21,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301021,3,100004,1,0,0,0,250,20,22,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301022,3,100004,1,0,0,0,300,20,23,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301023,3,100004,1,0,0,0,350,20,24,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301024,3,100004,1,0,0,0,400,20,25,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301025,3,100004,1,0,0,0,450,20,26,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
301026,3,100004,1,0,0,0,500,20,27,29,90,43,100,0,0,10001,2017/07/01 1:00:00,2050/01/01 4:59:59
