id,input_id,equate_id
1,101201,101201
2,101201,102501
3,101501,101501
4,101501,102601
5,100601,100601
6,100601,102701
7,100501,100501
8,100501,102801
9,110301,110301
10,110301,111101
11,110301,111401
12,110301,111701
13,110401,110401
14,110401,111201
15,110401,111501
16,110401,111801
17,110501,110501
18,110501,111301
19,110501,111601
20,110501,111901
21,101601,101601
22,101601,102901
23,931205,931205
24,931205,931203
25,931205,931204
26,111001,111001
27,111001,103001
28,101901,101901
29,101901,103101
30,101301,101301
31,101301,103201
32,101801,101801
33,101801,103301
34,101701,101701
35,101701,103401
36,931417,931426
37,931418,931427
38,931419,931428
39,931420,931429
40,931421,931430
41,931422,931431
42,931423,931432
43,931424,931433
44,931425,931434
45,931417,931417
46,931418,931418
47,931419,931419
48,931420,931420
49,931421,931421
50,931422,931422
51,931423,931423
52,931424,931424
53,931425,931425
