id,chara_id,text_type,lock_type,lock_value,secret_flg,sort
1,0,1,0,0,0,1
2,0,2,1,1,0,2
3,0,3,1,2,0,3
4,0,4,1,3,0,4
5,0,5,1,4,0,5
6,0,6,1,5,0,6
7,9001,7,0,0,0,1
8,9004,8,0,0,0,1
9,1003,10,2,100302,0,20
10,1013,10,2,101302,0,20
11,1018,10,2,101802,0,20
12,1024,10,2,102402,0,20
13,1011,10,2,101102,0,20
14,1014,10,2,101402,0,20
15,1001,10,2,100102,0,20
16,1004,10,2,100402,0,20
17,1056,10,2,105602,0,20
18,9006,8,0,0,0,1
19,1030,10,2,103002,0,20
20,1045,10,2,104502,0,20
21,1017,10,2,101702,0,20
22,1040,10,2,104002,0,20
23,1006,10,2,100602,0,20
24,1023,10,2,102302,0,20
25,1015,10,2,101502,0,20
26,1052,10,2,105202,0,20
27,9005,7,0,0,0,1
28,1026,10,2,102602,0,20
29,1037,10,2,103702,0,20
30,1005,10,2,100502,0,20
31,1020,10,2,102002,0,20
32,1060,10,2,106002,0,20
33,1061,10,2,106102,0,20
34,1022,10,2,102202,0,20
35,1038,10,2,103802,0,20
36,1010,10,2,101002,0,20
37,1059,10,2,105902,0,20
38,1001,11,2,100103,1,20
39,1007,10,2,100702,0,20
40,1013,11,2,101303,0,20
41,1035,10,2,103502,0,20
42,1050,10,2,105002,0,20
43,9008,7,0,0,0,1
44,1046,10,2,104602,0,20
45,1019,10,2,101902,0,20
46,1058,10,2,105802,0,20
47,1021,10,2,102102,0,20
48,1034,10,2,103402,0,20
49,1008,10,2,100802,0,20
50,1009,10,2,100902,0,20
51,1016,10,2,101602,0,20
52,1067,10,2,106702,0,20
53,1068,10,2,106802,0,20
54,1027,10,2,102702,0,20
55,1031,10,2,103102,0,20
56,9040,7,0,0,0,1
57,9041,7,0,0,0,1
58,9042,7,0,0,0,1
59,1069,10,2,106902,0,20
60,1071,10,2,107102,0,20
61,1041,10,2,104102,0,20
62,1062,10,2,106202,0,20
63,1012,10,2,101202,0,20
64,1051,10,2,105102,0,20
65,1048,10,2,104802,0,20
66,1053,10,2,105302,0,20
67,1002,10,2,100202,0,20
68,1032,10,2,103202,0,20
69,9043,7,0,0,0,1
70,1007,11,2,100703,0,20
71,1067,11,2,106703,0,20
72,1036,10,2,103602,0,20
73,1083,10,2,108302,0,20
74,1003,11,2,100303,0,20
75,1039,10,2,103902,0,20
76,1064,10,2,106402,0,20
77,1074,10,2,107402,0,20
78,1068,11,2,106803,0,20
79,1060,11,2,106003,0,20
80,1025,10,2,102502,0,20
81,1029,10,2,102902,0,20
82,9044,7,0,0,0,1
83,1065,10,2,106502,0,20
84,1085,10,2,108502,0,20
85,1035,11,2,103503,0,20
86,1045,11,2,104503,0,20
87,1072,10,2,107202,0,20
88,1032,11,2,103203,0,20
89,1044,10,2,104402,0,20
90,1061,11,2,106103,0,20
91,9002,7,0,0,0,1
92,1030,11,2,103003,0,20
93,1037,11,2,103703,0,20
94,1099,10,2,109902,0,20
95,1047,10,2,104702,0,20
96,1105,10,2,110502,0,20
97,1042,10,2,104202,0,20
98,1024,11,2,102403,0,20
99,1023,11,2,102303,0,20
100,1050,11,2,105003,0,20
101,1033,10,2,103302,0,20
102,1077,10,2,107702,0,20
103,1011,11,2,101103,0,20
104,1104,10,2,110402,0,20
105,1057,10,2,105702,0,20
106,1004,11,2,100403,0,20
107,1087,10,2,108702,0,20
108,1078,10,2,107802,0,20
109,9046,7,0,0,0,1
110,9047,7,0,0,0,1
111,9048,7,0,0,0,1
112,1107,10,2,110702,0,20
113,1084,10,2,108402,0,20
114,1070,10,2,107002,0,20
115,1098,10,2,109802,0,20
116,1046,11,2,104603,0,20
117,1086,10,2,108602,0,20
118,1110,10,2,111002,0,20
119,1040,11,2,104003,0,20
120,9049,7,0,0,0,1
121,1031,11,2,103103,0,20
122,1109,10,2,110902,0,20
123,1088,10,2,108802,0,20
124,1089,10,2,108902,0,20
125,1091,10,2,109102,0,20
126,1093,10,2,109302,0,20
127,1106,10,2,110602,0,20
128,1028,10,2,102802,0,20
129,1055,10,2,105502,0,20
130,1048,11,2,104803,0,20
131,9050,7,0,0,0,1
132,1080,10,2,108002,0,20
133,1100,10,2,110002,0,20
134,1049,10,2,104902,0,20
135,1119,10,2,111902,0,20
136,1006,11,2,100603,0,20
137,1063,10,2,106302,0,20
138,1076,10,2,107602,0,20
139,1124,10,2,112402,0,20
140,1010,11,2,101003,0,20
141,1102,10,2,110202,0,20
142,1139,7,0,0,0,1
143,1132,10,2,113202,0,20
144,1041,11,2,104103,0,20
145,1082,10,2,108202,0,20
146,1094,10,2,109402,0,20
147,1005,11,2,100503,0,20
148,1025,11,2,102503,0,20
149,1116,10,2,111602,0,20
150,1077,11,2,107703,0,20
