id,command_id,condition_set_id,add_value
10101101,10101,101,10
10101102,10101,102,20
10101105,10101,105,0
10101106,10101,106,10
10101107,10101,107,20
10101109,10101,109,10
10101110,10101,110,20
10101111,10101,111,30
10101112,10101,112,30
10101113,10101,113,35
10101114,10101,114,37
10101502,10101,502,10
10101503,10101,503,10
10102101,10102,101,10
10102102,10102,102,20
10102105,10102,105,0
10102106,10102,106,10
10102107,10102,107,20
10102109,10102,109,10
10102110,10102,110,20
10102111,10102,111,30
10102112,10102,112,30
10102113,10102,113,35
10102114,10102,114,37
10102502,10102,502,10
10102503,10102,503,10
10103101,10103,101,10
10103102,10103,102,20
10103105,10103,105,0
10103106,10103,106,10
10103107,10103,107,20
10103109,10103,109,10
10103110,10103,110,20
10103111,10103,111,30
10103112,10103,112,30
10103113,10103,113,35
10103114,10103,114,37
10103502,10103,502,10
10103503,10103,503,10
10104101,10104,101,10
10104102,10104,102,20
10104105,10104,105,0
10104106,10104,106,10
10104107,10104,107,20
10104109,10104,109,10
10104110,10104,110,20
10104111,10104,111,30
10104112,10104,112,30
10104113,10104,113,35
10104114,10104,114,37
10104502,10104,502,10
10104503,10104,503,10
10105101,10105,101,10
10105102,10105,102,20
10105105,10105,105,0
10105106,10105,106,10
10105107,10105,107,20
10105109,10105,109,10
10105110,10105,110,20
10105111,10105,111,30
10105112,10105,112,30
10105113,10105,113,35
10105114,10105,114,37
10105502,10105,502,10
10105503,10105,503,10
10106201,10106,201,60
10106202,10106,202,90
10108201,10108,201,60
10108202,10108,202,90
10109203,10109,203,100
10109204,10109,204,100
10109205,10109,205,100
10109206,10109,206,100
10109207,10109,207,100
10109208,10109,208,100
10110301,10110,301,20
10110303,10110,303,1200
10110308,10110,308,10
10110309,10110,309,10
10110310,10110,310,-999
100101101,100101,101,10
100101102,100101,102,20
100101105,100101,105,0
100101106,100101,106,10
100101107,100101,107,20
100101109,100101,109,10
100101110,100101,110,20
100101111,100101,111,30
100101112,100101,112,30
100101113,100101,113,35
100101114,100101,114,37
100101502,100101,502,10
100101503,100101,503,10
100102101,100102,101,10
100102102,100102,102,20
100102105,100102,105,0
100102106,100102,106,10
100102107,100102,107,20
100102109,100102,109,10
100102110,100102,110,20
100102111,100102,111,30
100102112,100102,112,30
100102113,100102,113,35
100102114,100102,114,37
100102502,100102,502,10
100102503,100102,503,10
100103101,100103,101,10
100103102,100103,102,20
100103105,100103,105,0
100103106,100103,106,10
100103107,100103,107,20
100103109,100103,109,10
100103110,100103,110,20
100103111,100103,111,30
100103112,100103,112,30
100103113,100103,113,35
100103114,100103,114,37
100103502,100103,502,10
100103503,100103,503,10
100104101,100104,101,10
100104102,100104,102,20
100104105,100104,105,0
100104106,100104,106,10
100104107,100104,107,20
100104109,100104,109,10
100104110,100104,110,20
100104111,100104,111,30
100104112,100104,112,30
100104113,100104,113,35
100104114,100104,114,37
100104502,100104,502,10
100104503,100104,503,10
100105101,100105,101,10
100105102,100105,102,20
100105105,100105,105,0
100105106,100105,106,10
100105107,100105,107,20
100105109,100105,109,10
100105110,100105,110,20
100105111,100105,111,30
100105112,100105,112,30
100105113,100105,113,35
100105114,100105,114,37
100105502,100105,502,10
100105503,100105,503,10
100106201,100106,201,60
100106202,100106,202,90
100108201,100108,201,60
100108202,100108,202,90
100109203,100109,203,100
100109204,100109,204,100
100109205,100109,205,100
100109206,100109,206,100
100109207,100109,207,100
100109208,100109,208,100
100110301,100110,301,20
100110303,100110,303,1200
100110308,100110,308,10
100110309,100110,309,10
100110310,100110,310,-999
110101101,110101,101,10
110101102,110101,102,20
110101105,110101,105,0
110101106,110101,106,10
110101107,110101,107,20
110101109,110101,109,10
110101110,110101,110,20
110101111,110101,111,30
110101112,110101,112,30
110101113,110101,113,35
110101114,110101,114,37
110101502,110101,502,10
110101503,110101,503,10
110102101,110102,101,10
110102102,110102,102,20
110102105,110102,105,0
110102106,110102,106,10
110102107,110102,107,20
110102109,110102,109,10
110102110,110102,110,20
110102111,110102,111,30
110102112,110102,112,30
110102113,110102,113,35
110102114,110102,114,37
110102502,110102,502,10
110102503,110102,503,10
