command_id,setting_id,base_weight
10101,101,10
10102,101,10
10103,101,10
10104,101,10
10105,101,10
10106,101,10
10107,101,20
10108,101,0
10109,101,0
10110,101,10
100101,1001,10
100102,1001,10
100103,1001,10
100104,1001,10
100105,1001,10
100106,1001,10
100107,1001,20
100108,1001,0
100109,1001,0
100110,1001,10
110101,1101,10
110102,1101,10
110103,1101,10
110104,1101,10
110105,1101,10
110106,1101,10
110107,1101,20
110108,1101,0
110109,1101,0
110110,1101,10
110111,1101,10
110112,1101,10
110113,1101,10
110114,1101,10
110115,1101,10
110116,1101,45
120101,1201,10
120102,1201,10
120103,1201,10
120104,1201,10
120105,1201,10
120106,1201,10
120107,1201,20
120108,1201,0
120109,1201,0
120110,1201,10
120117,1201,10
130101,1301,10
130102,1301,10
130103,1301,10
130104,1301,10
130105,1301,10
130106,1301,10
130107,1301,20
130108,1301,0
130109,1301,0
130110,1301,10
130118,1301,0
140101,1401,10
140102,1401,10
140103,1401,10
140104,1401,10
140105,1401,10
140106,1401,10
140107,1401,20
140108,1401,0
140109,1401,0
140110,1401,10
140119,1401,0
