id,condition_set_id,condition_type,condition_value1,condition_value2
1011,101,1,1,1
1021,102,1,2,2
1031,103,1,3,99
1041,104,1,1,99
1051,105,7,1,1
1061,106,7,2,2
1071,107,7,3,99
1081,108,1,2,99
1091,109,19,1,1
1101,110,19,2,2
1111,111,19,3,99
1121,112,1,3,3
1131,113,1,4,4
1141,114,1,5,99
2011,201,2,31,50
2021,202,2,0,30
2031,203,9,1,0
2041,204,9,2,0
2051,205,9,3,0
2061,206,9,4,0
2071,207,9,5,0
2081,208,9,6,0
2091,209,2,70,999
2101,210,2,0,50
2111,211,2,100,999
2141,214,2,0,999
3011,301,3,100,100
3012,301,4,7,99
3013,301,6,7,99
3021,302,3,100,100
3022,302,4,6,99
3023,302,6,6,99
3031,303,8,0,0
3041,304,10,0,0
3042,304,11,4,0
3043,304,4,6,99
3044,304,6,6,99
3051,305,12,0,0
3052,305,11,9,0
3054,305,4,6,99
3055,305,6,6,99
3061,306,13,6,99
3062,306,14,6,99
3063,306,4,6,99
3064,306,6,6,99
3071,307,15,0,0
3072,307,4,6,99
3073,307,6,6,99
3081,308,3,200,200
3082,308,4,7,99
3083,308,6,7,99
3091,309,3,300,300
3092,309,4,7,99
3093,309,6,7,99
3101,310,4,1,5
3102,310,6,1,5
5010,501,5,1,99
5020,502,16,0,4
5030,503,17,0,0
6010,601,18,1,0
6020,602,18,2,0
6030,603,18,3,0
6040,604,18,4,0
6050,605,18,5,0
1301011,130101,1301,1,1
1301021,130102,1301,2,2
1301031,130103,1301,3,3
1302011,130201,1302,1,1
1302021,130202,1302,2,2
1302031,130203,1302,3,3
1303011,130301,1303,1,1
1303021,130302,1303,2,2
1303031,130303,1303,3,3
1304011,130401,1304,1,4
1304021,130402,1304,0,0
1305011,130501,1305,0,0
1306011,130601,1306,1,3
1306012,130601,1304,1,4
1306021,130602,1306,2,3
1401011,140101,1401,3,10
1402011,140201,1402,3,4
1402012,140201,1404,30305,0
1402021,140202,1402,4,4
1402022,140202,1404,30021,0
1402031,140203,1402,4,4
1402032,140203,1404,10021,0
1402041,140204,1402,4,4
1402042,140204,1404,30052,0
1402051,140205,1402,4,4
1402052,140205,1404,10083,0
1403011,140301,1403,0,0
