id,plan_set_id,plan_set_type,condition_value_1,condition_value_2
10001001,10001,1,101,2
10001002,10001,1,102,2
10001003,10001,1,103,2
10001004,10001,2,1001,0
10001005,10001,2,1002,0
10001006,10001,2,1003,0
10001007,10001,2,1004,0
10002001,10002,1,101,1
10002002,10002,1,102,3
10002003,10002,1,103,2
10002004,10002,2,1001,0
10002005,10002,2,1002,0
10002006,10002,2,1003,0
10002007,10002,2,1004,0
10003001,10003,1,101,3
10003002,10003,1,102,1
10003003,10003,1,103,1
10003004,10003,2,1001,0
10003005,10003,2,1002,0
10003006,10003,2,1003,0
10003007,10003,2,1004,0
100001001,100001,1,1001,2
100001002,100001,1,1002,2
100001003,100001,1,1003,2
100001004,100001,2,10001,0
100001005,100001,2,10002,0
100001006,100001,2,10003,0
100001007,100001,2,10004,0
100002001,100002,1,1001,1
100002002,100002,1,1002,3
100002003,100002,1,1003,2
100002004,100002,2,10001,0
100002005,100002,2,10002,0
100002006,100002,2,10003,0
100002007,100002,2,10004,0
100003001,100003,1,1001,3
100003002,100003,1,1002,1
100003003,100003,1,1003,1
100003004,100003,2,10001,0
100003005,100003,2,10002,0
100003006,100003,2,10003,0
100003007,100003,2,10004,0
110001001,110001,1,1101,2
110001002,110001,1,1102,2
110001003,110001,1,1103,2
110001004,110001,2,11001,0
110001005,110001,2,11002,0
110001006,110001,2,11003,0
110001007,110001,2,11004,0
110002001,110002,1,1101,1
110002002,110002,1,1102,3
110002003,110002,1,1103,2
110002004,110002,2,11001,0
110002005,110002,2,11002,0
110002006,110002,2,11003,0
110002007,110002,2,11004,0
110003001,110003,1,1101,3
110003002,110003,1,1102,1
110003003,110003,1,1103,1
110003004,110003,2,11001,0
110003005,110003,2,11002,0
110003006,110003,2,11003,0
110003007,110003,2,11004,0
120001001,120001,1,1201,2
120001002,120001,1,1202,2
120001003,120001,1,1203,2
120001004,120001,2,12001,0
120001005,120001,2,12002,0
120001006,120001,2,12003,0
120001007,120001,2,12004,0
120002001,120002,1,1201,1
120002002,120002,1,1202,3
120002003,120002,1,1203,2
120002004,120002,2,12001,0
120002005,120002,2,12002,0
120002006,120002,2,12003,0
120002007,120002,2,12004,0
120003001,120003,1,1201,3
120003002,120003,1,1202,1
120003003,120003,1,1203,1
120003004,120003,2,12001,0
120003005,120003,2,12002,0
120003006,120003,2,12003,0
120003007,120003,2,12004,0
130001001,130001,1,1301,2
130001002,130001,1,1302,2
130001003,130001,1,1303,2
130001004,130001,2,13001,0
130001005,130001,2,13002,0
130001006,130001,2,13003,0
130001007,130001,2,13004,0
130002001,130002,1,1301,1
130002002,130002,1,1302,3
130002003,130002,1,1303,2
130002004,130002,2,13001,0
130002005,130002,2,13002,0
130002006,130002,2,13003,0
130002007,130002,2,13004,0
130003001,130003,1,1301,3
130003002,130003,1,1302,1
130003003,130003,1,1303,1
130003004,130003,2,13001,0
130003005,130003,2,13002,0
130003006,130003,2,13003,0
130003007,130003,2,13004,0
140001001,140001,1,1401,2
140001002,140001,1,1402,2
140001003,140001,1,1403,2
140001004,140001,2,14001,0
140001005,140001,2,14002,0
140001006,140001,2,14003,0
140001007,140001,2,14004,0
140002001,140002,1,1401,1
140002002,140002,1,1402,3
140002003,140002,1,1403,2
140002004,140002,2,14001,0
140002005,140002,2,14002,0
140002006,140002,2,14003,0
140002007,140002,2,14004,0
140003001,140003,1,1401,3
140003002,140003,1,1402,1
140003003,140003,1,1403,1
140003004,140003,2,14001,0
140003005,140003,2,14002,0
140003006,140003,2,14003,0
140003007,140003,2,14004,0
