id,filter_id,command_id,filter_type
100101,1001,10110,1
100201,1002,10110,1
100301,1003,10110,1
100401,1004,10110,1
100501,1005,10110,1
100601,1006,10101,0
100701,1007,10102,0
100801,1008,10103,0
100901,1009,10104,0
101001,1010,10105,0
101101,1011,10106,0
101201,1012,10107,0
101301,1013,10108,0
1000101,10001,100110,1
1000201,10002,100110,1
1000301,10003,100110,1
1000401,10004,100110,1
1000501,10005,100110,1
1000601,10006,100101,0
1000701,10007,100102,0
1000801,10008,100103,0
1000901,10009,100104,0
1001001,10010,100105,0
1001101,10011,100106,0
1001201,10012,100107,0
1001301,10013,100108,0
1100101,11001,110110,1
1100201,11002,110110,1
1100301,11003,110110,1
1100401,11004,110110,1
1100501,11005,110110,1
1101101,11011,110106,0
1101201,11012,110107,0
1101301,11013,110108,0
1200101,12001,120110,1
1200201,12002,120110,1
1200301,12003,120110,1
1200401,12004,120110,1
1200501,12005,120110,1
1200601,12006,120101,0
1200701,12007,120102,0
1200801,12008,120103,0
1200901,12009,120104,0
1201001,12010,120105,0
1201101,12011,120106,0
1201201,12012,120107,0
1201301,12013,120108,0
1300101,13001,130110,1
1300201,13002,130110,1
1300301,13003,130110,1
1300401,13004,130110,1
1300501,13005,130110,1
1300601,13006,130101,0
1300701,13007,130102,0
1300801,13008,130103,0
1300901,13009,130104,0
1301001,13010,130105,0
1301101,13011,130106,0
1301201,13012,130107,0
1301301,13013,130108,0
1400101,14001,140110,1
1400201,14002,140110,1
1400301,14003,140110,1
1400401,14004,140110,1
1400501,14005,140110,1
1400601,14006,140101,0
1400701,14007,140102,0
1400801,14008,140103,0
1400901,14009,140104,0
1401001,14010,140105,0
1401101,14011,140106,0
1401201,14012,140107,0
1401301,14013,140108,0
