buff_id,base_pt,modify_id,add_value0,add_value1,add_value2
1101,0,1004,0,8,12
1102,0,1004,0,8,12
1103,0,1004,0,8,12
1104,0,1004,0,8,12
1201,5,1004,0,8,12
1202,5,1004,0,8,12
1203,5,1004,0,8,12
1204,5,1004,0,8,12
1205,5,1004,0,8,12
1206,5,1004,0,8,12
1301,10,1004,0,8,12
1302,10,1004,0,8,12
1303,10,1004,0,8,12
1304,10,1004,0,8,12
1305,10,1004,0,8,12
1306,10,1004,0,8,12
1307,10,1004,0,8,12
1308,10,1004,0,8,12
1309,10,1004,0,8,12
2101,0,1005,0,8,12
2102,0,1005,0,8,12
2103,0,1005,0,8,12
2104,0,1005,0,8,12
2201,5,1005,0,8,12
2202,5,1005,0,8,12
2203,5,1005,0,8,12
2204,5,1005,0,8,12
2205,5,1005,0,8,12
2206,5,1005,0,8,12
2301,10,1005,0,8,12
2302,10,1005,0,8,12
2303,10,1005,0,8,12
2304,10,1005,0,8,12
2305,10,1005,0,8,12
2306,10,1005,0,8,12
2307,10,1005,0,8,12
2308,10,1005,0,8,12
2309,10,1005,0,8,12
3101,0,1006,0,8,12
3102,0,1006,0,8,12
3103,0,1006,0,8,12
3104,0,1006,0,8,12
3201,5,1006,0,8,12
3202,5,1006,0,8,12
3203,5,1006,0,8,12
3204,5,1006,0,8,12
3205,5,1006,0,8,12
3206,5,1006,0,8,12
3301,10,1006,0,8,12
3302,10,1006,0,8,12
3303,10,1006,0,8,12
3304,10,1006,0,8,12
3305,10,1006,0,8,12
3306,10,1006,0,8,12
3307,10,1006,0,8,12
3308,10,1006,0,8,12
3309,10,1006,0,8,12
