id,command_id,modify_id,condition_set_id,add_value0,add_value1,add_value2
101001,10101,101,104,0,10,30
101002,10102,101,104,0,10,30
101003,10103,101,104,0,10,30
101004,10104,101,104,0,10,30
101005,10105,101,104,0,10,30
101006,10101,101,108,0,20,30
101007,10102,101,108,0,20,30
101008,10103,101,108,0,20,30
101009,10104,101,108,0,20,30
101010,10105,101,108,0,20,30
102001,10101,102,501,0,10,50
102002,10102,102,501,0,10,50
102003,10103,102,501,0,10,50
102004,10104,102,501,0,10,50
102005,10105,102,501,0,10,50
103001,10110,103,302,0,20,100
1001001,100101,1001,104,0,10,30
1001002,100102,1001,104,0,10,30
1001003,100103,1001,104,0,10,30
1001004,100104,1001,104,0,10,30
1001005,100105,1001,104,0,10,30
1001006,100101,1001,108,0,20,30
1001007,100102,1001,108,0,20,30
1001008,100103,1001,108,0,20,30
1001009,100104,1001,108,0,20,30
1001010,100105,1001,108,0,20,30
1002001,100101,1002,501,0,10,50
1002002,100102,1002,501,0,10,50
1002003,100103,1002,501,0,10,50
1002004,100104,1002,501,0,10,50
1002005,100105,1002,501,0,10,50
1003001,100110,1003,302,0,20,100
1101001,110101,1101,104,5,10,30
1101002,110102,1101,104,5,10,30
1101003,110103,1101,104,5,10,30
1101004,110104,1101,104,5,10,30
1101005,110105,1101,104,5,10,30
1101006,110101,1101,108,0,20,30
1101007,110102,1101,108,0,20,30
1101008,110103,1101,108,0,20,30
1101009,110104,1101,108,0,20,30
1101010,110105,1101,108,0,20,30
1101011,110111,1101,104,5,10,30
1101012,110112,1101,104,5,10,30
1101013,110113,1101,104,5,10,30
1101014,110114,1101,104,5,10,30
1101015,110115,1101,104,5,10,30
1101016,110111,1101,108,0,20,30
1101017,110112,1101,108,0,20,30
1101018,110113,1101,108,0,20,30
1101019,110114,1101,108,0,20,30
1101020,110115,1101,108,0,20,30
1102001,110101,1102,501,0,10,50
1102002,110102,1102,501,0,10,50
1102003,110103,1102,501,0,10,50
1102004,110104,1102,501,0,10,50
1102005,110105,1102,501,0,10,50
1102006,110111,1102,501,0,10,50
1102007,110112,1102,501,0,10,50
1102008,110113,1102,501,0,10,50
1102009,110114,1102,501,0,10,50
1102010,110115,1102,501,0,10,50
1103001,110110,1103,302,0,20,100
1201001,120101,1201,104,0,10,30
1201002,120102,1201,104,0,10,30
1201003,120103,1201,104,0,10,30
1201004,120104,1201,104,0,10,30
1201005,120105,1201,104,0,10,30
1201006,120101,1201,108,0,20,30
1201007,120102,1201,108,0,20,30
1201008,120103,1201,108,0,20,30
1201009,120104,1201,108,0,20,30
1201010,120105,1201,108,0,20,30
1202001,120101,1202,501,0,10,50
1202002,120102,1202,501,0,10,50
1202003,120103,1202,501,0,10,50
1202004,120104,1202,501,0,10,50
1202005,120105,1202,501,0,10,50
1203001,120110,1203,302,0,20,100
1301001,130101,1301,104,0,20,50
1301002,130102,1301,104,0,20,50
1301003,130103,1301,104,0,20,50
1301004,130104,1301,104,0,20,50
1301005,130105,1301,104,0,20,50
1301006,130101,1301,108,0,40,50
1301007,130102,1301,108,0,40,50
1301008,130103,1301,108,0,40,50
1301009,130104,1301,108,0,40,50
1301010,130105,1301,108,0,40,50
1302001,130101,1302,501,0,10,50
1302002,130102,1302,501,0,10,50
1302003,130103,1302,501,0,10,50
1302004,130104,1302,501,0,10,50
1302005,130105,1302,501,0,10,50
1303001,130110,1303,302,0,20,100
1401001,140101,1401,104,0,10,30
1401002,140102,1401,104,0,10,30
1401003,140103,1401,104,0,10,30
1401004,140104,1401,104,0,10,30
1401005,140105,1401,104,0,10,30
1401006,140101,1401,108,0,20,30
1401007,140102,1401,108,0,20,30
1401008,140103,1401,108,0,20,30
1401009,140104,1401,108,0,20,30
1401010,140105,1401,108,0,20,30
1402001,140101,1402,501,0,10,50
1402002,140102,1402,501,0,10,50
1402003,140103,1402,501,0,10,50
1402004,140104,1402,501,0,10,50
1402005,140105,1402,501,0,10,50
1403001,140110,1403,302,0,20,100
