stop_condition_id,condition_type,stopper_type,scenario_id
10001,1,1,1
10002,2,1,1
10003,3,1,1
10004,4,1,1
10005,5,1,1
100001,1,1,10
100002,2,1,10
100003,3,1,10
100004,4,1,10
100005,1001,1,10
100006,1002,1,10
100007,1003,1,10
100008,1004,1,10
100009,5,1,10
110001,1,1,11
110002,2,1,11
110003,3,1,11
110004,4,1,11
110005,1101,1,11
110006,1102,1,11
110007,1103,1,11
110008,5,1,11
120001,1,1,12
120002,2,1,12
120003,3,1,12
120004,4,1,12
120005,1201,1,12
120006,5,1,12
130001,1,1,13
130002,2,1,13
130003,3,1,13
130004,4,1,13
130005,1301,1,13
130006,5,1,13
140001,1,1,14
140002,2,1,14
140003,3,1,14
140004,1401,1,14
140005,4,1,14
140006,5,1,14
140007,1402,1,14
