stopper_id,is_modifiable,condition_type,stop_type,scenario_id,story_id
2001,0,5,0,2,400002041
3001,0,5,0,3,400003027
4001,0,5,0,4,400004002
5001,0,5,0,5,400005000
6001,0,5,0,6,400006002
7001,0,5,0,7,400007001
8001,0,5,0,8,400008002
9001,0,5,0,9,400009002
10001,0,5,0,10,400010002
10101,1,3,1,10,400010018
11001,0,5,0,11,400011001
11101,1,3,1,11,400011023
11102,1,1101,1,11,400011111
12001,0,5,0,12,400012002
12101,1,3,1,12,400012020
13001,0,5,0,13,400013002
13101,1,3,1,13,400013027
14001,0,5,0,14,400014002
14101,1,3,1,14,400014016
14102,1,1401,1,14,400014017
