id,item_place_id,start_date,end_date
100000,0,2017/1/1 0:00:00,2050/1/1 0:00:00
100101,100101,2017/1/1 0:00:00,2050/1/1 0:00:00
100102,100102,2021/7/29 12:00:00,2050/1/1 0:00:00
100103,100103,2022/7/20 12:00:00,2050/1/1 0:00:00
100201,100201,2017/1/1 0:00:00,2050/1/1 0:00:00
100202,100202,2023/7/31 12:00:00,2050/1/1 0:00:00
100301,100301,2017/1/1 0:00:00,2050/1/1 0:00:00
100302,100302,2021/3/30 12:00:00,2050/1/1 0:00:00
100303,100303,2023/10/30 12:00:00,2050/1/1 0:00:00
100401,100401,2017/1/1 0:00:00,2050/1/1 0:00:00
100402,100402,2021/7/29 12:00:00,2050/1/1 0:00:00
100403,100403,2025/01/10 12:00:00,2050/1/1 0:00:00
100501,100501,2021/7/12 12:00:00,2050/1/1 0:00:00
100502,100502,2022/3/29 12:00:00,2050/1/1 0:00:00
100503,100503,2026/04/30 12:00:00,2050/1/1 0:00:00
100601,100601,2017/1/1 0:00:00,2050/1/1 0:00:00
100602,100602,2021/11/29 12:00:00,2050/1/1 0:00:00
100603,100603,2025/12/11 12:00:00,2050/1/1 0:00:00
100701,100701,2017/1/1 0:00:00,2050/1/1 0:00:00
100702,100702,2022/7/29 12:00:00,2050/1/1 0:00:00
100703,100703,2023/8/31 12:00:00,2050/1/1 0:00:00
100801,100801,2017/1/1 0:00:00,2050/1/1 0:00:00
100802,100802,2022/11/28 12:00:00,2050/1/1 0:00:00
100901,100901,2017/1/1 0:00:00,2050/1/1 0:00:00
100902,100902,2022/11/28 12:00:00,2050/1/1 0:00:00
101001,101001,2017/1/1 0:00:00,2050/1/1 0:00:00
101002,101002,2022/6/30 12:00:00,2050/1/1 0:00:00
101003,101003,2026/01/30 12:00:00,2050/1/1 0:00:00
101101,101101,2017/1/1 0:00:00,2050/1/1 0:00:00
101102,101102,2021/6/29 12:00:00,2050/1/1 0:00:00
101103,101103,2024/12/19 12:00:00,2050/1/1 0:00:00
101201,101201,2021/6/21 12:00:00,2050/1/1 0:00:00
101202,101202,2023/5/29 12:00:00,2050/1/1 0:00:00
101301,101301,2017/1/1 0:00:00,2050/1/1 0:00:00
101302,101302,2021/3/30 12:00:00,2050/1/1 0:00:00
101303,101303,2022/7/29 12:00:00,2050/1/1 0:00:00
101401,101401,2017/1/1 0:00:00,2050/1/1 0:00:00
101402,101402,2021/6/29 12:00:00,2050/1/1 0:00:00
101501,101501,2021/3/2 12:00:00,2050/1/1 0:00:00
101502,101502,2021/12/31 12:00:00,2050/1/1 0:00:00
101601,101601,2021/5/17 12:00:00,2050/1/1 0:00:00
101602,101602,2022/12/20 12:00:00,2050/1/1 0:00:00
101701,101701,2017/1/1 0:00:00,2050/1/1 0:00:00
101702,101702,2021/10/28 12:00:00,2050/1/1 0:00:00
101801,101801,2017/1/1 0:00:00,2050/1/1 0:00:00
101802,101802,2021/5/28 12:00:00,2050/1/1 0:00:00
101901,101901,2021/9/20 12:00:00,2050/1/1 0:00:00
101902,101902,2022/9/29 12:00:00,2050/1/1 0:00:00
102001,102001,2021/6/10 12:00:00,2050/1/1 0:00:00
102002,102002,2022/3/29 12:00:00,2050/1/1 0:00:00
102101,102101,2021/12/22 12:00:00,2050/1/1 0:00:00
102102,102102,2022/10/28 12:00:00,2050/1/1 0:00:00
102201,102201,2021/12/14 12:00:00,2050/1/1 0:00:00
102202,102202,2022/5/30 12:00:00,2050/1/1 0:00:00
102301,102301,2021/3/18 12:00:00,2050/1/1 0:00:00
102302,102302,2021/11/29 12:00:00,2050/1/1 0:00:00
102303,102303,2024/10/29 12:00:00,2050/1/1 0:00:00
102401,102401,2017/1/1 0:00:00,2050/1/1 0:00:00
102402,102402,2021/5/28 12:00:00,2050/1/1 0:00:00
102403,102403,2024/9/30 12:00:00,2050/1/1 0:00:00
102501,102501,2021/10/20 12:00:00,2050/1/1 0:00:00
102502,102502,2024/1/31 12:00:00,2050/1/1 0:00:00
102503,102503,2026/05/29 12:00:00,2050/1/1 0:00:00
102601,102601,2021/3/9 12:00:00,2050/1/1 0:00:00
102602,102602,2022/1/28 12:00:00,2050/1/1 0:00:00
102701,102701,2017/1/1 0:00:00,2050/1/1 0:00:00
102702,102702,2023/1/30 12:00:00,2050/1/1 0:00:00
102801,102801,2021/9/10 12:00:00,2050/1/1 0:00:00
102802,102802,2025/09/29 12:00:00,2050/1/1 0:00:00
102901,102901,2022/9/12 12:00:00,2050/1/1 0:00:00
102902,102902,2024/1/31 12:00:00,2050/1/1 0:00:00
103001,103001,2017/1/1 0:00:00,2050/1/1 0:00:00
103002,103002,2021/9/29 12:00:00,2050/1/1 0:00:00
103003,103003,2024/7/9 12:00:00,2050/1/1 0:00:00
103101,103101,2022/5/10 12:00:00,2050/1/1 0:00:00
103102,103102,2023/1/30 12:00:00,2050/1/1 0:00:00
103103,103103,2025/07/11 12:00:00,2050/1/1 0:00:00
103201,103201,2017/1/1 0:00:00,2050/1/1 0:00:00
103202,103202,2023/7/31 12:00:00,2050/1/1 0:00:00
103203,103203,2024/5/10 12:00:00,2050/1/1 0:00:00
103301,103301,2022/2/16 12:00:00,2050/1/1 0:00:00
103302,103302,2024/11/28 12:00:00,2050/1/1 0:00:00
103401,103401,2022/6/10 12:00:00,2050/1/1 0:00:00
103402,103402,2022/10/28 12:00:00,2050/1/1 0:00:00
103501,103501,2017/1/1 0:00:00,2050/1/1 0:00:00
103502,103502,2022/8/29 12:00:00,2050/1/1 0:00:00
103503,103503,2024/4/9 12:00:00,2050/1/1 0:00:00
103601,103601,2022/7/11 12:00:00,2050/1/1 0:00:00
103602,103602,2023/9/29 12:00:00,2050/1/1 0:00:00
103701,103701,2021/8/20 12:00:00,2050/1/1 0:00:00
103702,103702,2022/1/28 12:00:00,2050/1/1 0:00:00
103703,103703,2024/7/29 12:00:00,2050/1/1 0:00:00
103801,103801,2021/4/15 12:00:00,2050/1/1 0:00:00
103802,103802,2022/5/30 12:00:00,2050/1/1 0:00:00
103901,103901,2021/10/11 12:00:00,2050/1/1 0:00:00
103902,103902,2023/10/30 12:00:00,2050/1/1 0:00:00
104001,104001,2021/7/20 12:00:00,2050/1/1 0:00:00
104002,104002,2021/10/28 12:00:00,2050/1/1 0:00:00
104003,104003,2025/06/27 12:00:00,2050/1/1 0:00:00
104101,104101,2017/1/1 0:00:00,2050/1/1 0:00:00
104102,104102,2023/4/28 12:00:00,2050/1/1 0:00:00
104103,104103,2026/03/30 12:00:00,2050/1/1 0:00:00
104201,104201,2022/9/20 12:00:00,2050/1/1 0:00:00
104202,104202,2024/9/30 12:00:00,2050/1/1 0:00:00
104301,104301,2023/2/13 12:00:00,2050/1/1 0:00:00
104401,104401,2022/6/20 12:00:00,2050/1/1 0:00:00
104402,104402,2024/5/30 12:00:00,2050/1/1 0:00:00
104501,104501,2017/1/1 0:00:00,2050/1/1 0:00:00
104502,104502,2021/9/29 12:00:00,2050/1/1 0:00:00
104503,104503,2024/4/30 12:00:00,2050/1/1 0:00:00
104601,104601,2021/5/6 12:00:00,2050/1/1 0:00:00
104602,104602,2022/8/24 12:00:00,2050/1/1 0:00:00
104603,104603,2025/04/30 12:00:00,2050/1/1 0:00:00
104701,104701,2022/12/12 12:00:00,2050/1/1 0:00:00
104702,104702,2024/8/30 12:00:00,2050/1/1 0:00:00
104801,104801,2021/11/8 12:00:00,2050/1/1 0:00:00
