id,area,season,weather,sub_weather,ground_type,ground,rate
1,999,1,1,0,999,1,54600000
2,999,1,1,0,999,2,5400000
3,999,1,2,0,999,1,23400000
4,999,1,2,0,999,2,6600000
5,999,1,3,0,999,3,5500000
6,999,1,3,0,999,4,4500000
7,999,2,1,0,999,1,54600000
8,999,2,1,0,999,2,5400000
9,999,2,2,0,999,1,23400000
10,999,2,2,0,999,2,6600000
11,999,2,3,0,999,3,5500000
12,999,2,3,0,999,4,4500000
13,999,3,1,0,999,1,54600000
14,999,3,1,0,999,2,5400000
15,999,3,2,0,999,1,23400000
16,999,3,2,0,999,2,6600000
17,999,3,3,0,999,3,5500000
18,999,3,3,0,999,4,4500000
19,999,4,1,0,999,1,50050000
20,999,4,1,0,999,2,4950000
21,999,4,2,0,999,1,24960000
22,999,4,2,0,999,2,7040000
23,999,4,3,0,999,3,4400000
24,999,4,3,0,999,4,3600000
25,999,4,4,0,999,2,150000
26,999,4,4,0,999,3,4850000
27,999,5,1,0,999,1,54600000
28,999,5,1,0,999,2,5400000
29,999,5,2,0,999,1,23400000
30,999,5,2,0,999,2,6600000
31,999,5,3,0,999,3,5500000
32,999,5,3,0,999,4,4500000
35,999,1,2,0,999,3,0
45,999,2,2,0,999,3,0
55,999,3,2,0,999,3,0
63,999,4,1,0,999,3,0
65,999,4,2,0,999,3,0
73,999,5,2,0,999,3,0
81,999,3,2,5,999,1,0
101,5,1,1,0,999,1,43680000
102,5,1,1,0,999,2,4320000
103,5,1,2,0,999,1,24960000
104,5,1,2,0,999,2,7040000
105,5,1,3,0,999,3,11000000
106,5,1,3,0,999,4,9000000
107,5,2,1,0,999,1,54600000
108,5,2,1,0,999,2,5400000
109,5,2,2,0,999,1,14040000
110,5,2,2,0,999,2,3960000
111,5,2,3,0,999,3,12100000
112,5,2,3,0,999,4,9900000
113,5,3,1,0,999,1,40040000
114,5,3,1,0,999,2,3960000
115,5,3,2,0,999,1,24960000
116,5,3,2,0,999,2,7040000
117,5,3,3,0,999,3,13200000
118,5,3,3,0,999,4,10800000
119,5,4,1,0,999,1,29120000
120,5,4,1,0,999,2,2880000
121,5,4,2,0,999,1,32760000
122,5,4,2,0,999,2,9240000
123,5,4,3,0,999,3,13200000
124,5,4,3,0,999,4,10800000
125,5,4,4,0,999,2,60000
126,5,4,4,0,999,3,1940000
127,5,5,1,0,999,1,43680000
128,5,5,1,0,999,2,4320000
129,5,5,2,0,999,1,24960000
130,5,5,2,0,999,2,7040000
131,5,5,3,0,999,3,11000000
132,5,5,3,0,999,4,9000000
133,6,1,1,0,999,1,68250000
134,6,1,1,0,999,2,6750000
135,6,1,2,0,999,1,15600000
136,6,1,2,0,999,2,4400000
137,6,1,3,0,1,3,5000000
138,6,1,3,0,1,4,0
139,6,1,3,0,2,3,2750000
140,6,1,3,0,2,4,2250000
141,6,2,1,0,999,1,68250000
142,6,2,1,0,999,2,6750000
143,6,2,2,0,999,1,15600000
144,6,2,2,0,999,2,4400000
145,6,2,3,0,1,3,5000000
146,6,2,3,0,1,4,0
147,6,2,3,0,2,3,2750000
148,6,2,3,0,2,4,2250000
149,6,3,1,0,999,1,68250000
150,6,3,1,0,999,2,6750000
151,6,3,2,0,999,1,15600000
152,6,3,2,0,999,2,4400000
153,6,3,3,0,1,3,5000000
154,6,3,3,0,1,4,0
155,6,3,3,0,2,3,2750000
156,6,3,3,0,2,4,2250000
157,6,4,1,0,999,1,59150000
158,6,4,1,0,999,2,5850000
159,6,4,2,0,999,1,19500000
160,6,4,2,0,999,2,5500000
161,6,4,3,0,1,3,10000000
162,6,4,3,0,1,4,0
163,6,4,3,0,2,3,5500000
164,6,4,3,0,2,4,4500000
165,6,4,4,0,999,2,0
166,6,4,4,0,999,3,0
167,6,5,1,0,999,1,68250000
168,6,5,1,0,999,2,6750000
169,6,5,2,0,999,1,15600000
170,6,5,2,0,999,2,4400000
171,6,5,3,0,1,3,5000000
172,6,5,3,0,1,4,0
173,6,5,3,0,2,3,2750000
174,6,5,3,0,2,4,2250000
