id,mode,sub_mode,sub_mode_jump,situation,sub_situation,situation_end,disable_reentry_situation,trigger0,trigger1,trigger2,trigger3,trigger4,trigger5,trigger6,trigger7,trigger8,trigger9,message_group,comment_group,priority,per,immediate,discard,tension,camera_id,camera_horse1,camera_horse2,is_force_play_event_camera,disable_reuse
1,1,0,-1,0,0,0,0,1,1282,0,0,0,0,0,0,0,0,100000,0,1000,100,0,0,1,0,0,0,0,0
2,1,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,100001,0,1000,100,0,0,1,0,0,0,0,0
3,1,0,-1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100002,0,1000,100,0,0,1,0,0,0,0,0
4,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,1000,100,0,0,1,0,0,0,0,0
5,1,0,-1,0,0,0,0,1,41,1282,0,0,0,0,0,0,0,100004,0,1000,200,0,0,1,0,0,0,0,0
6,1,0,-1,0,0,0,0,2,41,0,0,0,0,0,0,0,0,100005,0,1000,200,0,0,1,0,0,0,0,0
7,1,0,-1,0,0,0,0,3,41,0,0,0,0,0,0,0,0,100006,0,1000,200,0,0,1,0,0,0,0,0
8,1,0,-1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,100007,0,1000,200,0,0,1,0,0,0,0,0
9,1,0,-1,0,0,0,0,1,54,56,1282,0,0,0,0,0,0,100008,0,1000,200,0,0,1,0,0,0,0,0
10,1,0,-1,0,0,0,0,1,55,56,1282,0,0,0,0,0,0,100009,0,1000,200,0,0,1,0,0,0,0,0
11,1,0,-1,0,0,0,0,1,54,57,1282,0,0,0,0,0,0,100010,0,1000,200,0,0,1,0,0,0,0,0
12,1,0,-1,0,0,0,0,1,55,57,1282,0,0,0,0,0,0,100011,0,1000,200,0,0,1,0,0,0,0,0
13,1,0,-1,0,0,0,0,2,56,1282,0,0,0,0,0,0,0,100012,0,1000,200,0,0,1,0,0,0,0,0
15,1,0,-1,0,0,0,0,2,54,57,1282,0,0,0,0,0,0,100014,0,1000,200,0,0,1,0,0,0,0,0
16,1,0,-1,0,0,0,0,2,55,57,1282,0,0,0,0,0,0,100015,0,1000,200,0,0,1,0,0,0,0,0
17,1,0,-1,0,0,0,0,3,54,58,0,0,0,0,0,0,0,100016,0,1000,200,0,0,1,0,0,0,0,0
18,1,0,-1,0,0,0,0,3,55,58,0,0,0,0,0,0,0,100017,0,1000,200,0,0,1,0,0,0,0,0
