id,initial_lane_type,enable_half_gate,horse_num_gate_variation,turf_vision_type,footsmoke_color_type,area,overrun_result_type,flag_type,gate_panel_type,gate_lamp_type,board_condition_type,result_board_type
10001,1,1,0,1,1,0,0,0,1,1,2,0
10002,1,1,0,1,1,0,0,0,1,1,2,0
10003,1,1,0,1,1,1,0,0,1,1,2,0
10004,1,1,0,1,1,1,0,0,1,1,2,0
10005,1,1,0,1,1,2,0,0,1,1,2,0
10006,1,1,0,1,1,2,0,0,1,1,2,0
10007,1,1,0,1,1,3,0,0,1,1,2,0
10008,1,1,0,1,1,3,0,0,1,1,2,0
10009,1,1,0,1,1,3,0,0,1,1,2,0
10010,1,1,0,1,1,4,0,0,1,1,2,0
10101,2,0,1,2,2,2,0,1,1,1,3,0
10103,2,0,1,2,2,2,0,1,1,1,3,0
10104,2,0,1,2,2,2,0,1,1,1,3,0
10105,4,1,0,2,2,1,0,1,1,1,4,0
10201,3,1,0,4,1,5,1,0,2,2,1,1
10202,2,0,0,5,2,6,2,2,1,1,4,2
10203,2,0,0,6,2,6,3,2,1,1,4,3
