id,trophy_id,race_instance_id,original_flag,disp_order,size,event_type,start_date,display_end_date
1,3070,307001,0,268,1,0,2020/01/20,2050/01/27
2,3069,306901,1,267,1,0,2020/01/20,2050/01/27
3,3068,306801,0,266,1,0,2020/01/20,2050/01/27
4,3067,306701,0,265,1,0,2020/01/20,2050/01/27
5,3066,306601,0,264,1,0,2020/01/20,2050/01/27
6,3065,306501,0,263,1,0,2020/01/20,2050/01/27
7,3064,306401,1,262,1,0,2020/01/20,2050/01/27
8,3063,306301,0,261,1,0,2020/01/20,2050/01/27
9,3062,306201,0,260,1,0,2020/01/20,2050/01/27
10,3061,306101,0,259,1,0,2020/01/20,2050/01/27
11,3060,306001,0,258,1,0,2020/01/20,2050/01/27
12,3059,305901,0,257,1,0,2020/01/20,2050/01/27
13,3057,305701,0,256,1,0,2020/01/20,2050/01/27
14,3056,305601,0,255,1,0,2020/01/20,2050/01/27
15,3055,305501,0,254,1,0,2020/01/20,2050/01/27
16,3054,305401,0,253,1,0,2020/01/20,2050/01/27
17,3053,305301,0,252,1,0,2020/01/20,2050/01/27
18,3052,305201,0,251,1,0,2020/01/20,2050/01/27
19,3051,305101,0,250,1,0,2020/01/20,2050/01/27
20,3050,305001,0,249,1,0,2020/01/20,2050/01/27
21,3049,304901,0,248,1,0,2020/01/20,2050/01/27
22,3048,304801,0,247,1,0,2020/01/20,2050/01/27
23,3047,304701,0,246,1,0,2020/01/20,2050/01/27
24,3046,304601,0,245,1,0,2020/01/20,2050/01/27
25,3045,304501,0,244,1,0,2020/01/20,2050/01/27
26,3044,304401,0,243,1,0,2020/01/20,2050/01/27
27,3043,304301,0,242,1,0,2020/01/20,2050/01/27
28,3042,304201,0,241,1,0,2020/01/20,2050/01/27
29,3041,304101,0,240,1,0,2020/01/20,2050/01/27
30,3040,304001,0,239,1,0,2020/01/20,2050/01/27
31,3039,303901,0,238,1,0,2020/01/20,2050/01/27
32,3038,303801,0,237,1,0,2020/01/20,2050/01/27
33,3037,303701,0,236,1,0,2020/01/20,2050/01/27
34,3036,303601,0,235,1,0,2020/01/20,2050/01/27
35,3035,303501,0,234,1,0,2020/01/20,2050/01/27
36,3034,303401,0,233,1,0,2020/01/20,2050/01/27
37,3033,303301,1,232,1,0,2020/01/20,2050/01/27
38,3032,303201,1,231,1,0,2020/01/20,2050/01/27
39,3031,303101,0,230,1,0,2020/01/20,2050/01/27
40,3030,303001,0,229,1,0,2020/01/20,2050/01/27
41,4050,405001,0,228,1,0,2020/01/20,2050/01/27
42,3029,302901,0,227,1,0,2020/01/20,2050/01/27
43,3028,302801,0,226,1,0,2020/01/20,2050/01/27
44,3027,302701,0,225,1,0,2020/01/20,2050/01/27
45,3026,302601,0,224,1,0,2020/01/20,2050/01/27
46,3025,302501,1,223,0,0,2020/01/20,2050/01/27
47,3024,302401,0,222,1,0,2020/01/20,2050/01/27
48,3023,302301,0,221,1,0,2020/01/20,2050/01/27
49,3022,302201,0,220,1,0,2020/01/20,2050/01/27
50,3021,302101,0,219,1,0,2020/01/20,2050/01/27
51,3020,302001,1,218,0,0,2020/01/20,2050/01/27
52,3019,301901,0,217,1,0,2020/01/20,2050/01/27
53,3017,301701,0,216,1,0,2020/01/20,2050/01/27
54,3016,301601,1,215,0,0,2020/01/20,2050/01/27
55,3015,301501,1,214,1,0,2020/01/20,2050/01/27
56,3014,301401,0,213,1,0,2020/01/20,2050/01/27
57,3013,301301,0,212,1,0,2020/01/20,2050/01/27
58,3012,301201,1,211,1,0,2020/01/20,2050/01/27
59,3011,301101,1,210,1,0,2020/01/20,2050/01/27
60,3010,301001,1,209,1,0,2020/01/20,2050/01/27
61,3009,300901,0,208,1,0,2020/01/20,2050/01/27
62,3008,300801,1,207,1,0,2020/01/20,2050/01/27
63,3007,300701,0,206,1,0,2020/01/20,2050/01/27
