id,race_instance_id,season,weather,ground,bg_id,bg_sub_id
1,690001,1,0,0,78,111
2,690002,1,0,0,77,111
3,690003,1,0,0,88,111
4,690004,1,0,0,78,111
5,690005,1,0,0,78,111
6,690006,1,0,0,88,111
7,690007,1,0,0,88,111
8,690008,1,0,0,77,111
9,690009,1,0,0,78,111
10,690010,1,0,0,88,111
11,690011,1,0,0,88,111
12,690012,1,0,0,78,111
13,690013,1,0,0,78,111
14,690014,1,0,0,77,111
15,690015,1,0,0,77,111
16,690016,5,0,0,78,111
17,690017,5,0,0,77,111
18,690018,5,0,0,78,111
19,690019,5,0,0,79,111
20,690020,5,0,0,114,111
21,690021,5,0,0,78,111
22,690022,5,0,0,77,111
23,690023,5,0,0,78,111
24,690024,5,0,0,79,111
25,690025,5,0,0,114,111
