id,reward_group_id,item_category,item_id,item_num
1,1020001,90,43,20
2,1020001,21,34,6
3,1020001,91,59,2000
4,1020001,30,110,1000
5,1030001,90,43,30
6,1030001,93,44,6
7,1030001,91,59,3000
8,1030001,30,110,1500
9,1040001,90,43,40
10,1040001,97,115,12
11,1040001,91,59,4000
12,1040001,30,110,2000
13,1050001,90,43,50
14,1050001,21,34,6
15,1050001,91,59,5000
16,1050001,30,110,2500
17,1060001,90,43,60
18,1060001,93,44,6
19,1060001,91,59,6000
20,1060001,30,110,3000
21,1070001,90,43,70
22,1070001,97,115,12
23,1070001,91,59,7000
24,1070001,30,110,3500
25,1080001,90,43,80
26,1080001,21,34,6
27,1080001,91,59,8000
28,1080001,30,110,4000
29,1090001,90,43,100
30,1090001,93,44,6
31,1090001,91,59,9000
32,1090001,30,110,4500
33,1100001,90,43,200
34,1100001,97,115,12
35,1100001,91,59,10000
36,1100001,30,110,5000
37,2020001,90,43,50
38,2020001,91,59,2000
39,2020001,30,110,500
40,2030001,90,43,50
41,2030001,91,59,3000
42,2030001,30,110,1000
43,2040001,90,43,50
44,2040001,91,59,4000
45,2040001,30,110,1500
46,2050001,90,43,50
47,2050001,91,59,5000
48,2050001,30,110,2000
49,2060001,90,43,50
50,2060001,91,59,6000
51,2060001,30,110,2500
52,2070001,90,43,50
53,2070001,91,59,7000
54,2070001,30,110,3000
55,2080001,90,43,50
56,2080001,40,41,1
57,2080001,91,59,8000
58,2080001,30,110,3500
59,2090001,90,43,70
60,2090001,40,111,1
61,2090001,91,59,9000
62,2090001,30,110,4000
63,2100001,90,43,100
64,2100001,91,59,10000
65,2100001,30,110,5000
66,3020001,90,43,300
67,3020001,164,149,1
68,3020001,164,150,1
69,3020002,90,43,250
70,3020002,164,149,1
71,3020002,164,150,1
72,3020003,90,43,220
73,3020003,164,149,1
74,3020003,164,150,1
75,3020004,90,43,200
76,3020004,164,149,1
77,3020004,164,150,1
78,3030001,90,43,300
79,3030001,164,149,1
80,3030001,164,150,1
81,3030002,90,43,250
82,3030002,164,149,1
83,3030002,164,150,1
84,3030003,90,43,220
85,3030003,164,149,1
86,3030003,164,150,1
87,3030004,90,43,200
88,3030004,164,149,1
89,3030004,164,150,1
90,3040001,90,43,300
91,3040001,164,149,1
92,3040001,164,150,1
93,3040002,90,43,250
94,3040002,164,149,1
95,3040002,164,150,1
96,3040003,90,43,220
97,3040003,164,149,1
98,3040003,164,150,1
99,3040004,90,43,200
100,3040004,164,149,1
101,3040004,164,150,1
102,3050001,90,43,300
103,3050001,164,149,1
104,3050001,164,150,1
105,3050002,90,43,250
106,3050002,164,149,1
107,3050002,164,150,1
108,3050003,90,43,220
109,3050003,164,149,1
110,3050003,164,150,1
111,3050004,90,43,200
112,3050004,164,149,1
113,3050004,164,150,1
114,3060001,90,43,300
115,3060001,164,149,1
116,3060001,164,150,1
117,3060002,90,43,250
118,3060002,164,149,1
119,3060002,164,150,1
120,3060003,90,43,220
121,3060003,164,149,1
122,3060003,164,150,1
123,3060004,90,43,200
124,3060004,164,149,1
125,3060004,164,150,1
126,3070001,90,43,400
127,3070001,164,149,2
128,3070001,164,150,2
129,3070002,90,43,350
130,3070002,164,149,2
131,3070002,164,150,2
132,3070003,90,43,320
133,3070003,164,149,2
134,3070003,164,150,2
135,3070004,90,43,300
136,3070004,164,149,2
137,3070004,164,150,2
138,3080001,90,43,500
139,3080001,164,149,2
140,3080001,164,150,2
141,3080002,90,43,450
142,3080002,164,149,2
143,3080002,164,150,2
144,3080003,90,43,420
145,3080003,164,149,2
146,3080003,164,150,2
147,3080004,90,43,400
148,3080004,164,149,2
149,3080004,164,150,2
150,3090001,90,43,600
151,3090001,164,149,2
152,3090001,164,150,2
153,3090002,90,43,550
154,3090002,164,149,2
155,3090002,164,150,2
156,3090003,90,43,520
157,3090003,164,149,2
158,3090003,164,150,2
159,3090004,90,43,500
160,3090004,164,149,2
161,3090004,164,150,2
162,3100001,90,43,700
163,3100001,164,149,2
164,3100001,164,150,2
165,3100002,90,43,650
166,3100002,164,149,2
167,3100002,164,150,2
168,3100003,90,43,620
169,3100003,164,149,2
170,3100003,164,150,2
171,3100004,90,43,600
172,3100004,164,149,2
173,3100004,164,150,2
