id,support_card_id,support_card_alt_id
1,30028,30002
2,30010,30103
3,30186,30084
4,20007,20024
5,30019,30216
6,30015,30186
7,20060,20024
8,30070,30216
9,30205,30186
10,20024,20007
11,30216,30070
12,30084,30186
13,30069,30113
14,20038,20017
15,30113,30069
16,30129,30019
17,20017,20038
18,30107,30072
19,30031,30082
20,30086,30247
21,30005,30243
22,20079,20022
23,30159,30086
24,30056,30005
25,20029,20079
26,20023,20079
27,30243,30005
28,30094,30005
29,30269,30086
30,30090,30016
31,20022,20079
32,30247,30086
33,30016,30090
34,20085,20079
