id,rental_deck_id,support_card_id,limit_break_count,position
1,1,30028,4,1
2,1,30186,4,2
3,1,20007,4,3
4,1,30019,4,4
5,1,30010,4,5
6,2,30028,4,1
7,2,30015,4,2
8,2,20060,4,3
9,2,30070,4,4
10,2,30010,4,5
11,3,30028,4,1
12,3,30205,4,2
13,3,20024,4,3
14,3,30216,4,4
15,3,30010,4,5
16,4,30028,4,1
17,4,30084,4,2
18,4,30069,4,3
19,4,20038,4,4
20,4,30010,4,5
21,5,30028,4,1
22,5,30113,4,2
23,5,30129,4,3
24,5,20017,4,4
25,5,30010,4,5
26,6,30107,4,1
27,6,30086,4,2
28,6,30005,4,3
29,6,20079,4,4
30,6,30031,4,5
31,7,30107,4,1
32,7,30159,4,2
33,7,30056,4,3
34,7,20029,4,4
35,7,30031,4,5
36,8,30107,4,1
37,8,20023,4,2
38,8,30243,4,3
39,8,30094,4,4
40,8,30031,4,5
41,9,30107,4,1
42,9,30269,4,2
43,9,30090,4,3
44,9,20022,4,4
45,9,30031,4,5
46,10,30107,4,1
47,10,30247,4,2
48,10,30016,4,3
49,10,20085,4,4
50,10,30031,4,5
