id,gacha_id,card_id,card_type,recommend_order,recommend_type
1,30197,30147,2,10,0
2,30197,30107,2,9,0
3,30197,30016,2,8,0
4,30197,30115,2,7,0
5,30197,30034,2,6,0
6,30197,30138,2,5,0
7,30197,30037,2,4,0
8,30197,30011,2,3,0
9,30197,30134,2,2,0
10,30197,30146,2,1,0
11,30209,30147,2,10,0
12,30209,30131,2,9,0
13,30209,30016,2,8,0
14,30209,30139,2,7,0
15,30209,30110,2,6,0
16,30209,30151,2,5,0
17,30209,30123,2,4,0
18,30209,30152,2,3,0
19,30209,30111,2,2,0
20,30209,30160,2,1,0
21,30215,30161,2,10,0
22,30215,30101,2,9,0
23,30215,30156,2,8,0
24,30215,30148,2,7,0
25,30215,30037,2,6,0
26,30215,30130,2,5,0
27,30215,30134,2,4,0
28,30215,30141,2,3,0
29,30215,30149,2,2,0
30,30215,30160,2,1,0
31,30221,30161,2,10,0
32,30221,30147,2,9,0
33,30221,30053,2,8,0
34,30221,30114,2,7,0
35,30221,30153,2,6,0
36,30221,30112,2,5,0
37,30221,30130,2,4,0
38,30221,30157,2,3,0
39,30221,30134,2,2,0
40,30221,30163,2,1,0
41,50073,100101,1,1,0
42,50073,100201,1,2,0
43,50073,100301,1,3,0
44,50073,100401,1,4,0
45,50073,100601,1,5,1
46,50073,101001,1,6,1
47,50073,101301,1,7,0
48,50073,101701,1,8,0
49,50073,103001,1,9,0
50,50073,101501,1,10,0
51,50073,102601,1,11,0
52,50073,102301,1,12,0
53,50073,100302,1,13,0
54,50073,101302,1,14,0
55,50073,103801,1,15,0
56,50073,105001,1,16,0
57,50073,104601,1,17,0
58,50073,101601,1,18,0
59,50073,102402,1,19,0
60,50073,101802,1,20,0
61,50073,102001,1,21,0
62,50073,101201,1,22,0
63,50073,101402,1,23,0
64,50073,101102,1,24,0
65,50073,100501,1,25,0
66,50073,104001,1,26,0
67,50073,100102,1,27,0
68,50073,100402,1,28,0
69,50073,105801,1,29,0
70,50073,103701,1,30,0
71,50073,105602,1,31,0
72,50073,102801,1,32,0
73,50073,101901,1,33,1
74,50073,103002,1,34,0
75,50073,104502,1,35,0
76,50073,103901,1,36,0
77,50073,102501,1,37,0
78,50073,101702,1,38,0
79,50073,104002,1,39,0
80,50073,104801,1,40,0
81,50073,105901,1,41,0
82,50073,100602,1,42,0
83,50073,102302,1,43,0
84,50073,102201,1,44,0
85,50073,102101,1,45,0
