id,chip_id,point,group_id,effect_category,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
1,1001,1,1,2,6,101,10,0,0
2,1001,2,1,2,6,101,18,0,0
3,1001,3,1,2,6,101,26,0,0
4,1001,4,1,2,6,101,33,0,0
5,1001,5,1,2,6,101,40,0,0
6,1002,1,1,2,6,105,10,0,0
7,1002,2,1,2,6,105,18,0,0
8,1002,3,1,2,6,105,26,0,0
9,1002,4,1,2,6,105,33,0,0
10,1002,5,1,2,6,105,40,0,0
11,1003,1,1,2,6,102,10,0,0
12,1003,2,1,2,6,102,18,0,0
13,1003,3,1,2,6,102,26,0,0
14,1003,4,1,2,6,102,33,0,0
15,1003,5,1,2,6,102,40,0,0
16,1004,1,1,2,6,103,10,0,0
17,1004,2,1,2,6,103,18,0,0
18,1004,3,1,2,6,103,26,0,0
19,1004,4,1,2,6,103,33,0,0
20,1004,5,1,2,6,103,40,0,0
21,1005,1,1,2,6,106,10,0,0
22,1005,2,1,2,6,106,18,0,0
23,1005,3,1,2,6,106,26,0,0
24,1005,4,1,2,6,106,33,0,0
25,1005,5,1,2,6,106,40,0,0
26,1009,1,1,1,24,30,12,0,0
27,1009,2,1,1,24,30,24,0,0
28,1009,3,1,1,24,30,36,0,0
29,1009,4,1,1,24,30,48,0,0
30,1009,5,1,1,24,30,60,0,0
31,1006,1,1,1,2,0,15,0,0
32,1006,2,1,1,2,0,30,0,0
33,1006,3,1,1,2,0,45,0,0
34,1006,4,1,1,2,0,60,0,0
35,1006,5,1,1,2,0,75,0,0
36,1007,1,1,1,26,0,15,0,0
37,1007,2,1,1,26,0,30,0,0
38,1007,3,1,1,26,0,45,0,0
39,1007,4,1,1,26,0,60,0,0
40,1007,5,1,1,26,0,75,0,0
41,1008,1,1,1,12,0,2,0,0
42,1008,2,1,1,12,0,4,0,0
43,1008,3,1,1,12,0,6,0,0
44,1008,4,1,1,12,0,8,0,0
45,1008,5,1,1,12,0,10,0,0
46,2000,0,1,3,5,0,25,0,0
47,2001,3,1,3,18,0,5,0,0
48,2001,6,2,3,19,0,0,5,1
49,2001,6,3,3,6,0,15,0,0
50,2001,9,2,3,19,0,0,5,2
51,2001,9,3,3,6,0,20,0,0
52,2001,12,3,3,6,0,25,0,0
53,2001,12,4,3,4,0,-50,0,0
54,2001,15,5,3,17,0,6,0,0
55,2001,15,6,3,20,5,0,0,0
56,2002,3,1,3,25,0,1,0,0
57,2002,6,2,3,19,0,0,2,1
58,2002,6,3,3,19,0,0,4,1
59,2002,9,2,3,19,0,0,2,2
60,2002,9,3,3,19,0,0,4,2
61,2002,12,1,3,25,0,3,0,0
62,2002,15,4,3,27,1,2,0,0
63,2003,3,1,3,15,0,3,0,0
64,2003,6,2,3,19,0,0,1,1
65,2003,6,3,3,19,0,0,3,1
66,2003,9,2,3,19,0,0,1,2
67,2003,9,3,3,19,0,0,3,2
68,2003,12,4,3,22,10,15,0,0
69,2003,12,5,3,22,20,1,0,0
70,2003,15,6,3,19,0,0,30,3
