id,boost_set_id,level_min,level_max,add_value
1,1,1,300,3
2,1,301,600,6
3,1,601,900,9
4,1,901,1200,12
5,1,1201,1500,15
6,1,1501,1800,18
7,1,1801,2100,21
8,1,2101,2400,24
9,1,2401,2700,27
10,1,2701,3000,30
11,1,3001,3300,33
12,1,3301,3600,36
13,2,1,200,3
14,2,201,400,6
15,2,401,600,9
16,2,601,800,12
17,2,801,1000,15
18,2,1001,1200,18
19,2,1201,1400,21
20,2,1401,1600,24
21,2,1601,1800,27
22,2,1801,2000,30
23,2,2001,2200,33
24,2,2201,2400,36
25,2,2401,2600,39
26,2,2601,2800,42
27,2,2801,3000,45
28,2,3001,3200,48
29,2,3201,3400,51
30,2,3401,3600,54
31,3,1,150,3
32,3,151,300,6
33,3,301,450,9
34,3,451,600,12
35,3,601,750,15
36,3,751,900,18
37,3,901,1050,21
38,3,1051,1200,24
39,3,1201,1350,27
40,3,1351,1500,30
41,3,1501,1650,33
42,3,1651,1800,36
43,3,1801,1950,39
44,3,1951,2100,42
45,3,2101,2250,45
46,3,2251,2400,48
47,3,2401,2550,51
48,3,2551,2700,54
49,3,2701,2850,57
50,3,2851,3000,60
51,3,3001,3150,63
52,3,3151,3300,66
53,3,3301,3450,69
54,3,3451,3600,72
