id,buff_id,legend_id,buff_rank,buff_trigger,condition_group_id,effect_group_id,buff_turn_type,buff_turn_value,buff_ct,icon,is_enable_inactivation
1,1101,9046,1,0,0,301,0,0,0,2,0
2,1102,9046,1,0,0,201,0,0,0,3,0
3,1103,9046,1,0,0,1501,0,0,0,1,0
4,1104,9046,1,0,0,2801,0,0,0,4,0
5,1201,9046,2,0,0,302,0,0,0,2,0
6,1202,9046,2,0,0,2802,0,0,0,4,0
7,1203,9046,2,0,0,102,0,0,0,4,0
8,1204,9046,2,0,0,2806,0,0,0,4,0
9,1205,9046,2,0,1401,2803,0,0,0,4,1
10,1206,9046,2,0,1401,202,0,0,0,3,1
11,1301,9046,3,1,801,2902,4,0,3,8,1
12,1302,9046,3,1,202,1302,1,1,0,8,1
13,1303,9046,3,0,1401,2601,0,0,0,3,1
14,1304,9046,3,1,202,1304,5,1,0,4,1
15,1305,9046,3,0,1401,3305,0,0,0,13,1
16,1306,9046,3,1,202,1306,1,1,0,4,1
17,1307,9046,3,0,1401,2804,0,0,0,4,1
18,1308,9046,3,0,1401,303,0,0,0,2,1
19,1309,9046,3,0,1401,1705,0,0,0,13,1
20,2101,9047,1,0,0,301,0,0,0,2,0
21,2102,9047,1,0,0,201,0,0,0,3,0
22,2103,9047,1,0,0,1501,0,0,0,1,0
23,2104,9047,1,0,0,101,0,0,0,4,0
24,2201,9047,2,0,0,302,0,0,0,2,0
25,2202,9047,2,0,0,2202,0,0,0,4,0
26,2203,9047,2,0,0,102,0,0,0,4,0
27,2204,9047,2,0,0,106,0,0,0,4,0
28,2205,9047,2,1,201,103,1,1,0,4,1
29,2206,9047,2,1,801,2501,5,1,0,3,1
30,2301,9047,3,1,201,601,1,1,0,6,1
31,2302,9047,3,0,0,1706,0,0,0,13,0
32,2303,9047,3,1,201,105,1,1,0,4,1
33,2304,9047,3,0,0,104,0,0,0,4,0
34,2305,9047,3,1,201,4305,1,1,0,4,1
35,2306,9047,3,1,201,1003,1,1,2,11,1
36,2307,9047,3,1,201,2804,1,1,0,4,1
37,2308,9047,3,1,201,203,1,1,0,3,1
38,2309,9047,3,1,201,1705,1,1,0,13,1
39,3101,9048,1,0,0,301,0,0,0,2,0
40,3102,9048,1,0,0,201,0,0,0,3,0
41,3103,9048,1,0,0,1501,0,0,0,1,0
42,3104,9048,1,0,0,1701,0,0,0,13,0
43,3201,9048,2,0,0,302,0,0,0,2,0
44,3202,9048,2,0,0,3202,0,0,0,13,0
45,3203,9048,2,0,0,102,0,0,0,4,0
46,3204,9048,2,0,0,1707,0,0,0,13,0
47,3205,9048,2,1,801,1001,1,1,2,11,1
48,3206,9048,2,1,1301,2501,5,1,0,3,1
49,3301,9048,3,1,1301,3001,1,1,0,1,1
50,3302,9048,3,1,202,3302,1,1,0,4,1
51,3303,9048,3,1,1301,1001,1,1,0,11,1
52,3304,9048,3,0,0,1704,0,0,0,13,0
53,3305,9048,3,0,0,107,0,0,0,4,0
54,3306,9048,3,1,1301,2401,1,1,0,2,1
55,3307,9048,3,1,801,2805,1,1,0,4,1
56,3308,9048,3,1,801,305,1,1,0,2,1
57,3309,9048,3,1,1302,3309,1,1,0,13,1
