id,effect_group_id,effect_type,effect_value_1,effect_value_2,legend_id,bonus_value
1,101,1,3,0,0,0
2,102,1,5,0,0,0
3,103,1,7,0,0,0
4,104,1,20,0,0,0
5,105,1,25,0,0,0
6,106,1,2,2,0,0
7,107,1,7,7,0,0
8,201,2,80,0,0,0
9,202,2,200,0,0,0
10,301,3,30,0,0,0
11,302,3,60,0,0,0
12,303,3,100,0,0,0
13,305,3,100,0,0,0
14,601,6,15,0,0,0
15,1001,10,1,0,0,0
16,1003,10,3,0,0,0
17,1004,10,5,0,0,0
18,1501,15,2,0,0,0
19,1701,17,5,0,0,0
20,1704,17,22,0,0,0
21,1705,17,25,0,0,0
22,1706,17,22,0,0,0
23,1707,17,3,3,0,0
24,2401,24,25,3,0,0
25,2501,25,1,0,0,0
26,2601,26,1,0,0,0
27,2801,28,15,0,0,0
28,2802,28,30,0,0,0
29,2803,28,50,0,0,0
30,2804,28,120,0,0,0
31,2805,28,150,0,0,0
32,2806,28,15,8,0,0
33,2902,29,20,1,0,0
34,1302,29,20,1,0,0
35,1302,17,60,0,0,0
36,2202,1,3,0,0,0
37,2202,28,15,0,0,0
38,3202,17,3,0,0,0
39,3202,28,15,0,0,0
40,3309,17,20,0,0,0
41,3309,1,20,0,0,0
42,3305,17,15,0,9046,35
43,4305,1,15,0,9047,30
44,3001,30,3,0,0,0
45,3001,17,10,0,0,0
46,1304,1,60,0,0,0
47,1304,25,1,0,0,0
48,1306,28,200,0,0,0
49,1306,6,100,0,0,0
50,9046,8,55,0,0,0
51,9047,1,30,0,0,0
52,9047,6,50,0,0,0
53,9048,7,100,0,0,0
54,3302,10,3,0,0,0
55,3302,1,15,0,0,0
56,203,2,250,0,0,0
