id,route_id,condition_type,condition_value,priority,voice_id,target_type,target_value
1,1,1,1,100,1,1,1
2,1,2,163,90,2,2,163
3,1,2,166,90,3,2,166
4,1,2,168,90,4,2,168
5,1,3,1,90,5,3,1
6,1,4,1,90,6,4,1
7,1,4,2,90,7,4,2
8,1,4,3,90,8,4,3
9,1,4,4,90,9,4,4
10,2,1,4,100,10,1,4
11,2,3,1,90,11,3,1
12,2,4,1,90,12,4,1
13,2,4,2,90,13,4,2
14,2,4,3,90,14,4,3
15,2,4,4,90,15,4,4
16,5,1,5,100,16,1,5
17,5,1,3,100,17,1,3
18,5,1,7,100,18,1,7
19,5,1,8,100,19,1,8
20,5,4,1,90,20,4,1
21,5,4,2,90,21,4,2
22,5,4,3,90,22,4,3
23,5,4,4,90,23,4,4
24,4,1,11,100,24,1,11
25,4,1,10,100,25,1,10
26,4,3,1,90,26,3,1
27,4,4,1,90,27,4,1
28,4,4,2,90,28,4,2
29,4,4,3,90,29,4,3
30,4,4,4,90,30,4,4
31,3,5,4,100,31,5,3
32,3,3,1,90,32,3,1
33,3,4,1,90,33,4,1
34,3,4,2,90,34,4,2
35,3,4,3,90,35,4,3
36,3,4,4,90,36,4,4
