id,staging_type,cut_number,motion_type,se_cue_name,se_cuesheet_name
1,1,1,1,snd_sfx_tra_addon10_fan11,snd_sfx_training_010
2,1,1,2,snd_sfx_tra_addon10_fan12,snd_sfx_training_010
3,1,1,3,snd_sfx_tra_addon10_fan13,snd_sfx_training_010
4,1,1,4,snd_sfx_tra_addon10_fan14,snd_sfx_training_010
5,1,1,5,snd_sfx_tra_addon10_fan15,snd_sfx_training_010
6,1,1,6,snd_sfx_tra_addon10_fan16,snd_sfx_training_010
7,1,2,1,snd_sfx_tra_addon10_fan21,snd_sfx_training_010
8,1,2,2,snd_sfx_tra_addon10_fan22,snd_sfx_training_010
9,1,2,3,snd_sfx_tra_addon10_fan23,snd_sfx_training_010
10,1,2,4,snd_sfx_tra_addon10_fan24,snd_sfx_training_010
23,1,6,1,snd_sfx_tra_addon10_fan61,snd_sfx_training_010
24,1,6,2,snd_sfx_tra_addon10_fan62,snd_sfx_training_010
25,1,6,3,snd_sfx_tra_addon10_fan63,snd_sfx_training_010
26,1,6,4,snd_sfx_tra_addon10_fan64,snd_sfx_training_010
27,1,6,5,snd_sfx_tra_addon10_fan65,snd_sfx_training_010
28,1,6,6,snd_sfx_tra_addon10_fan66,snd_sfx_training_010
29,5,1,1,snd_sfx_tra_addon10_PreRace_01,snd_sfx_training_010
30,5,1,2,snd_sfx_tra_addon10_PreRace_02,snd_sfx_training_010
31,5,1,3,snd_sfx_tra_addon10_PreRace_03,snd_sfx_training_010
