id,check_point_type,result_state,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
1,1,2,200,0,10,0,0
2,1,2,200,1,10,0,0
3,1,1,200,0,5,0,0
4,1,1,200,1,5,0,0
5,1,2,204,9,20,0,0
6,1,1,204,9,15,0,0
7,1,2,202,9,5,0,0
8,1,1,202,9,3,0,0
9,2,2,200,0,20,0,0
10,2,2,200,1,20,0,0
11,2,1,200,0,10,0,0
12,2,1,200,1,10,0,0
13,2,2,204,9,40,0,0
14,2,1,204,9,25,0,0
15,2,2,202,9,10,0,0
16,2,1,202,9,5,0,0
17,3,2,200,0,30,0,0
18,3,2,200,1,30,0,0
19,3,1,200,0,20,0,0
20,3,1,200,1,20,0,0
21,3,2,204,9,60,0,0
22,3,1,204,9,45,0,0
23,3,2,202,9,10,0,0
24,3,1,202,9,5,0,0
25,4,2,200,0,45,0,0
26,4,2,200,1,45,0,0
27,4,1,200,0,30,0,0
28,4,1,200,1,30,0,0
29,4,2,204,9,80,0,0
30,4,1,204,9,60,0,0
31,4,2,202,9,15,0,0
32,4,1,202,9,10,0,0
33,5,2,200,0,60,0,0
34,5,2,200,1,60,0,0
35,5,1,200,0,45,0,0
36,5,1,200,1,45,0,0
37,5,2,204,9,120,0,0
38,5,1,204,9,80,0,0
