id,facility_id,state_id,effect_type,effect_value_1,effect_value_2,effect_value_3,effect_value_4
1,101,10110,1,9,1,1,0
2,101,10110,2,2,5,3601,0
3,101,10110,2,3,5,3601,0
4,101,10120,1,9,2,1,0
5,101,10120,2,0,5,0,0
6,101,10120,2,1,5,0,0
7,101,10120,2,2,10,3601,0
8,101,10120,2,3,10,3601,0
9,101,10131,1,9,3,1,0
10,101,10131,1,9,1,30,0
11,101,10131,2,0,10,0,0
12,101,10131,2,1,10,0,0
13,101,10131,201,0,20,101,0
14,101,10131,201,1,20,101,0
15,101,10131,2,2,20,3601,0
16,101,10131,2,3,20,3601,0
17,101,10131,201,2,60,101,0
18,101,10131,201,3,60,101,0
19,101,10141,1,9,5,1,0
20,101,10141,1,9,1,30,0
21,101,10141,2,0,15,0,0
22,101,10141,2,1,15,0,0
23,101,10141,201,0,50,101,0
24,101,10141,201,1,50,101,0
25,101,10141,2,2,30,3601,0
26,101,10141,2,3,30,3601,0
27,101,10141,201,2,80,101,0
28,101,10141,201,3,80,101,0
29,101,10151,1,9,7,1,0
30,101,10151,1,9,1,3,0
31,101,10151,1,9,2,30,0
32,101,10151,2,0,25,0,0
33,101,10151,2,1,25,0,0
34,101,10151,201,0,80,101,0
35,101,10151,201,1,80,101,0
36,101,10151,2,2,50,3601,0
37,101,10151,2,3,50,3601,0
38,101,10151,201,2,100,101,0
39,101,10151,201,3,100,101,0
40,101,10132,1,9,2,1,0
41,101,10132,2,0,5,0,0
42,101,10132,2,1,5,0,0
43,101,10132,2,2,10,3601,0
44,101,10132,2,3,10,3601,0
45,101,10132,204,2,200,3601,0
46,101,10132,204,3,200,3601,0
47,101,10132,201,2,20,101,0
48,101,10132,201,3,20,101,0
49,101,10142,1,9,2,1,0
50,101,10142,1,9,1,30,0
51,101,10142,2,0,10,0,0
52,101,10142,2,1,10,0,0
53,101,10142,2,2,15,3601,0
54,101,10142,2,3,15,3601,0
55,101,10142,101,2,0,3601,0
56,101,10142,101,3,0,3601,0
57,101,10142,201,2,30,101,0
58,101,10142,201,3,30,101,0
59,101,10152,1,9,3,1,0
60,101,10152,1,9,1,3,0
61,101,10152,1,9,1,30,0
62,101,10152,2,0,15,0,0
63,101,10152,2,1,15,0,0
64,101,10152,2,2,25,3601,0
65,101,10152,2,3,25,3601,0
66,101,10152,101,2,0,3601,0
67,101,10152,101,3,0,3601,0
68,101,10152,102,2,0,3601,0
69,101,10152,102,3,0,3601,0
70,101,10152,201,2,50,101,0
71,101,10152,201,3,50,101,0
72,102,10210,1,9,1,2,0
73,102,10210,2,2,10,3602,0
74,102,10210,2,3,10,3602,0
75,102,10220,1,9,2,2,0
76,102,10220,2,0,5,0,0
77,102,10220,2,1,5,0,0
78,102,10220,2,2,20,3602,0
79,102,10220,2,3,20,3602,0
80,102,10231,1,9,3,2,0
81,102,10231,1,9,1,30,0
82,102,10231,2,0,10,0,0
83,102,10231,2,1,10,0,0
84,102,10231,201,0,20,105,0
85,102,10231,201,1,20,105,0
86,102,10231,2,2,30,3602,0
87,102,10231,2,3,30,3602,0
88,102,10231,201,2,60,105,0
89,102,10231,201,3,60,105,0
90,102,10241,1,9,5,2,0
91,102,10241,1,9,1,30,0
92,102,10241,2,0,15,0,0
93,102,10241,2,1,15,0,0
94,102,10241,201,0,50,105,0
95,102,10241,201,1,50,105,0
96,102,10241,2,2,40,3602,0
97,102,10241,2,3,40,3602,0
98,102,10241,201,2,80,105,0
99,102,10241,201,3,80,105,0
100,102,10251,1,9,7,2,0
101,102,10251,1,9,1,4,0
102,102,10251,1,9,2,30,0
103,102,10251,2,0,25,0,0
104,102,10251,2,1,25,0,0
105,102,10251,201,0,80,105,0
106,102,10251,201,1,80,105,0
107,102,10251,2,2,60,3602,0
108,102,10251,2,3,60,3602,0
109,102,10251,201,2,100,105,0
110,102,10251,201,3,100,105,0
111,102,10232,1,9,2,2,0
112,102,10232,2,0,5,0,0
113,102,10232,2,1,5,0,0
114,102,10232,2,2,20,3602,0
115,102,10232,2,3,20,3602,0
116,102,10232,204,2,200,3602,0
117,102,10232,204,3,200,3602,0
118,102,10232,201,2,20,105,0
119,102,10232,201,3,20,105,0
120,102,10242,1,9,2,2,0
121,102,10242,1,9,1,30,0
122,102,10242,2,0,10,0,0
123,102,10242,2,1,10,0,0
124,102,10242,2,2,25,3602,0
125,102,10242,2,3,25,3602,0
126,102,10242,101,2,0,3602,0
127,102,10242,101,3,0,3602,0
128,102,10242,201,2,30,105,0
129,102,10242,201,3,30,105,0
130,102,10252,1,9,3,2,0
131,102,10252,1,9,1,4,0
132,102,10252,1,9,1,30,0
133,102,10252,2,0,15,0,0
134,102,10252,2,1,15,0,0
135,102,10252,2,2,30,3602,0
136,102,10252,2,3,30,3602,0
137,102,10252,101,2,0,3602,0
138,102,10252,101,3,0,3602,0
139,102,10252,102,2,0,3602,0
140,102,10252,102,3,0,3602,0
141,102,10252,201,2,50,105,0
142,102,10252,201,3,50,105,0
143,103,10310,1,9,1,3,0
144,103,10310,2,2,10,3603,0
145,103,10310,2,3,10,3603,0
146,103,10320,1,9,2,3,0
147,103,10320,2,0,5,0,0
148,103,10320,2,1,5,0,0
149,103,10320,2,2,20,3603,0
150,103,10320,2,3,20,3603,0
151,103,10331,1,9,3,3,0
152,103,10331,1,9,1,30,0
153,103,10331,2,0,10,0,0
154,103,10331,2,1,10,0,0
155,103,10331,201,0,20,102,0
156,103,10331,201,1,20,102,0
157,103,10331,2,2,30,3603,0
158,103,10331,2,3,30,3603,0
159,103,10331,201,2,60,102,0
160,103,10331,201,3,60,102,0
161,103,10341,1,9,5,3,0
162,103,10341,1,9,1,30,0
163,103,10341,2,0,15,0,0
164,103,10341,2,1,15,0,0
165,103,10341,201,0,50,102,0
166,103,10341,201,1,50,102,0
167,103,10341,2,2,40,3603,0
168,103,10341,2,3,40,3603,0
169,103,10341,201,2,80,102,0
170,103,10341,201,3,80,102,0
171,103,10351,1,9,7,3,0
172,103,10351,1,9,1,2,0
173,103,10351,1,9,2,30,0
174,103,10351,2,0,25,0,0
175,103,10351,2,1,25,0,0
176,103,10351,201,0,80,102,0
177,103,10351,201,1,80,102,0
178,103,10351,2,2,60,3603,0
179,103,10351,2,3,60,3603,0
180,103,10351,201,2,100,102,0
181,103,10351,201,3,100,102,0
182,103,10332,1,9,2,3,0
183,103,10332,2,0,5,0,0
184,103,10332,2,1,5,0,0
185,103,10332,2,2,20,3603,0
186,103,10332,2,3,20,3603,0
187,103,10332,204,2,200,3603,0
188,103,10332,204,3,200,3603,0
189,103,10332,201,2,20,102,0
190,103,10332,201,3,20,102,0
191,103,10342,1,9,2,3,0
192,103,10342,1,9,1,30,0
193,103,10342,2,0,10,0,0
194,103,10342,2,1,10,0,0
195,103,10342,2,2,25,3603,0
196,103,10342,2,3,25,3603,0
197,103,10342,101,2,0,3603,0
198,103,10342,101,3,0,3603,0
199,103,10342,201,2,30,102,0
200,103,10342,201,3,30,102,0
201,103,10352,1,9,3,3,0
202,103,10352,1,9,1,2,0
203,103,10352,1,9,1,30,0
204,103,10352,2,0,15,0,0
205,103,10352,2,1,15,0,0
206,103,10352,2,2,30,3603,0
207,103,10352,2,3,30,3603,0
208,103,10352,101,2,0,3603,0
209,103,10352,101,3,0,3603,0
210,103,10352,102,2,0,3603,0
211,103,10352,102,3,0,3603,0
212,103,10352,201,2,50,102,0
213,103,10352,201,3,50,102,0
214,104,10410,1,9,1,4,0
215,104,10410,2,2,10,3604,0
216,104,10410,2,3,10,3604,0
217,104,10420,1,9,2,4,0
218,104,10420,2,0,5,0,0
219,104,10420,2,1,5,0,0
220,104,10420,2,2,20,3604,0
221,104,10420,2,3,20,3604,0
222,104,10431,1,9,3,4,0
223,104,10431,1,9,1,30,0
224,104,10431,2,0,10,0,0
225,104,10431,2,1,10,0,0
226,104,10431,201,0,20,103,0
227,104,10431,201,1,20,103,0
228,104,10431,2,2,30,3604,0
229,104,10431,2,3,30,3604,0
230,104,10431,201,2,60,103,0
231,104,10431,201,3,60,103,0
232,104,10441,1,9,5,4,0
233,104,10441,1,9,1,30,0
234,104,10441,2,0,15,0,0
235,104,10441,2,1,15,0,0
236,104,10441,201,0,50,103,0
237,104,10441,201,1,50,103,0
238,104,10441,2,2,40,3604,0
239,104,10441,2,3,40,3604,0
240,104,10441,201,2,80,103,0
241,104,10441,201,3,80,103,0
242,104,10451,1,9,7,4,0
243,104,10451,1,9,1,3,0
244,104,10451,1,9,2,30,0
245,104,10451,2,0,25,0,0
246,104,10451,2,1,25,0,0
247,104,10451,201,0,80,103,0
248,104,10451,201,1,80,103,0
249,104,10451,2,2,60,3604,0
250,104,10451,2,3,60,3604,0
251,104,10451,201,2,100,103,0
252,104,10451,201,3,100,103,0
253,104,10432,1,9,2,4,0
254,104,10432,2,0,5,0,0
255,104,10432,2,1,5,0,0
256,104,10432,2,2,20,3604,0
257,104,10432,2,3,20,3604,0
258,104,10432,204,2,200,3604,0
259,104,10432,204,3,200,3604,0
260,104,10432,201,2,20,103,0
261,104,10432,201,3,20,103,0
262,104,10442,1,9,2,4,0
263,104,10442,1,9,1,30,0
264,104,10442,2,0,10,0,0
265,104,10442,2,1,10,0,0
266,104,10442,2,2,25,3604,0
267,104,10442,2,3,25,3604,0
268,104,10442,101,2,0,3604,0
269,104,10442,101,3,0,3604,0
270,104,10442,201,2,30,103,0
271,104,10442,201,3,30,103,0
272,104,10452,1,9,3,4,0
273,104,10452,1,9,1,3,0
274,104,10452,1,9,1,30,0
275,104,10452,2,0,15,0,0
276,104,10452,2,1,15,0,0
277,104,10452,2,2,30,3604,0
278,104,10452,2,3,30,3604,0
279,104,10452,101,2,0,3604,0
280,104,10452,101,3,0,3604,0
281,104,10452,102,2,0,3604,0
282,104,10452,102,3,0,3604,0
283,104,10452,201,2,50,103,0
284,104,10452,201,3,50,103,0
285,105,10510,1,9,1,5,0
286,105,10510,2,2,10,3605,0
287,105,10510,2,3,10,3605,0
288,105,10520,1,9,2,5,0
289,105,10520,2,0,5,0,0
290,105,10520,2,1,5,0,0
291,105,10520,2,2,20,3605,0
292,105,10520,2,3,20,3605,0
293,105,10531,1,9,3,5,0
294,105,10531,1,9,1,30,0
295,105,10531,2,0,10,0,0
296,105,10531,2,1,10,0,0
297,105,10531,201,0,20,106,0
298,105,10531,201,1,20,106,0
299,105,10531,2,2,30,3605,0
