id,facility_id,facility_lv,icon_id,state_id
1,101,0,0,10100
2,101,1,1011,10110
3,101,2,1011,10120
4,101,3,1012,10131
5,101,4,1012,10141
6,101,5,1014,10151
7,101,3,1013,10132
8,101,4,1013,10142
9,101,5,1015,10152
10,102,0,0,10200
11,102,1,1021,10210
12,102,2,1021,10220
13,102,3,1022,10231
14,102,4,1022,10241
15,102,5,1024,10251
16,102,3,1023,10232
17,102,4,1023,10242
18,102,5,1025,10252
19,103,0,0,10300
20,103,1,1031,10310
21,103,2,1031,10320
22,103,3,1032,10331
23,103,4,1032,10341
24,103,5,1034,10351
25,103,3,1033,10332
26,103,4,1033,10342
27,103,5,1035,10352
28,104,0,0,10400
29,104,1,1041,10410
30,104,2,1041,10420
31,104,3,1042,10431
32,104,4,1042,10441
33,104,5,1044,10451
34,104,3,1043,10432
35,104,4,1043,10442
36,104,5,1045,10452
37,105,0,0,10500
38,105,1,1051,10510
39,105,2,1051,10520
40,105,3,1052,10531
41,105,4,1052,10541
42,105,5,1054,10551
43,105,3,1053,10532
44,105,4,1053,10542
45,105,5,1055,10552
46,106,0,0,10600
47,106,1,1061,10610
48,106,2,1062,10620
49,106,3,1063,10630
