id,deck_id,turn_min,turn_max,gain_shima_training_pt
1,0,3,12,100
2,0,3,12,300
3,0,13,24,100
4,0,13,24,300
5,0,25,36,200
6,0,25,36,400
7,0,37,48,200
8,0,37,48,400
9,0,49,60,300
10,0,49,60,600
11,1,3,12,100
12,1,3,12,300
13,1,13,24,200
14,1,13,24,400
15,1,25,36,200
16,1,25,36,500
17,1,37,48,200
18,1,37,48,500
19,1,49,60,300
20,1,49,60,700
21,2,3,12,100
22,2,3,12,300
23,2,13,24,200
24,2,13,24,400
25,2,25,36,200
26,2,25,36,500
27,2,37,48,200
28,2,37,48,500
29,2,49,60,300
30,2,49,60,700
31,3,3,12,200
32,3,3,12,400
33,3,13,24,200
34,3,13,24,500
35,3,25,36,300
36,3,25,36,600
37,3,37,48,300
38,3,37,48,600
39,3,49,60,400
40,3,49,60,800
