id,command_id,result_state,target_type,effect_value,required_facility_id
1,3101,2,1,8,0
2,3101,2,2,6,0
3,3101,2,3,4,0
4,3101,2,4,4,0
5,3101,2,5,10,0
6,3101,2,30,7,0
7,3101,2,10,0,0
8,3601,2,1,14,0
9,3601,2,3,1,0
10,3601,2,30,8,0
11,3601,2,10,-15,0
12,3602,2,2,14,0
13,3602,2,4,5,0
14,3602,2,30,16,0
15,3602,2,10,-15,0
16,3603,2,2,5,0
17,3603,2,3,14,0
18,3603,2,30,16,0
19,3603,2,10,-15,0
20,3604,2,1,5,0
21,3604,2,3,4,0
22,3604,2,4,14,0
23,3604,2,30,16,0
24,3604,2,10,-15,0
25,3605,2,1,7,0
26,3605,2,5,12,0
27,3605,2,30,16,0
28,3605,2,10,5,0
29,3605,1,10,5,0
31,3601,2,2,1,101
32,3601,2,4,1,101
33,3601,2,5,1,101
34,3602,2,1,2,102
35,3602,2,3,2,102
36,3602,2,5,2,102
37,3603,2,1,2,103
38,3603,2,4,2,103
39,3603,2,5,2,103
40,3604,2,2,2,104
41,3604,2,5,2,104
42,3605,2,2,2,105
43,3605,2,3,2,105
44,3605,2,4,2,105
45,3601,2,1,14,101
46,3601,2,3,1,101
47,3601,2,30,8,101
48,3601,2,10,-15,101
49,3602,2,2,14,102
50,3602,2,4,5,102
51,3602,2,30,16,102
52,3602,2,10,-15,102
53,3603,2,2,5,103
54,3603,2,3,14,103
55,3603,2,30,16,103
56,3603,2,10,-15,103
57,3604,2,1,5,104
58,3604,2,3,4,104
59,3604,2,4,14,104
60,3604,2,30,16,104
61,3604,2,10,-15,104
62,3605,2,1,7,105
63,3605,2,5,12,105
64,3605,2,30,16,105
65,3605,2,10,5,105
