id,stratum_type,param_type,param_rank_min,param_rank_max,bonus_value
1,1,1,1,2,5
2,1,1,3,4,8
3,1,1,5,6,12
4,1,1,7,8,16
5,1,1,9,10,20
6,1,1,11,14,25
7,1,1,15,18,30
8,1,1,19,999,35
9,1,5,1,2,3
10,1,5,3,4,5
11,1,5,5,6,8
12,1,5,7,8,11
13,1,5,9,10,14
14,1,5,11,14,18
15,1,5,15,18,22
16,1,5,19,999,25
17,1,2,1,2,0
18,1,2,3,4,3
19,1,2,5,6,4
20,1,2,7,8,6
21,1,2,9,10,8
22,1,2,11,14,10
23,1,2,15,18,12
24,1,2,19,999,15
25,2,4,1,2,5
26,2,4,3,4,8
27,2,4,5,6,12
28,2,4,7,8,16
29,2,4,9,10,20
30,2,4,11,14,25
31,2,4,15,18,30
32,2,4,19,999,35
33,2,1,1,2,3
34,2,1,3,4,5
35,2,1,5,6,8
36,2,1,7,8,11
37,2,1,9,10,14
38,2,1,11,14,18
39,2,1,15,18,22
40,2,1,19,999,25
41,2,3,1,2,0
42,2,3,3,4,3
43,2,3,5,6,4
44,2,3,7,8,6
45,2,3,9,10,8
46,2,3,11,14,10
47,2,3,15,18,12
48,2,3,19,999,15
49,3,3,1,2,5
50,3,3,3,4,8
51,3,3,5,6,12
52,3,3,7,8,16
53,3,3,9,10,20
54,3,3,11,14,25
55,3,3,15,18,30
56,3,3,19,999,35
57,3,5,1,2,3
58,3,5,3,4,5
59,3,5,5,6,8
60,3,5,7,8,11
61,3,5,9,10,14
62,3,5,11,14,18
63,3,5,15,18,22
64,3,5,19,999,25
65,3,2,1,2,0
66,3,2,3,4,3
67,3,2,5,6,4
68,3,2,7,8,6
69,3,2,9,10,8
70,3,2,11,14,10
71,3,2,15,18,12
72,3,2,19,999,15
