id,rank_group,effect_type,effect_value
10,1,1,0
11,1,2,0
12,1,3,0
20,2,1,10
21,2,2,0
22,2,3,20
30,3,1,15
31,3,2,10
32,3,3,30
40,4,1,20
41,4,2,20
42,4,3,40
50,5,1,25
51,5,2,30
52,5,3,50
60,6,1,30
61,6,2,40
62,6,3,60
70,7,1,35
71,7,2,55
72,7,3,70
80,8,1,40
81,8,2,70
82,8,3,80
90,9,1,45
91,9,2,85
92,9,3,90
100,10,1,50
101,10,2,100
102,10,3,100
110,11,1,50
111,11,2,100
112,11,3,105
120,12,1,50
121,12,2,100
122,12,3,110
130,13,1,50
131,13,2,100
132,13,3,115
140,14,1,50
141,14,2,100
142,14,3,120
150,15,1,50
151,15,2,100
152,15,3,125
160,16,1,50
161,16,2,100
162,16,3,130
170,17,1,50
171,17,2,100
172,17,3,135
