id,group_type,effect_group,effect_type,num_support_type,effect_value
1,0,1,1,0,0
2,0,1,3,0,10
10101,1,101,2,0,10
10102,1,101,3,5,25
10201,1,102,2,0,20
10202,1,102,3,5,35
10203,1,102,9,0,-40
10301,1,103,2,0,25
10302,1,103,3,5,40
10303,1,103,9,0,-70
10401,1,104,2,0,35
10402,1,104,3,5,45
10403,1,104,9,0,-100
10501,1,105,2,0,40
10502,1,105,3,5,50
10503,1,105,9,0,-100
10601,1,106,2,0,50
10602,1,106,3,5,55
10603,1,106,9,0,-100
10701,1,107,2,0,55
10702,1,107,3,5,60
10703,1,107,9,0,-100
10801,1,108,2,0,65
10802,1,108,3,5,65
10803,1,108,9,0,-100
20101,2,201,6,0,10
20201,2,202,6,0,15
20301,2,203,6,0,20
20302,2,203,10,0,1
20401,2,204,6,0,25
20402,2,204,10,0,2
20501,2,205,6,0,30
20502,2,205,10,0,2
20503,2,205,5,5,0
20601,2,206,6,0,30
20602,2,206,10,0,3
20603,2,206,5,5,0
20701,2,207,6,0,30
20702,2,207,10,0,4
20703,2,207,5,5,0
20801,2,208,6,0,30
20802,2,208,10,0,5
20803,2,208,5,5,0
30101,3,301,7,0,3
30102,3,301,8,0,5
30201,3,302,7,0,5
30202,3,302,8,0,50
30203,3,302,12,5,15
30204,3,302,11,5,15
30301,3,303,7,0,7
30302,3,303,8,0,100
30303,3,303,12,5,25
30304,3,303,11,5,25
30305,3,303,16,5,40
30306,3,303,15,5,40
30401,3,304,7,0,7
30402,3,304,8,0,100
30403,3,304,12,5,35
30404,3,304,11,5,35
30405,3,304,16,5,60
30406,3,304,15,5,60
30501,3,305,7,0,7
30502,3,305,8,0,100
30503,3,305,12,5,40
30504,3,305,11,5,40
30505,3,305,16,5,80
30506,3,305,15,5,80
30601,3,306,7,0,7
30602,3,306,8,0,100
30603,3,306,12,5,45
30604,3,306,11,5,45
30605,3,306,16,5,100
30606,3,306,15,5,100
30701,3,307,7,0,7
30702,3,307,8,0,100
30703,3,307,12,5,50
30704,3,307,11,5,50
30705,3,307,16,5,110
30706,3,307,15,5,110
30801,3,308,7,0,7
30802,3,308,8,0,100
30803,3,308,12,5,60
30804,3,308,11,5,60
30805,3,308,16,5,120
30806,3,308,15,5,120
