id,check_point_type,result_state,effect_type,effect_value,condition_type_1,condition_value_1,condition_type_2,condition_value_2,condition_type_3,condition_value_3
1,1,2,4,5,0,0,0,0,0,0
2,1,2,13,80,0,0,0,0,0,0
3,1,2,14,30,0,0,0,0,0,0
4,1,1,4,3,0,0,0,0,0,0
5,1,1,13,30,0,0,0,0,0,0
6,1,1,14,15,0,0,0,0,0,0
7,2,2,4,10,0,0,0,0,0,0
8,2,2,13,120,0,0,0,0,0,0
9,2,2,14,75,0,0,0,0,0,0
10,2,1,4,5,0,0,0,0,0,0
11,2,1,13,60,0,0,0,0,0,0
12,2,1,14,30,0,0,0,0,0,0
13,3,3,4,25,0,0,0,0,0,0
14,3,3,13,250,0,0,0,0,0,0
15,3,3,14,125,0,0,0,0,0,0
16,3,2,4,25,0,0,0,0,0,0
17,3,2,13,250,0,0,0,0,0,0
18,3,2,14,125,0,0,0,0,0,0
19,3,1,4,15,0,0,0,0,0,0
20,3,1,13,150,0,0,0,0,0,0
21,3,1,14,75,0,0,0,0,0,0
