id,pt_min,pt_max,effect_type,effect_value,condition_type_1,condition_value_1,condition_type_2,condition_value_2,condition_type_3,condition_value_3
1,0,249,2,0,0,0,0,0,0,0
2,250,499,2,3,0,0,0,0,0,0
3,500,999,2,5,0,0,0,0,0,0
4,1000,1499,2,8,0,0,0,0,0,0
5,1500,1999,2,10,0,0,0,0,0,0
6,2000,2499,2,12,0,0,0,0,0,0
7,2500,2999,2,14,0,0,0,0,0,0
8,3000,3499,2,16,0,0,0,0,0,0
9,3500,3999,2,18,0,0,0,0,0,0
10,4000,4999,2,20,0,0,0,0,0,0
11,5000,9999,2,20,0,0,0,0,0,0
12,0,249,13,50,0,0,0,0,0,0
13,250,499,13,55,0,0,0,0,0,0
14,500,999,13,60,0,0,0,0,0,0
15,1000,1499,13,63,0,0,0,0,0,0
16,1500,1999,13,65,0,0,0,0,0,0
17,2000,2499,13,68,0,0,0,0,0,0
18,2500,2999,13,70,0,0,0,0,0,0
19,3000,3499,13,73,0,0,0,0,0,0
20,3500,3999,13,75,0,0,0,0,0,0
21,4000,4999,13,78,0,0,0,0,0,0
22,5000,9999,13,80,0,0,0,0,0,0
23,0,249,14,0,0,0,0,0,0,0
24,250,499,14,30,0,0,0,0,0,0
25,500,999,14,40,0,0,0,0,0,0
26,1000,1499,14,50,0,0,0,0,0,0
27,1500,1999,14,60,0,0,0,0,0,0
28,2000,2499,14,70,0,0,0,0,0,0
29,2500,2999,14,80,0,0,0,0,0,0
30,3000,3499,14,90,0,0,0,0,0,0
31,3500,3999,14,100,0,0,0,0,0,0
32,4000,4999,14,110,0,0,0,0,0,0
33,5000,9999,14,120,0,0,0,0,0,0
