id,region_id,text_group_id,effect_type,effect_value,condition_type_1,condition_value_1,condition_type_2,condition_value_2,condition_type_3,condition_value_3
1,1,1010,2,20,3,101,0,0,0,0
2,1,1011,19,1,5,101,6,0,0,0
3,2,1020,2,20,3,105,0,0,0,0
4,2,1021,19,1,5,105,6,0,0,0
5,3,1030,2,20,3,102,0,0,0,0
6,3,1031,19,1,5,102,6,0,0,0
7,4,1040,2,20,3,103,0,0,0,0
8,4,1041,19,1,5,103,6,0,0,0
9,5,1050,2,20,3,106,0,0,0,0
10,5,1051,19,1,5,106,6,0,0,0
11,6,2060,4,10,3,0,0,0,0,0
12,6,2061,19,2,5,101,6,0,0,0
13,6,2062,20,1,3,101,6,4,0,0
14,6,2062,20,1,3,102,6,4,0,0
15,6,2062,20,1,3,103,6,4,0,0
16,6,2062,20,1,3,105,6,4,0,0
17,6,2062,20,1,3,106,6,4,0,0
18,7,2070,4,50,3,102,0,0,0,0
19,7,2070,4,50,3,103,0,0,0,0
20,7,2071,19,0,5,102,6,0,0,0
21,7,2071,19,2,5,103,6,0,0,0
22,7,2072,20,1,3,102,6,4,0,0
23,7,2072,20,1,3,103,6,4,0,0
24,8,2080,4,50,3,105,0,0,0,0
25,8,2080,4,50,3,103,0,0,0,0
26,8,2081,19,0,5,105,6,0,0,0
27,8,2081,19,2,5,103,6,0,0,0
28,8,2082,20,1,3,105,6,4,0,0
29,8,2082,20,1,3,103,6,4,0,0
30,9,2090,4,50,3,105,0,0,0,0
31,9,2090,4,50,3,102,0,0,0,0
32,9,2091,19,0,5,105,6,0,0,0
33,9,2091,19,2,5,102,6,0,0,0
34,9,2092,20,1,3,105,6,4,0,0
35,9,2092,20,1,3,102,6,4,0,0
36,10,2100,4,50,3,106,0,0,0,0
37,10,2101,19,2,5,106,6,0,0,0
38,10,2102,20,1,3,106,6,4,0,0
39,11,3110,4,50,3,101,0,0,0,0
40,11,3111,21,50,3,101,6,0,0,0
41,11,3112,20,1,3,101,6,4,0,0
42,12,3120,4,60,3,105,0,0,0,0
43,12,3121,21,50,3,105,6,0,0,0
44,12,3122,20,1,3,105,6,4,0,0
45,13,3130,4,60,3,102,0,0,0,0
46,13,3131,21,50,3,102,6,0,0,0
47,13,3132,20,1,3,102,6,4,0,0
48,14,3140,4,60,3,103,0,0,0,0
49,14,3141,21,50,3,103,6,0,0,0
50,14,3142,20,1,3,103,6,4,0,0
51,15,3150,4,60,3,106,0,0,0,0
52,15,3151,21,50,3,106,6,0,0,0
53,15,3152,20,1,3,106,6,4,0,0
54,16,3160,4,40,3,101,0,0,0,0
55,16,3160,4,40,3,102,0,0,0,0
56,16,3160,4,40,3,106,0,0,0,0
57,16,3161,21,50,3,101,6,0,0,0
58,16,3161,21,50,3,102,6,0,0,0
59,16,3161,21,50,3,106,6,0,0,0
60,16,3162,20,1,3,101,6,4,0,0
61,16,3162,20,1,3,102,6,4,0,0
62,16,3162,20,1,3,106,6,4,0,0
63,17,3170,4,40,3,101,0,0,0,0
64,17,3170,4,40,3,102,0,0,0,0
65,17,3170,4,40,3,103,0,0,0,0
66,17,3171,21,50,3,101,6,0,0,0
67,17,3171,21,50,3,102,6,0,0,0
68,17,3171,21,50,3,103,6,0,0,0
69,17,3172,20,1,3,101,6,4,0,0
70,17,3172,20,1,3,102,6,4,0,0
71,17,3172,20,1,3,103,6,4,0,0
72,18,3180,4,40,3,101,0,0,0,0
73,18,3180,4,40,3,105,0,0,0,0
74,18,3180,4,40,3,106,0,0,0,0
75,18,3181,21,50,3,101,6,0,0,0
76,18,3181,21,50,3,105,6,0,0,0
77,18,3181,21,50,3,106,6,0,0,0
78,18,3182,20,1,3,101,6,4,0,0
79,18,3182,20,1,3,105,6,4,0,0
80,18,3182,20,1,3,106,6,4,0,0
81,19,3190,4,40,3,101,0,0,0,0
82,19,3190,4,40,3,105,0,0,0,0
83,19,3190,4,40,3,102,0,0,0,0
84,19,3191,21,50,3,101,6,0,0,0
85,19,3191,21,50,3,105,6,0,0,0
86,19,3191,21,50,3,102,6,0,0,0
87,19,3192,20,1,3,101,6,4,0,0
88,19,3192,20,1,3,105,6,4,0,0
89,19,3192,20,1,3,102,6,4,0,0
90,20,3200,4,40,3,101,0,0,0,0
91,20,3200,4,40,3,103,0,0,0,0
92,20,3200,4,40,3,106,0,0,0,0
93,20,3201,21,50,3,101,6,0,0,0
94,20,3201,21,50,3,103,6,0,0,0
95,20,3201,21,50,3,106,6,0,0,0
96,20,3202,20,1,3,101,6,4,0,0
97,20,3202,20,1,3,103,6,4,0,0
98,20,3202,20,1,3,106,6,4,0,0
