id,potential_id,num,count_type,display_total_count,condition_type_1,condition_value_1,condition_value_2,condition_value_3,condition_value_4,condition_value_5
1,1,1,1,10,142,0,10,0,0,0
2,2,1,1,2,142,0,2,0,0,0
4,4,1,1,10,142,0,10,0,0,0
5,5,1,1,2,142,0,2,0,0,0
6,6,1,2,1,24,206333,0,0,0,0
7,7,1,2,1,60,100,1,0,0,0
8,8,1,2,1,60,100,1,0,0,0
9,9,1,1,40,142,0,40,0,0,0
10,10,1,2,1,57,43,2906,1,0,0
11,3,1,2,1,24,206333,0,0,0,0
12,7,2,2,1,144,41,2905,0,0,0
13,8,2,2,1,144,41,2905,0,0,0
14,9,2,2,1,24,206331,0,0,0,0
