id,effect_type,effect_category,effect_group_id,priority
1,2,1,1,100
2,2,1,2,100
3,2,1,3,100
4,2,1,4,100
5,2,1,5,100
6,2,1,6,90
7,1,1,7,100
8,1,1,8,100
9,1,1,9,100
10,1,1,6,90
11,1,1,6,100
12,2,2,10,100
13,1,2,10,100
14,1,2,10,100
15,1,2,10,100
16,1,2,10,100
17,1,2,10,100
18,1,2,10,100
19,2,2,10,100
20,2,2,10,100
21,2,2,10,100
22,1,2,10,100
23,1,2,10,100
24,2,2,10,100
25,1,1,11,100
26,1,1,12,100
27,1,2,10,100
28,1,2,10,100
29,1,2,10,100
30,1,2,10,100
31,1,2,10,100
32,1,1,13,100
34,1,2,10,100
35,1,2,10,100
36,2,2,10,100
37,2,2,10,100
38,2,2,10,100
39,1,2,10,100
100,1,3,100,100
101,1,3,101,101
102,1,3,102,102
103,1,3,103,103
104,1,3,104,104
