id,chara_id,program_group,program_group_2,base_id
1,0,100,0,0
2,0,200,0,0
3,0,300,0,0
4,0,400,0,0
5,0,500,0,0
6,0,600,0,0
7,0,700,0,0
8,0,800,0,0
9,0,900,0,0
10,0,2000,0,0
11,0,2100,0,0
12,0,2200,0,0
13,0,2300,0,0
14,0,2400,0,0
15,1013,102,100,1
16,1013,101,100,1
17,1027,102,100,1
18,1027,101,100,1
19,1030,102,100,1
20,1030,101,100,1
21,1060,201,200,2
22,1004,301,300,3
23,1003,1001,0,0
24,1004,1002,0,0
25,1041,1002,0,0
26,1011,1003,0,0
27,1035,1004,0,0
28,1061,1005,0,0
29,1008,1005,0,0
30,1009,1006,0,0
31,1024,1006,0,0
32,1060,1006,0,0
33,1017,1007,0,0
34,1030,1007,0,0
35,1007,1008,0,0
36,1018,1008,0,0
37,1052,1009,0,0
38,1010,1010,0,0
39,1014,1010,0,0
40,1027,1011,0,0
41,1006,1012,0,0
42,1001,1013,0,0
43,1002,1013,0,0
44,1013,1013,0,0
45,1032,1013,0,0
46,1045,1013,0,0
47,1056,1013,0,0
48,1015,1006,0,0
49,1026,1026,0,0
50,1023,1012,0,0
51,1016,402,400,4
52,1050,401,400,4
53,1023,401,400,4
54,1038,1038,0,0
55,1050,1008,0,0
56,1046,1010,0,0
57,1016,1016,0,0
58,1016,403,400,4
59,1016,501,500,5
60,1016,502,500,5
61,1016,503,500,5
62,1016,601,600,6
63,1016,602,600,6
64,1016,603,600,6
65,1016,701,700,7
66,1016,702,700,7
67,1016,703,700,7
68,1020,1004,0,0
69,1012,101201,0,0
70,1005,100501,0,0
71,1040,104001,0,0
72,1058,1006,0,0
73,1037,1013,0,0
74,1037,801,800,8
75,1028,102801,0,0
76,1019,1010,0,0
77,1039,1012,0,0
78,1025,1011,0,0
79,1048,1006,0,0
80,1059,100501,0,0
81,1022,1013,0,0
82,1021,1013,0,0
83,1069,1016,0,0
84,1071,504,500,5
85,1071,505,500,5
86,1071,506,500,5
87,1069,901,900,9
88,1071,901,900,9
89,1072,901,900,9
90,1071,107101,0,0
91,1033,1006,0,0
92,1062,1001,0,0
93,1068,1011,0,0
94,1067,1006,0,0
95,1074,1006,0,0
96,1074,704,700,7
97,1074,705,700,7
98,1051,105101,0,0
99,1072,1013,0,0
100,1031,101201,0,0
101,1031,102,100,1
102,1031,101,100,1
103,1064,1006,0,0
104,1034,103401,0,0
105,1034,2001,2000,10
106,1044,1005,0,0
107,1036,1011,0,0
108,1053,105301,0,0
109,1046,2101,2100,11
110,1098,109801,0,0
111,1029,101201,0,0
112,1042,104201,0,0
113,1087,104201,0,0
114,1078,1002,0,0
115,1049,1011,0,0
116,1100,110001,0,0
117,1047,1004,0,0
118,1099,110001,0,0
119,1065,106501,0,0
120,1043,1010,0,0
121,1066,1003,0,0
122,1057,1011,0,0
123,1057,902,900,9
124,1057,202,200,2
125,1057,2201,2200,12
126,1085,1012,0,0
127,1083,1011,0,0
128,1083,507,500,5
129,1083,508,500,5
130,1076,1004,0,0
131,1105,1005,0,0
132,1106,110601,0,0
133,1106,507,500,5
134,1106,508,500,5
135,1084,104001,0,0
136,1084,507,500,5
137,1084,508,500,5
138,1055,1006,0,0
139,1104,1013,0,0
140,1104,202,200,2
141,1104,902,900,9
142,1104,2201,2200,12
143,1070,1004,0,0
144,1077,1013,0,0
145,1093,109301,0,0
146,1086,102801,0,0
147,1107,1013,0,0
148,1088,107101,0,0
149,1089,1013,0,0
150,1091,1005,0,0
151,1054,105301,0,0
152,1108,107101,0,0
153,1063,106301,0,0
154,1080,109801,0,0
155,1080,2101,2100,11
156,1080,2301,2300,13
157,1080,2302,2300,13
158,1109,106501,0,0
159,1102,1006,0,0
160,1082,100501,0,0
161,1094,1008,0,0
162,1094,604,600,6
163,1094,605,600,6
164,1119,100501,0,0
165,1120,105301,0,0
166,1120,2401,2400,14
167,1120,2402,2400,14
168,1116,1005,0,0
169,1110,1012,0,0
170,1121,1038,0,0
171,1124,107101,0,0
172,1111,1005,0,0
173,1117,110601,0,0
174,1117,901,900,9
175,1079,107901,0,0
176,1079,2102,2100,11
177,1079,2103,2100,11
178,1131,2501,2500,183
179,1073,1006,0,0
180,1115,1007,0,0
181,1115,901,900,9
182,1131,102801,0,0
183,0,2500,0,0
184,1131,2502,2500,183
185,1096,109601,0,0
186,1096,507,500,5
187,1096,508,500,5
188,0,17400,0,0
189,0,8400,0,0
190,1096,17401,17400,188
191,1096,8401,8400,189
192,1127,1011,0,0
193,1090,109001,0,0
194,1132,1006,0,0
195,0,2600,0,0
196,1132,2601,2600,195
197,1132,2602,2600,195
198,1133,106301,0,0
199,1113,109601,0,0
200,1097,1005,0,0
201,1081,108101,0,0
202,1095,105301,0,0
203,1095,2401,2400,14
204,1095,2402,2400,14
205,1092,1016,0,0
206,1092,509,500,5
207,1092,510,500,5
208,1092,604,600,6
209,1092,605,600,6
210,1114,109601,0,0
211,1135,1013,0,0
212,1137,1013,0,0
213,1103,107101,0,0
214,1129,102801,0,0
215,1129,604,600,6
216,1129,606,600,6
217,1143,109601,0,0
218,1130,100501,0,0
219,1130,2601,2600,195
220,1130,2602,2600,195
221,1118,109601,0,0
222,1112,106501,0,0
223,1136,109601,0,0
224,1134,102801,0,0
225,1134,401,400,4
