id,dish_type,cooking_cutt_id,cooking_num,success_rate,great_success_rate,confirmed_great_success_rate
1,0,1,2,1000,0,0
2,0,2,2,500,500,0
3,0,3,2,1000,0,0
4,0,4,2,500,500,0
5,0,5,2,1000,0,0
6,0,6,2,500,500,0
9,0,9,2,1000,0,0
10,0,10,2,500,500,0
11,0,11,2,1000,0,0
12,0,12,2,500,500,0
15,0,15,2,1000,0,0
16,0,16,2,500,500,0
17,0,17,2,1000,0,0
18,0,18,2,500,500,0
21,0,21,2,1000,0,0
22,0,22,2,500,500,0
23,0,23,2,1000,0,0
24,0,24,2,500,500,0
27,0,27,2,1000,0,0
28,0,28,2,500,500,0
29,0,29,2,1000,0,0
30,0,30,2,500,500,0
31,1,5,2,1000,0,0
32,1,6,2,500,500,0
35,1,21,2,1000,0,0
36,1,22,2,500,500,0
37,1,23,2,1000,0,0
38,1,24,2,500,500,0
41,2,9,2,1000,0,0
42,2,10,2,500,500,0
43,2,11,2,1000,0,0
44,2,12,2,500,500,0
47,2,15,2,1000,0,0
48,2,16,2,500,500,0
49,2,17,2,1000,0,0
50,2,18,2,500,500,0
53,2,23,2,1000,0,0
54,2,24,2,500,500,0
55,2,27,2,1000,0,0
56,2,28,2,500,500,0
57,2,29,2,1000,0,0
58,2,30,2,500,500,0
59,3,23,2,1000,0,0
60,3,24,2,500,500,0
61,0,31,2,1000,0,0
62,0,32,2,500,500,0
63,0,33,3,500,500,0
64,0,34,3,0,1000,1000
65,0,35,3,500,500,0
66,0,36,3,0,1000,1000
67,0,37,3,500,500,0
68,0,38,3,0,1000,1000
69,0,39,3,500,500,0
70,0,40,3,0,1000,1000
71,0,41,3,500,500,0
72,0,42,3,0,1000,1000
73,0,43,3,500,500,0
74,0,44,3,0,1000,1000
75,0,45,3,500,500,0
76,0,46,3,0,1000,1000
77,0,47,3,500,500,0
78,0,48,3,0,1000,1000
79,0,49,3,500,500,0
80,0,50,3,0,1000,1000
81,0,51,3,500,500,0
82,0,52,3,0,1000,1000
83,0,53,3,500,500,0
84,0,54,3,0,1000,1000
85,0,55,3,500,500,0
86,0,56,3,0,1000,1000
87,0,57,3,500,500,0
88,0,58,3,0,1000,1000
89,0,59,3,500,500,0
90,0,60,3,0,1000,1000
91,0,61,3,500,500,0
92,0,62,3,0,1000,1000
93,0,63,3,500,500,0
94,0,64,3,0,1000,1000
95,1,31,2,1000,0,0
96,1,32,2,500,500,0
97,1,37,3,500,500,0
98,1,38,3,0,1000,1000
99,1,39,3,500,500,0
100,1,40,3,0,1000,1000
101,1,53,3,500,500,0
102,1,54,3,0,1000,1000
103,1,55,3,500,500,0
104,1,56,3,0,1000,1000
105,1,57,3,500,500,0
106,1,58,3,0,1000,1000
107,1,63,3,500,500,0
108,1,64,3,0,1000,1000
109,2,31,2,1000,0,0
110,2,32,2,500,500,0
111,2,41,3,500,500,0
112,2,42,3,0,1000,1000
113,2,47,3,500,500,0
114,2,48,3,0,1000,1000
115,2,55,3,500,500,0
116,2,56,3,0,1000,1000
117,2,59,3,500,500,0
118,2,60,3,0,1000,1000
119,2,61,3,500,500,0
120,2,62,3,0,1000,1000
121,2,63,3,500,500,0
122,2,64,3,0,1000,1000
123,3,31,2,1000,0,0
124,3,32,2,500,500,0
125,3,55,3,500,500,0
126,3,56,3,0,1000,1000
127,3,63,3,500,500,0
128,3,64,3,0,1000,1000
