id,cooking_motion_id,swap_type,cooking_motion_swap_id,cooking_effect_name_1,cooking_effect_position_1,cooking_effect_name_2,cooking_effect_position_2,cooking_effect_swap_name_1,cooking_effect_swap_position_1,cooking_effect_swap_name_2,cooking_effect_swap_position_2
1,5000101,1,0,,0,,0,,0,,0
2,5000102,1,0,cok_01,1,cok_02,1,,0,,0
3,5000103,1,0,cok_01,1,cok_04,1,,0,,0
4,5000104,1,0,,0,,0,,0,,0
5,5000105,1,0,cok_03,2,,0,,0,,0
6,5000106,1,0,,0,,0,,0,,0
7,5000133,1,0,,0,,0,,0,,0
8,5000107,1,0,,0,,0,,0,,0
9,5000108,1,0,,0,,0,,0,,0
10,5000109,1,0,,0,,0,,0,,0
11,5000110,1,0,cok_01,1,cok_02,1,,0,,0
12,5000123,1,0,cok_01,1,cok_04,1,,0,,0
13,5000111,1,0,,0,,0,,0,,0
14,5000112,1,0,cok_03,2,,0,,0,,0
15,5000101,2,5000113,,0,,0,,0,,0
16,5000102,2,5000114,cok_01,1,cok_02,1,cok_01,1,cok_02,1
17,5000103,2,5000115,cok_01,1,cok_04,1,,0,,0
18,5000104,2,5000116,,0,,0,,0,,0
19,5000105,2,5000117,cok_03,2,,0,cok_08,2,,0
20,5000106,2,5000106,,0,,0,,0,,0
21,5000133,2,5000133,,0,,0,,0,,0
22,5000107,2,5000107,,0,,0,,0,,0
23,5000108,2,5000108,,0,,0,,0,,0
24,5000109,2,5000118,,0,,0,,0,,0
25,5000110,2,5000119,cok_01,1,cok_02,1,cok_01,1,cok_02,1
26,5000123,2,5000120,cok_01,1,cok_04,1,,0,,0
27,5000111,2,5000121,,0,,0,,0,,0
28,5000112,2,5000122,cok_03,2,,0,cok_08,2,,0
29,5000101,3,5000113,,0,,0,,0,,0
30,5000102,3,5000114,cok_01,1,cok_02,1,cok_01,1,cok_02,1
31,5000103,3,5000137,cok_01,1,cok_04,1,cok_01,1,cok_09,1
32,5000104,3,5000116,,0,,0,,0,,0
33,5000105,3,5000117,cok_03,2,,0,cok_08,2,,0
34,5000106,3,5000106,,0,,0,,0,,0
35,5000133,3,5000133,,0,,0,,0,,0
36,5000107,3,5000107,,0,,0,,0,,0
37,5000108,3,5000108,,0,,0,,0,,0
38,5000109,3,5000118,,0,,0,,0,,0
39,5000110,3,5000119,cok_01,1,cok_02,1,cok_01,1,cok_02,1
40,5000123,3,5000137,cok_01,1,cok_04,1,cok_01,1,cok_09,1
41,5000111,3,5000121,,0,,0,,0,,0
42,5000112,3,5000122,cok_03,2,,0,cok_08,2,,0
